team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Telaghema,Harrach,1.1156033138100936,0.826593135878754,True,4.564247891243632e-11,Telaghema,Harrach,1.2525277470708347,0.7794643839102839,True,1.5614410854763885e-09
MO Constantine,Khemis El Khechna,0.9462028815613417,0.8753256765798504,True,5.859819116038267e-10,MO Constantine,Khemis El Khechna,1.0058781499722076,1.4165722296377776,True,4.9113994008836316e-11
Guir Abadla,JSM Tiaret,0.9143710815248645,1.1889969456271372,True,5.532102699426456e-11,Guir Abadla,JSM Tiaret,0.9546396175623845,1.1375920641790798,True,3.5726822704121104e-11
Eulma,Mlila,1.590266876251959,0.7664289250474603,True,9.262763732928063e-14,Eulma,Mlila,1.2894924268629864,0.7400333163004568,True,6.24023529731294e-10
CA Batna,Olympique Akbou,1.3046675940141794,0.8394881273123482,True,1.2211158005066125e-11,CA Batna,Olympique Akbou,1.2233603029725486,0.7841740621914924,True,4.5107903526034555e-12
Bordj Menail,Khroub,1.0761218521110516,0.7179327943625192,True,6.659473915818776e-11,Bordj Menail,Khroub,0.8193097027088992,1.0354076395388294,True,5.0718999995705974e-11
ASM Oran,Arba,1.9955762900734166,0.5221390239148477,True,1.3075288542216894e-10,ASM Oran,Arba,2.118919104741462,0.28795121163773196,True,2.5613438101881274e-12
Temouchent,Hussein Dey,1.3354034078883694,0.7668624068640902,True,1.830874081063579e-11,Temouchent,Hussein Dey,1.4948896754291585,0.5163154028705857,True,1.7380137760175368e-10
RC Kouba,SC Mecheria,1.5044870772810885,0.5988917224079144,True,7.589992076526062e-12,RC Kouba,SC Mecheria,1.624539787039184,0.4231245935278199,True,2.727664783884316e-10
Widad Adabi de Boufarik,Oued Sly,1.0780019194283197,0.8866011870703729,True,6.823811608220151e-12,Widad Adabi de Boufarik,Oued Sly,1.2779575516910557,0.5407996119427676,True,7.941980628883008e-11
SC Mecheria,ASM Oran,1.2086617845950078,0.6889993119457415,True,3.8179693651521064e-10,SC Mecheria,ASM Oran,1.3612608616190915,0.7783103483220829,True,1.2420347083091415e-09
RC Kouba,WA Mostaganem,1.6961043046131317,0.4282504005934518,True,3.558411470569357e-10,RC Kouba,WA Mostaganem,1.7714622053474112,0.5197165177270582,True,8.137439141506346e-10
Mostaganem,Guir Abadla,2.5914482556642344,0.3786804188885192,True,8.646569910031042e-13,Mostaganem,Guir Abadla,2.349615160373458,0.47027453050646567,True,1.248804452388201e-10
JSM Tiaret,Temouchent,1.4263477936586768,0.7268070296261078,True,1.390804945984564e-10,JSM Tiaret,Temouchent,1.5771593235565764,0.5910429178469851,True,2.8263700453761306e-11
Hussein Dey,Kolea,1.5143358633606852,0.6827171963203069,True,9.63985029138145e-12,Hussein Dey,Kolea,1.7496179318299703,0.5955333470987637,True,1.64488761122497e-10
El Khemis,Medea,1.130739681187961,0.7489464640442317,True,8.822020193991641e-11,El Khemis,Medea,1.5398507280853613,0.44819361724568163,True,1.2022809801843096e-09
Arba,GC Mascara,0.6970458840246156,1.7307668346604161,True,3.5684544311015005e-11,Arba,GC Mascara,0.4568368891399634,1.84226865944756,True,1.0218939299408624e-09
CA Batna,MO Constantine,1.474925236082019,0.6667719342665656,True,6.018150548514146e-16,CA Batna,MO Constantine,2.202687507594537,0.22300402050787896,True,1.745636813496939e-10
Chelghoum,Olympique Magrane,1.2309971770099641,0.7474880959168161,True,1.8340703293577212e-10,Chelghoum,Olympique Magrane,1.1186949384496407,1.2715758547033589,True,2.8176922473827877e-10
Ghozlane,Bordj Menail,0.9964483349668872,0.8407217228506171,True,1.473769414520051e-09,Ghozlane,Bordj Menail,1.219578179929786,0.7519073691145906,True,2.312457184958894e-10
Khemis El Khechna,Ouargla,1.343001869935571,0.7372733755959071,True,1.173874490672271e-11,Khemis El Khechna,Ouargla,1.2526082262693787,0.6764651515351265,True,1.6909534931856838e-11
Khroub,Eulma,1.6582583483522078,0.5898828399655345,True,9.42659392882401e-12,Khroub,Eulma,2.4826872431423728,0.00018035136187253997,True,6.433216648602118e-06
Mlila,Telaghema,1.528032578044868,0.8263415408712648,True,2.6548356548838387e-11,Mlila,Telaghema,0.7011016675682914,1.0927613181116242,True,1.2398872237409034e-09
Harrach,MSP Batna,0.8769078716261203,1.0122218238857366,True,3.0381558011000105e-09,Harrach,MSP Batna,0.8209853385182492,1.3844072481891752,True,1.2816969106272406e-09
Bordj Menail,Chelghoum,1.343090089591933,0.7360799118780382,True,1.1721484358279798e-11,Bordj Menail,Chelghoum,1.525062199467864,0.6466800316605554,True,8.830750094605163e-11
Annaba,CA Batna,1.1200285050804732,0.7027124928493613,True,9.075188585033975e-11,Annaba,CA Batna,0.7748096816776239,0.9082862749416597,True,3.512077073991824e-10
ASM Oran,RC Kouba,1.1370181643215362,0.8403034910861568,True,5.0787514123248546e-12,ASM Oran,RC Kouba,1.3220159735501018,0.6600930564564383,True,1.253694165671359e-11
Temouchent,El Khemis,1.3523483206465103,0.7613287496657588,True,3.3273695948139705e-12,Temouchent,El Khemis,1.423764242339258,0.6930362958540413,True,3.138564960959773e-12
Guir Abadla,Widad Adabi de Boufarik,1.1936764312491377,0.7716821026171178,True,1.9540741275601176e-10,Guir Abadla,Widad Adabi de Boufarik,1.0949228178086308,0.7066559610125612,True,1.291412123307575e-10
GC Mascara,SC Mecheria,1.3406662827884808,0.6489635207981672,True,5.503279136141211e-10,GC Mascara,SC Mecheria,1.2477645097167345,0.7216495339647413,True,1.4929640408772763e-10
Medea,Hussein Dey,1.4718312604432529,0.782464864579937,True,4.375855939249454e-10,Medea,Hussein Dey,1.3546862075320285,0.8113796381852507,True,5.076528103699131e-12
MSP Batna,Mlila,1.3742916487313703,0.5358547755200731,True,3.1656682794741564e-10,MSP Batna,Mlila,1.767391336432151,0.3161711753704208,True,1.7300069700494396e-10
Ouargla,Harrach,1.1405464186033145,0.7709231024666264,True,2.40364596080488e-10,Ouargla,Harrach,1.9069398201940577,0.3292052479530596,True,1.6247250204966704e-11
Oued Sly,Arba,2.2693817491687005,0.36730612184258454,True,4.93718931448909e-11,Oued Sly,Arba,2.2497820008879152,0.17558547991905762,True,3.37782494500315e-10
Telaghema,Khemis El Khechna,0.976539374721526,1.048660544581194,True,1.7174879349753598e-11,Telaghema,Khemis El Khechna,0.9661550732121547,0.7653295733580949,True,3.075589137435608e-11
WA Mostaganem,Mostaganem,0.5925012679941593,1.5344016111656975,True,1.3228829343247976e-10,WA Mostaganem,Mostaganem,0.5381381208577491,1.382580328604338,True,4.340812310160033e-11
Kolea,JSM Tiaret,1.087317015527995,0.8824799601095201,True,6.654988052626935e-12,Kolea,JSM Tiaret,1.0936130695406636,0.6582539426429119,True,4.85387981514096e-11
Olympique Magrane,Olympique Akbou,1.0788718830975275,0.8344638185330528,True,3.753037757011512e-11,Olympique Magrane,Olympique Akbou,0.8136847273653588,0.858235702541864,True,3.409546021534934e-11
Eulma,Ghozlane,1.1658480955878585,0.8495972695694872,True,6.575168320267085e-12,Eulma,Ghozlane,1.107564911904614,0.9997514351222998,True,9.589664210843668e-12
MO Constantine,Khroub,0.6599629347729994,1.2193500004408793,True,9.905931048835213e-11,MO Constantine,Khroub,0.8073858563019732,1.0622226085505009,True,5.932663524931454e-11
Ghozlane,Ouargla,1.016447760632883,0.8450078148451012,True,6.054373731235855e-12,Ghozlane,Ouargla,1.3139331835900234,0.5855336819008606,True,7.175184060912607e-10
Chelghoum,Eulma,1.4088058789353168,0.7240446835996458,True,9.359050438991397e-10,Chelghoum,Eulma,1.2537036365230148,0.7817179517014444,True,1.4396603819932764e-09
Mlila,Harrach,1.0660384401814953,0.8212405571353868,True,4.994589578375377e-11,Mlila,Harrach,1.5181942412332443,0.46337795084961747,True,1.8462689567412252e-11
Olympique Akbou,Bordj Menail,1.6148741407592622,0.5967710299625807,True,2.177555674886323e-10,Olympique Akbou,Bordj Menail,1.6352682500492484,0.43105249359556236,True,1.1091292483236987e-10
CA Batna,Olympique Magrane,1.9360997689502042,0.486415964067103,True,1.462438869543655e-09,CA Batna,Olympique Magrane,1.9058228335852891,0.35219112545751907,True,5.277189972570314e-10
Widad Adabi de Boufarik,Medea,1.1001528397317266,0.8916554880786475,True,7.29319978292074e-12,Widad Adabi de Boufarik,Medea,1.28460330655334,0.5645334476230865,True,3.1339672552856057e-10
Annaba,MO Constantine,1.447533487649419,0.6644493220993557,True,2.957411605523858e-11,Annaba,MO Constantine,1.3443483880655602,0.5912613869500875,True,6.453736659201515e-10
SC Mecheria,Oued Sly,1.274049362012823,0.6637053822572788,True,2.7948784131332788e-11,SC Mecheria,Oued Sly,1.1848995253726402,0.5150798841739789,True,1.871673854803934e-10
