team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
UE Santa Coloma,Ordino,2.1011632166398906,0.7797553809586385,True,1.1753562314224645e-13,UE Santa Coloma,Ordino,1.8999119865821192,0.7016968613991037,True,1.588176894261329e-10
Atletic Escaldes,Pas de la Casa,2.712972698861752,0.9382041685673194,True,3.860280597232538e-11,Atletic Escaldes,Pas de la Casa,2.683570594054673,0.8943279180249164,True,2.2522307989444117e-10
Inter Escaldes,FC Santa Coloma,1.2877818725212535,0.8841904935414413,True,2.3587486656414774e-09,Inter Escaldes,FC Santa Coloma,1.2280019706026073,0.9856198915991292,True,1.8242490920767293e-11
Carroi,Atletic America,1.2771397971711917,1.2771174293010594,True,1.2462566990119098e-10,Carroi,Atletic America,1.2771397971711917,1.2771174293010594,True,1.2462566990119098e-10
FC Santa Coloma,Atletic Escaldes,0.9790898419147254,1.147766188565627,True,3.8420089862220295e-11,FC Santa Coloma,Atletic Escaldes,1.549307093081954,0.7237686167497501,True,2.1386674959366323e-12
Pas de la Casa,Carroi,2.4515546020884074,0.6699793287079515,True,9.030958601100807e-09,Pas de la Casa,Carroi,1.6797431312525666,0.21204740706680741,True,5.939680890003318e-10
Ordino,Inter Escaldes,0.9058682325237216,2.6923229747728255,True,3.0417493892313045e-09,Ordino,Inter Escaldes,0.6627801705334075,2.3147682160735124,True,1.4489991188987569e-08
Esperanca,UE Santa Coloma,0.6481695797306135,2.3203064729775162,True,7.174859112392328e-12,Esperanca,UE Santa Coloma,0.550488443078431,2.583246576012479,True,9.632675053318335e-12
UE Santa Coloma,Inter Escaldes,0.9272854622244332,1.4029188085453697,True,5.533111329005178e-10,UE Santa Coloma,Inter Escaldes,1.0432617409503722,1.2904759981079041,True,4.73918936100985e-11
Atletic Escaldes,Ordino,2.8389108019627494,0.7417077209495229,True,2.24350233674319e-09,Atletic Escaldes,Ordino,2.052755089729613,0.9016174326626439,True,1.1093586186032868e-09
Carroi,FC Santa Coloma,0.6431348825346821,2.2390268606614483,True,7.907785788836417e-12,Carroi,FC Santa Coloma,0.5384861156767745,2.2944945943450064,True,6.613266577296671e-10
Penya,Pas de la Casa,1.7656020369536178,0.8001076774059838,True,3.948533728603921e-10,Penya,Pas de la Casa,1.7725365299640157,1.0083989811066933,True,1.6368954803868608e-10
Esperanca,Atletic America,1.1730380559165852,1.5257007183054072,True,3.428669661033764e-09,Esperanca,Atletic America,1.231105757581893,1.5357031452320953,True,1.2374722764577664e-10
Pas de la Casa,Esperanca,2.044608664969422,0.8621691766818947,True,1.2008514053210673e-11,Pas de la Casa,Esperanca,2.231484550445253,1.2802162371297245,True,1.754999974704236e-09
Ordino,Carroi,1.8703348357710194,0.8543928212040184,True,2.6355083255211484e-11,Ordino,Carroi,2.120239888222144,1.2456349881654993,True,3.856556460326718e-14
Inter Escaldes,Atletic Escaldes,1.2910982263832953,1.0100042308383095,True,3.612410985796394e-11,Inter Escaldes,Atletic Escaldes,1.7213081355772983,0.6686172754449543,True,6.636325370059401e-09
FC Santa Coloma,Penya,2.3531208328549145,0.6052958910607723,True,1.8752427525283324e-09,FC Santa Coloma,Penya,2.581944136444404,1.017322057879237,True,4.5264156215666726e-11
Atletic America,UE Santa Coloma,0.5328956254435308,1.9400359368378168,True,7.387211578904377e-09,Atletic America,UE Santa Coloma,0.3123024850886213,2.732746053933654,True,6.334954150621182e-10
Atletic America,Pas de la Casa,0.9981965850906778,1.8815405007339767,True,3.568184391282892e-11,Atletic America,Pas de la Casa,0.8737646709670909,2.0436691040233455,True,1.0758995420447381e-12
UE Santa Coloma,Atletic Escaldes,1.1257623148019311,0.9938323702920606,True,8.834678598139323e-12,UE Santa Coloma,Atletic Escaldes,1.1292272988567489,0.7487218592634045,True,8.046951356264283e-11
Esperanca,FC Santa Coloma,0.6040202838768257,2.3616332509360043,True,1.170919066275543e-09,Esperanca,FC Santa Coloma,0.30084142598107666,2.4065518350386848,True,3.5352640943915774e-10
Carroi,Inter Escaldes,0.6833807443773993,2.855929800145261,True,7.248340535068297e-11,Carroi,Inter Escaldes,0.37554050963967217,2.867563964170627,True,5.746850440247478e-12
Penya,Ordino,1.1701823732664534,1.1701697892467389,True,5.398426140015514e-11,Penya,Ordino,1.6734224664340676,1.0470702576890685,True,3.3566533895442435e-11
Pas de la Casa,UE Santa Coloma,0.8545750234260298,2.2083692021896577,True,1.9269533616705143e-11,Pas de la Casa,UE Santa Coloma,0.7670830830993227,1.9854599441274567,True,1.6747098153972332e-11
Inter Escaldes,Penya,2.6478699322092996,0.7564618528740941,True,1.4609331664730893e-10,Inter Escaldes,Penya,2.3110604645767965,0.7823261861447602,True,1.9553987229660728e-10
FC Santa Coloma,Atletic America,3.9070969031873677,0.7819614377053784,True,1.749487295895156e-10,FC Santa Coloma,Atletic America,3.776071908881951,0.4493978515843223,True,3.9739889512393814e-07
Atletic Escaldes,Carroi,3.0139018256706263,0.8336015223396318,True,2.7377793124825824e-10,Atletic Escaldes,Carroi,3.396728196187756,0.6739659563513312,True,1.105179466375583e-09
Penya,Atletic Escaldes,0.9496999712736807,1.8922873811550638,True,3.508093133432153e-10,Penya,Atletic Escaldes,1.0357560891853181,1.8615601465305998,True,4.276218096695342e-10
Pas de la Casa,FC Santa Coloma,0.6068366929616805,2.358980951650472,True,8.960782383610691e-10,Pas de la Casa,FC Santa Coloma,0.5600948996643341,2.3510222022150185,True,2.54682873177467e-09
