team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Noah,Van,1.1838511864318007,1.0092404740132515,True,1.4885633136523924e-09,Noah,Van,1.5483346606013626,0.8090226607389818,True,2.674429611308685e-11
West Armenia,Shirak Gyumri,1.014845057172844,0.9578618920915525,True,1.0517054085322546e-11,West Armenia,Shirak Gyumri,1.240991033729231,1.148775738537352,True,2.607650457037059e-12
BKMA,Urartu,0.7601039090685598,2.0283262713703327,True,1.4709229095304927e-10,BKMA,Urartu,0.8535716776009362,1.6463004578865306,True,2.2025136898303326e-10
Ararat Yerevan,Ararat-Armenia,0.7435929185774063,1.6658048392747282,True,2.819876990432837e-12,Ararat Yerevan,Ararat-Armenia,0.7662816132302558,1.5461912846049426,True,1.3830183016132884e-11
Alashkert,Pyunik Yerevan,0.878875622579303,1.2472313256483156,True,1.546376697467496e-10,Alashkert,Pyunik Yerevan,0.8066894736116877,1.3401007733139654,True,8.341035188162262e-10
BKMA,Noah,1.1259656911769778,1.0264840436019336,True,1.049907701855638e-11,BKMA,Noah,0.9631945972622316,1.0821628023767114,True,2.2282716635235568e-11
Van,Shirak Gyumri,1.1669054017164162,1.0975140855292695,True,1.0657377015102974e-09,Van,Shirak Gyumri,1.18087858690815,1.2258552432231993,True,3.671723060225339e-12
Pyunik Yerevan,Ararat Yerevan,2.1280828007475603,0.5760143773521483,True,1.1902023030321927e-10,Pyunik Yerevan,Ararat Yerevan,1.9901801676397983,0.5668919046237212,True,9.530290335231142e-11
West Armenia,Alashkert,0.5864907404127778,2.1234980846811125,True,2.186604550898301e-10,West Armenia,Alashkert,0.908922453265856,2.2725037624478905,True,8.72675448245497e-12
Urartu,Ararat-Armenia,1.1049595934272785,1.0350700776641466,True,1.1926774965101536e-11,Urartu,Ararat-Armenia,0.996817842887444,1.019861891574746,True,1.3907950354718524e-11
Shirak Gyumri,BKMA,1.1803028782813725,0.9799527667371901,True,2.574899773558245e-09,Shirak Gyumri,BKMA,1.0350981498356144,1.019427918461051,True,1.255160481341663e-11
Ararat Yerevan,West Armenia,1.5733468484592938,0.9974269406948538,True,1.59700796883426e-09,Ararat Yerevan,West Armenia,1.7352011783960015,0.9612100636677413,True,3.957473753875113e-11
Noah,Urartu,1.3894220103645845,2.062996909265134,True,7.80769502887725e-11,Noah,Urartu,0.9635203664418469,1.5612969585937102,True,3.6286075577909003e-09
Alashkert,Van,1.970868856403934,0.7592109903775608,True,6.306166987479393e-11,Alashkert,Van,1.9299434237708382,0.6612397200190634,True,3.3033296919126063e-09
