team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
Adelaide United,Central Coast Mariners,1.4982123829423422,1.1957466107119061,True,8.32799398008149e-13,Adelaide United,Central Coast Mariners,1.6278892505376013,1.6816575113488612,True,1.0789776422631442e-10
Sydney FC,Melbourne Victory,1.5740953384415732,1.0135193761039045,True,6.761462331938506e-12,Sydney FC,Melbourne Victory,1.4841221630079056,0.9116326543836648,True,1.144365706861138e-10
Macarthur FC,Brisbane Roar,1.4505586243851434,1.2567817881664964,True,3.1675445383824935e-10,Macarthur FC,Brisbane Roar,1.2484182399421355,1.4305409940842782,True,1.1905185172638815e-11
Melbourne City,Western United,2.125977858044756,1.0468269252564402,True,1.4213229965672677e-11,Melbourne City,Western United,2.000969574689838,1.0450055438862822,True,8.348551954179987e-10
WS Wanderers,Wellington Phoenix,1.8226302550819005,1.0145253740032216,True,1.4160076053859338e-14,WS Wanderers,Wellington Phoenix,1.9291097537794553,0.995685334767205,True,3.741095544945153e-11
Perth Glory,Newcastle Jets,1.6605755891408254,1.1684418158232013,True,6.5682717838877944e-12,Perth Glory,Newcastle Jets,1.4274477965688854,1.1868351621271678,True,2.3546462084077993e-11
Brisbane Roar,Sydney FC,1.2516637656728096,1.4090975793478118,True,6.036061579180129e-12,Brisbane Roar,Sydney FC,1.3795349385185758,1.4543243228154212,True,3.104312283398541e-10
WS Wanderers,Western United,1.8284592289451294,1.1018066145009189,True,2.120048651534999e-13,WS Wanderers,Western United,1.6648250138582037,1.1424426892090973,True,3.4838624507687314e-12
Wellington Phoenix,Perth Glory,1.6130646448199122,1.0829008824443416,True,5.6677957929551125e-12,Wellington Phoenix,Perth Glory,1.5563427513812782,1.160671658598656,True,2.801726793957308e-12
Melbourne Victory,Newcastle Jets,1.834683714160544,1.0340237546804034,True,3.327817687589366e-10,Melbourne Victory,Newcastle Jets,2.123711068615814,1.005271095222384,True,1.1050499465918334e-10
Central Coast Mariners,Macarthur FC,1.9925482281018803,1.026785128014854,True,1.461157694634654e-09,Central Coast Mariners,Macarthur FC,2.210735909691405,1.1156691050012337,True,1.2988063466516608e-09
Adelaide United,Melbourne City,1.2461032759784558,1.6362341469330852,True,3.63653968159312e-10,Adelaide United,Melbourne City,1.5682583636007597,1.600436654884378,True,6.203206487752472e-11
Melbourne City,Sydney FC,1.79655802745234,1.1425107911621868,True,1.8660282578826358e-10,Melbourne City,Sydney FC,1.849750391733194,1.2536772060627264,True,8.140279520771139e-13
Wellington Phoenix,Brisbane Roar,1.559070471595801,1.2006764134690375,True,6.608533812116355e-12,Wellington Phoenix,Brisbane Roar,1.3341998412707419,1.479694061068814,True,1.9954416226367668e-12
Perth Glory,Central Coast Mariners,1.2308121116413413,1.4879131271361363,True,1.6095002330468224e-11,Perth Glory,Central Coast Mariners,1.329025842435299,1.6281969521674722,True,1.2849315954886211e-12
Macarthur FC,Western United,1.4348509203467523,1.3039826611400098,True,2.4354670811078615e-09,Macarthur FC,Western United,1.4157632644928224,1.2815077916285968,True,3.1703924302354133e-10
Melbourne Victory,Adelaide United,1.5899138703094104,1.0805882712002333,True,6.023357868395073e-11,Melbourne Victory,Adelaide United,1.7612043702986533,1.3314487702719642,True,3.474718767912115e-11
Newcastle Jets,WS Wanderers,1.2060734383372198,1.3102696089930468,True,7.491549929357383e-12,Newcastle Jets,WS Wanderers,1.2150104810718099,1.7578698042546934,True,9.254518800988174e-12
Melbourne Victory,Wellington Phoenix,1.7423146753191483,1.0169377285010364,True,1.7371291547639266e-12,Melbourne Victory,Wellington Phoenix,1.921835479363476,0.9694741460396588,True,6.995382593470334e-10
Western United,Newcastle Jets,1.9005766469536842,1.2205117922576987,True,8.851711825704347e-10,Western United,Newcastle Jets,1.9242205680903295,1.4357558081187582,True,8.628508892116191e-14
WS Wanderers,Perth Glory,1.8379434425479961,0.8959081024408367,True,8.629351166339274e-14,WS Wanderers,Perth Glory,1.9936033891206217,0.8425240000675659,True,2.9163710803989626e-10
Adelaide United,Sydney FC,1.5876082327082215,1.1822711092527796,True,6.880254623924801e-12,Adelaide United,Sydney FC,1.8217910312739645,1.481660232896328,True,1.3279562654041218e-10
Central Coast Mariners,Brisbane Roar,1.8513429704815414,1.0703322216109623,True,2.4323557883415307e-10,Central Coast Mariners,Brisbane Roar,1.805505640895962,1.3997702072232028,True,1.8872850850882332e-10
Melbourne City,Macarthur FC,2.665110623678259,0.911329632057238,True,9.389499644265724e-10,Melbourne City,Macarthur FC,2.1093637711634865,1.090389994098595,True,1.4841374816635495e-09
Macarthur FC,Melbourne Victory,1.2444649957053155,1.4133371621730626,True,1.4147124539675966e-12,Macarthur FC,Melbourne Victory,1.1555035609406084,1.7629638783316344,True,2.4327804247775662e-11
Wellington Phoenix,Melbourne City,1.2464566515991296,1.6620331722222037,True,2.772691120719984e-10,Wellington Phoenix,Melbourne City,1.0359698165692435,1.602853843664813,True,3.9359256261639426e-12
Sydney FC,WS Wanderers,1.439184715144929,1.208615400406367,True,5.401090466313251e-10,Sydney FC,WS Wanderers,1.555774103563937,1.3567379245130846,True,8.064284778325852e-13
Central Coast Mariners,Newcastle Jets,1.5967480817114066,1.3117620353020036,True,2.481472854573239e-12,Central Coast Mariners,Newcastle Jets,2.0267346786857927,1.2983291667001489,True,5.212319354790768e-09
Western United,Adelaide United,1.3029115310356303,1.309052523468261,True,3.074839463948574e-12,Western United,Adelaide United,1.3665617440718798,1.3920913887030935,True,1.3058598663277375e-12
Brisbane Roar,Perth Glory,1.8491931684077407,1.010525118077207,True,2.7133844694193456e-10,Brisbane Roar,Perth Glory,2.0279798352695115,1.174818304096901,True,2.5501237649725102e-14
