Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close
algeria,ligue-1,2023-09-15,Khenchela,ES Setif,1,0,,,,,,,,,,,,,,,,,2.94,2.62,1.38,1.48,2.89,2.21,1.36,1.68,2.27,1.83,1.59,2.04,1.95,1.61,1.82,2.36,1.66,1.39,2.14,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-15,El Bayadh,Constantine,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.83,1.4,1.42,2.28,2.35,1.58,1.61,1.94,2.0,1.83,1.86,1.57,1.6,2.3,2.36,1.39,1.41,2.77,2.86,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-15,ASO Chlef,Oran,2,0,,,,,,,,,,,,,,,,,2.44,2.58,1.5,1.5,2.11,2.2,1.68,1.69,1.79,1.83,1.99,2.03,1.6,1.62,2.25,2.33,1.38,1.4,2.81,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-16,Magra,Kabylie,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,3.12,1.53,1.36,1.93,2.57,1.85,1.52,1.57,1.95,2.26,1.9,1.41,1.67,2.66,2.24,1.35,1.46,3.13,2.69,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-16,MC Alger,Ben Aknoun,4,0,,,,,2.96,2.95,1.38,1.39,2.56,2.35,1.47,1.61,2.19,2.04,1.65,1.83,1.95,1.75,1.88,2.1,1.64,1.47,2.22,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-17,Saoura,Biskra,1,0,,,,,3.0,2.95,1.37,1.39,2.93,2.42,1.39,1.56,2.6,2.07,1.48,1.78,2.52,1.8,1.51,2.07,2.42,1.5,1.48,2.63,1.99,1.37,1.74,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-22,Kabylie,Paradou,0,0,,,,,,,,,,,,,,,,,2.75,2.66,1.38,1.38,2.41,2.29,1.51,1.53,2.0,1.87,1.79,1.83,1.72,1.63,2.0,2.09,1.48,1.4,2.42,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-22,Ben Aknoun,ASO Chlef,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.46,1.44,1.54,2.37,2.12,1.58,1.74,1.98,1.76,1.86,2.12,1.66,1.53,2.23,2.54,1.49,1.4,2.58,2.93,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-22,Constantine,MC Alger,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,3.04,2.08,1.37,1.37,2.52,2.79,1.54,1.29,1.95,3.25,1.9,1.38,1.67,2.95,2.23,1.37,1.45,3.07,2.71,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-09-23,Oran,Saoura,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.82,1.36,1.42,2.49,2.31,1.48,1.63,2.11,1.94,1.68,1.91,1.71,1.53,2.1,2.54,1.46,1.36,2.59,3.12,,,,,,,,,,,,,,,,,,,,,,,,
