Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close
australia,a-league,2023-10-20,Adelaide United,Central Coast Mariners,3,0,Pinnacle,2.21,3.77,3.19,2.56,4.06,2.42,,,,,3.19,3.91,1.37,1.25,2.54,3.22,1.55,1.38,2.18,2.68,1.72,1.51,1.91,2.37,1.96,1.64,1.63,2.07,2.35,1.85,1.48,1.79,2.75,2.12,1.38,1.62,3.12,2.56,1.27,1.46,3.89,2.84,1.23,1.31,4.61,4.07,,,,,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-10-21,Sydney FC,Melbourne Victory,0,2,Pinnacle,1.94,3.79,3.91,1.94,3.67,4.14,3.10,3.19,1.41,1.39,2.72,2.78,1.51,1.49,2.22,2.23,1.73,1.72,1.93,1.94,1.94,1.96,1.69,1.68,2.28,2.31,1.45,1.42,2.93,3.06,1.35,1.33,3.39,3.57,1.29,1.26,3.86,4.08,,,,,,,,,,,,,,,,,,,,,,,,,3.48,3.60,1.34,1.32,,,,
australia,a-league,2023-10-21,Macarthur FC,Brisbane Roar,1,1,Pinnacle,2.33,3.72,2.94,2.96,3.75,2.37,,,,,3.50,4.44,1.32,1.24,2.73,3.62,1.49,1.32,2.31,2.92,1.65,1.44,2.03,2.57,1.85,1.56,1.72,2.19,2.18,1.75,1.54,1.85,2.56,2.06,1.43,1.65,2.91,2.35,1.31,1.49,3.58,2.80,1.22,1.32,4.48,3.62,1.26,1.27,4.21,4.06,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-10-21,Melbourne City,Western United,1,2,Pinnacle,1.58,4.68,5.27,1.65,4.48,4.93,2.19,2.39,1.75,1.64,1.91,2.09,1.96,1.83,1.71,1.81,2.25,2.10,1.57,1.65,2.53,2.37,1.41,1.47,3.07,2.85,1.26,1.29,4.18,3.85,,,,,,,,,,,,,,,,,,,,,,,,,3.72,4.34,1.31,1.25,2.90,3.25,1.45,1.38,2.46,2.70,1.61,1.52,,,,
australia,a-league,2023-10-22,WS Wanderers,Wellington Phoenix,0,0,Pinnacle,1.74,4.17,4.55,1.66,4.37,4.97,2.58,2.41,1.56,1.63,2.25,2.10,1.71,1.81,1.92,1.83,1.95,2.09,1.74,1.66,2.21,2.35,1.54,1.48,2.64,2.84,1.34,1.29,3.50,3.86,1.28,1.24,3.99,4.38,,,,,,,,,,,,,,,,,,,,,4.34,4.32,1.25,1.25,3.55,3.28,1.33,1.37,2.90,2.71,1.45,1.51,,,,
australia,a-league,2023-10-22,Perth Glory,Newcastle Jets,2,2,Pinnacle,1.99,3.90,3.54,2.30,3.71,3.10,3.14,3.94,1.38,1.28,2.79,3.50,1.47,1.34,2.28,2.71,1.67,1.52,1.99,2.28,1.88,1.69,1.74,2.00,2.15,1.91,1.50,1.69,2.68,2.29,1.39,1.52,3.09,2.68,1.32,1.41,3.50,3.06,1.27,1.30,3.94,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-10-27,Brisbane Roar,Sydney FC,3,0,Pinnacle,2.88,3.67,2.38,2.73,3.86,2.50,,,,,4.84,4.42,1.21,1.24,3.50,3.28,1.32,1.37,2.85,2.72,1.44,1.51,2.50,2.38,1.56,1.64,2.13,2.04,1.76,1.87,1.81,1.76,2.07,2.17,1.62,1.60,2.37,2.49,1.47,1.44,2.81,2.95,1.31,1.29,3.61,3.86,1.26,1.27,4.03,4.11,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-10-28,WS Wanderers,Western United,5,0,Pinnacle,1.80,4.16,4.18,1.98,3.97,3.69,2.66,3.11,1.51,1.40,2.34,2.75,1.64,1.50,2.00,2.25,1.88,1.71,1.78,1.98,2.10,1.93,1.58,1.73,2.47,2.22,1.37,1.49,3.18,2.79,1.30,1.38,3.63,3.21,1.28,1.32,3.92,3.64,,,,,,,,,,,,,,,,,,,,,,,,,2.97,3.48,1.41,1.34,,,,
australia,a-league,2023-10-28,Wellington Phoenix,Perth Glory,2,1,Pinnacle,1.97,3.87,3.76,2.11,3.84,3.41,3.10,3.47,1.41,1.34,2.74,3.06,1.51,1.41,2.24,2.44,1.71,1.61,1.95,2.10,1.92,1.81,1.72,1.84,2.24,2.08,1.48,1.57,2.83,2.55,1.37,1.44,3.27,2.97,1.31,1.36,3.71,3.37,1.26,1.25,4.16,4.30,,,,,,,,,,,,,,,,,,,,,3.47,3.84,1.34,1.29,,,,
australia,a-league,2023-10-29,Melbourne Victory,Newcastle Jets,5,3,Pinnacle,1.75,4.21,4.52,1.56,4.73,5.54,2.61,2.18,1.55,1.75,2.28,1.91,1.69,2.00,1.93,1.69,1.93,2.29,1.74,1.56,2.20,2.58,1.54,1.40,2.62,3.15,1.34,1.24,3.47,4.39,,,,,,,,,,,,,,,,,,,,,,,,,4.25,3.80,1.25,1.30,3.59,2.92,1.32,1.45,2.93,2.47,1.44,1.60,,,,
australia,a-league,2023-10-29,Central Coast Mariners,Macarthur FC,1,2,Pinnacle,1.64,4.45,4.97,1.58,4.82,5.19,2.34,2.17,1.66,1.76,2.03,1.92,1.85,1.99,1.79,1.70,2.13,2.26,1.63,1.58,2.39,2.53,1.46,1.42,2.88,3.05,1.29,1.26,3.89,4.13,,,,,,,,,,,,,,,,,,,,,,,,,4.14,3.63,1.26,1.32,3.14,2.85,1.40,1.46,2.63,2.44,1.54,1.62,,,,
australia,a-league,2023-10-29,Adelaide United,Melbourne City,6,0,Pinnacle,3.28,3.90,2.09,2.60,4.09,2.51,,,,,4.49,4.05,1.23,1.27,4.06,3.08,1.26,1.41,3.25,2.59,1.36,1.56,2.88,2.29,1.45,1.69,2.48,1.99,1.57,1.92,2.05,1.74,1.83,2.20,1.79,1.59,2.08,2.49,1.61,1.44,2.40,2.94,1.42,1.30,2.94,3.79,,,,,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-11-03,Melbourne City,Sydney FC,2,0,Pinnacle,1.85,4.08,3.92,1.91,4.22,3.72,2.79,2.92,1.46,1.45,2.47,2.58,1.58,1.56,2.07,2.15,1.80,1.77,1.85,1.91,2.03,1.99,1.63,1.68,2.36,2.29,1.41,1.47,3.01,2.87,1.33,1.37,3.43,3.26,1.28,1.31,3.87,3.67,,,,,,,,,,,,,,,,,,,,,3.80,3.80,1.30,1.30,3.13,3.26,1.38,1.37,,,,
australia,a-league,2023-11-04,Wellington Phoenix,Brisbane Roar,5,2,Pinnacle,2.13,3.80,3.26,2.85,3.84,2.40,,,,,3.10,4.62,1.39,1.23,2.47,3.45,1.58,1.34,2.12,2.82,1.76,1.47,1.86,2.48,2.01,1.60,1.59,2.12,2.44,1.79,1.46,1.82,2.84,2.10,1.36,1.64,3.22,2.39,1.26,1.47,4.06,2.85,1.21,1.31,4.76,3.71,1.26,1.26,4.17,4.15,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-11-04,Perth Glory,Central Coast Mariners,2,0,Pinnacle,3.08,3.77,2.26,3.10,3.98,2.20,,,,,,,,,3.78,3.80,1.30,1.30,3.05,3.07,1.42,1.41,2.69,2.72,1.52,1.51,2.30,2.35,1.68,1.66,1.92,1.97,1.95,1.93,1.71,1.75,2.25,2.19,1.54,1.57,2.63,2.55,1.36,1.39,3.32,3.20,1.31,1.32,3.72,3.60,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-11-04,Macarthur FC,Western United,1,0,Pinnacle,2.42,3.76,2.83,2.43,3.75,2.86,4.11,4.12,1.27,1.27,3.65,3.70,1.32,1.31,2.84,2.87,1.47,1.47,2.41,2.42,1.63,1.62,2.11,2.12,1.80,1.81,1.79,1.80,2.10,2.11,1.61,1.60,2.46,2.48,1.48,1.47,2.81,2.83,1.35,1.34,3.40,3.46,1.23,1.22,4.60,4.71,,,,,,,,,,,,,,,,,,,,,,,,
australia,a-league,2023-11-04,Melbourne Victory,Adelaide United,1,1,Pinnacle,1.98,3.80,3.68,2.06,4.13,3.33,3.17,3.19,1.37,1.39,2.80,2.85,1.47,1.47,2.27,2.34,1.68,1.66,1.98,2.06,1.89,1.85,1.72,1.81,2.18,2.10,1.48,1.57,2.76,2.55,1.37,1.45,3.19,2.91,1.30,1.37,3.63,3.29,,,,,,,,,,,,,,,,,,,,,,,,,3.54,3.54,1.31,1.33,,,,
australia,a-league,2023-11-05,Newcastle Jets,WS Wanderers,2,2,Pinnacle,2.84,3.58,2.49,3.66,4.11,1.96,,,,,,,,,,,,,2.80,3.61,1.47,1.31,2.43,3.20,1.59,1.37,2.07,2.79,1.81,1.47,1.75,2.23,2.13,1.69,1.58,1.98,2.46,1.96,1.42,1.76,2.93,2.17,1.28,1.55,3.87,2.70,1.26,1.44,4.11,3.04,1.31,1.37,3.67,3.40,,,,,,,,,,,,,,,,
australia,a-league,2023-11-10,Melbourne Victory,Wellington Phoenix,1,1,Pinnacle,1.80,4.04,4.32,1.65,4.39,5.12,2.73,2.37,1.51,1.65,2.38,2.07,1.64,1.85,2.00,1.80,1.88,2.11,1.79,1.64,2.12,2.39,1.58,1.45,2.52,2.89,1.37,1.28,3.29,3.97,1.30,1.25,3.78,4.30,,,,,,,,,,,,,,,,,,,,,4.24,4.26,1.25,1.25,3.78,3.20,1.30,1.39,3.06,2.67,1.41,1.53,,,,
australia,a-league,2023-11-11,Western United,Newcastle Jets,0,1,Pinnacle,1.83,4.22,3.88,2.00,4.34,3.36,2.73,3.10,1.49,1.40,2.41,2.76,1.61,1.50,2.05,2.27,1.83,1.70,1.82,2.00,2.05,1.91,1.62,1.77,2.38,2.16,1.41,1.55,3.00,2.61,1.33,1.44,3.42,2.96,1.30,1.36,3.64,3.32,,,,,,,,,,,,,,,,,,,,,,,,,3.04,3.46,1.40,1.34,,,,
australia,a-league,2023-11-11,WS Wanderers,Perth Glory,2,0,Pinnacle,1.64,4.19,5.17,1.53,4.59,6.20,2.41,2.18,1.60,1.76,2.09,1.88,1.79,2.03,1.81,1.66,2.08,2.35,1.63,1.53,2.35,2.67,1.45,1.36,2.88,3.33,1.26,1.21,3.99,4.87,,,,,,,,,,,,,,,,,,,,,,,,,4.43,3.90,1.23,1.29,3.32,2.95,1.35,1.44,2.72,2.48,1.48,1.60,,,,
australia,a-league,2023-11-11,Adelaide United,Sydney FC,1,5,Pinnacle,2.09,3.86,3.39,2.14,4.24,3.08,3.33,3.39,1.36,1.35,2.97,3.02,1.44,1.42,2.40,2.46,1.63,1.61,2.07,2.13,1.82,1.79,1.83,1.89,2.08,2.01,1.57,1.65,2.55,2.37,1.44,1.51,2.95,2.72,1.36,1.42,3.35,3.04,1.27,1.30,4.09,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
