Country,League,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,+3_AH_H_Open,+3_AH_H_Close,-3_AH_A_Open,-3_AH_A_Close,FTR
austria,2-liga,2023-07-28,Bregenz,First Vienna,Pinnacle,2.68,3.48,2.54,3.02,3.85,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,3.71,1.35,1.29,2.67,2.99,1.50,1.40,2.32,2.64,1.63,1.51,1.98,2.28,1.88,1.66,1.70,1.92,2.20,1.93,1.54,1.70,2.53,2.19,1.39,1.52,3.04,2.58,1.25,1.34,4.09,3.30,1.23,1.29,4.12,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:0
austria,2-liga,2023-07-28,Admira,Stripfing,Pinnacle,1.96,3.75,3.57,2.41,3.75,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,4.07,1.37,1.25,2.77,3.75,1.47,1.28,2.25,2.85,1.67,1.43,1.92,2.39,1.85,1.60,1.72,2.09,2.17,1.77,1.48,1.80,2.71,2.07,1.38,1.59,3.12,2.41,1.31,1.47,3.53,2.75,1.27,1.33,3.89,3.36,1.20,1.20,4.72,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:0
austria,2-liga,2023-07-28,Liefering,Dornbirn,Pinnacle,1.52,4.54,5.45,1.73,4.36,4.15,,,,,,,,,,,,,,,,,,,,,,,,,2.77,3.42,1.41,1.32,2.35,2.81,1.56,1.44,2.08,2.52,1.71,1.55,1.81,2.22,1.96,1.69,1.61,1.92,2.25,1.93,1.49,1.72,2.54,2.16,1.34,1.54,3.08,2.54,1.20,1.35,4.22,3.25,1.24,1.29,3.85,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:1
austria,2-liga,2023-07-28,Leoben,Horn,Pinnacle,2.85,3.50,2.39,1.95,3.73,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,3.48,1.31,1.32,3.85,3.11,1.26,1.38,4.45,2.74,1.19,1.47,3.39,2.23,1.29,1.68,2.76,1.95,1.41,1.90,2.42,1.69,1.53,2.20,2.06,1.45,1.72,2.82,1.75,1.35,2.04,3.27,1.57,1.28,2.33,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:2
austria,2-liga,2023-07-28,Lafnitz,Kapfenberg,Pinnacle,1.67,4.12,4.59,1.81,4.00,4.06,,,,,,,,,,,,,,,,,,,,,,,,,3.39,3.71,1.33,1.29,2.78,3.01,1.45,1.40,2.47,2.70,1.56,1.49,2.15,2.38,1.73,1.60,1.81,2.03,1.95,1.83,1.67,1.81,2.26,2.04,1.49,1.60,2.70,2.40,1.30,1.38,3.58,3.10,1.25,1.30,4.06,3.56,1.26,1.26,3.93,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:0
austria,2-liga,2023-07-28,Grazer AK,Amstetten,Pinnacle,1.49,4.64,5.74,1.60,4.46,5.03,,,,,,,,,,,,,,,,,,,,,3.51,4.22,1.31,1.24,2.75,3.15,1.47,1.37,2.33,2.62,1.63,1.51,2.01,2.31,1.77,1.64,1.78,2.01,2.07,1.85,1.60,1.75,2.39,2.13,1.48,1.59,2.69,2.41,1.34,1.42,3.31,2.91,1.20,1.26,4.47,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:0
austria,2-liga,2023-07-30,Floridsdorfer AC,Ried,Pinnacle,3.42,3.52,2.09,2.67,3.47,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,4.53,1.18,1.21,4.34,3.25,1.23,1.35,3.38,2.65,1.33,1.50,2.97,2.29,1.41,1.65,2.54,1.94,1.54,1.91,2.01,1.66,1.78,2.26,1.78,1.51,2.08,2.62,1.58,1.36,2.44,3.19,1.38,1.22,3.10,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:1
austria,2-liga,2023-07-30,Sturm Graz (Am),St. Polten,Pinnacle,4.05,3.87,1.81,4.18,4.21,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,3.69,1.31,1.29,3.10,3.24,1.38,1.35,2.41,2.51,1.59,1.55,2.04,2.13,1.81,1.74,1.78,1.89,2.01,1.96,1.57,1.64,2.45,2.30,1.45,1.51,2.82,2.64,1.37,1.41,3.16,2.96,1.26,1.29,3.94,3.64,,,,,,,,,,,,,,,,,,,,,1:4
austria,2-liga,2023-08-04,Stripfing,Leoben,Pinnacle,2.25,3.62,2.99,2.58,3.55,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,4.11,1.33,1.25,2.64,3.09,1.50,1.38,2.24,2.57,1.68,1.53,1.93,2.23,1.85,1.68,1.68,1.90,2.24,1.95,1.52,1.65,2.61,2.30,1.41,1.50,2.96,2.65,1.29,1.36,3.68,3.20,1.19,1.23,4.83,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:4
austria,2-liga,2023-08-04,St. Polten,Lafnitz,Pinnacle,1.70,4.00,4.52,1.74,4.08,4.40,,,,,,,,,,,,,,,,,,,,,,,,,3.56,3.60,1.30,1.30,2.89,2.92,1.42,1.42,2.57,2.60,1.53,1.52,2.23,2.27,1.68,1.66,1.86,1.93,1.91,1.92,1.69,1.73,2.20,2.15,1.51,1.53,2.64,2.56,1.31,1.33,3.50,3.38,1.26,1.27,3.98,3.86,1.26,1.26,3.95,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:0
