Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close
austria,bundesliga,2023-12-05,Altach,A. Lustenau,3,0,Pinnacle,1.67,3.82,5.95,1.67,3.82,5.95,,3.70,,1.31,,2.94,,1.44,,2.58,,1.56,,2.20,,1.74,,1.86,,2.05,,1.66,,2.35,,1.45,,2.95,,1.24,,4.42,,1.19,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-12-05,Tirol,Rapid Vienna,1,2,Pinnacle,6.40,5.02,1.48,6.40,5.02,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,1.33,,2.84,,1.47,,2.54,,1.57,,2.23,,1.72,,1.93,,1.98,,1.72,,2.21,,1.56,,2.58,,1.38,,3.21,,1.32,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-12-04,A. Klagenfurt,Hartberg,1,1,Pinnacle,3.90,3.71,1.99,3.90,3.71,1.99,,,,,,,,,,,,,,,,,,,,,,3.85,,1.29,,3.36,,1.36,,2.88,,1.47,,2.23,,1.72,,1.92,,1.99,,1.68,,2.29,,1.47,,2.89,,1.37,,3.30,,1.31,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-12-03,Austria Vienna,LASK,0,0,Pinnacle,2.45,3.42,3.06,2.45,3.42,3.06,,,,,,,,,,4.47,,1.24,,3.97,,1.28,,2.95,,1.45,,2.44,,1.61,,2.10,,1.82,,1.75,,2.19,,1.55,,2.61,,1.42,,3.02,,1.30,,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-12-03,BW Linz,Sturm Graz,1,1,Pinnacle,4.12,3.57,1.98,4.12,3.57,1.98,,,,,,,,,,,,,,,,,,,,,,4.06,,1.27,,3.53,,1.33,,3.01,,1.44,,2.27,,1.70,,1.93,,1.98,,1.69,,2.28,,1.47,,2.87,,1.37,,3.29,,1.31,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-12-03,Salzburg,Wolfsberger AC,1,0,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-11-26,Altach,A. Klagenfurt,0,1,Pinnacle,2.21,3.60,3.24,2.15,3.26,3.89,,,,,,,,,3.75,3.86,1.29,1.29,3.32,3.37,1.35,1.36,2.59,2.55,1.53,1.57,2.20,2.14,1.71,1.78,1.92,1.83,1.95,2.09,1.62,1.51,2.38,2.74,1.47,1.38,2.80,3.30,1.37,1.29,3.20,3.84,1.26,1.20,4.04,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-11-26,Rapid Vienna,BW Linz,1,0,Pinnacle,1.45,4.97,6.54,1.36,5.52,8.75,2.58,2.31,1.53,1.68,2.22,2.02,1.70,1.89,1.96,1.77,1.90,2.15,1.70,1.53,2.23,2.65,1.54,1.42,2.56,3.04,1.44,1.35,2.88,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,3.60,1.31,1.32,3.62,3.22,1.30,1.38,3.24,2.85,1.36,1.47,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-11-26,Wolfsberger AC,Austria Vienna,1,0,Pinnacle,2.49,3.48,2.86,2.52,3.47,2.92,,,,,,,,,,,,,3.97,4.02,1.27,1.27,2.97,3.00,1.41,1.43,2.48,2.50,1.57,1.59,2.14,2.16,1.75,1.77,1.81,1.81,2.08,2.11,1.58,1.59,2.46,2.51,1.45,1.46,2.85,2.91,1.32,1.32,3.50,3.60,1.19,1.20,4.90,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austria,bundesliga,2023-11-25,LASK,Tirol,1,0,Pinnacle,1.35,5.52,8.00,1.35,5.60,8.81,2.25,2.30,1.68,1.68,1.98,2.02,1.89,1.89,1.75,1.77,2.15,2.16,1.52,1.53,2.62,2.67,1.41,1.41,2.98,3.07,1.34,1.34,3.35,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,3.56,1.33,1.33,3.08,3.19,1.39,1.39,2.74,2.83,1.49,1.48,,,,,,,,,,,,,,,,,,,,,,,,
