Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,+3_AH_H_Open,+3_AH_H_Close,-3_AH_A_Open,-3_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close
belarus,vysshaya-liga,2023-03-17,FC Minsk,Slavia Mozyr,2,0,Pinnacle,2.37,3.22,2.78,4.57,3.40,1.84,,,,,,,,,,,,,1.74,3.29,2.06,1.33,1.39,2.41,2.71,1.58,,,,,,,,,1.41,2.02,2.72,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.77,2.62,2.07,1.39,1.52,2.84,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-03-18,Din. Minsk,Isloch,3,0,Pinnacle,1.72,3.55,4.16,1.63,3.87,5.43,1.98,1.81,1.80,2.05,1.71,1.62,2.02,2.33,1.50,1.42,2.38,2.84,,,,,,,,,2.75,2.47,1.38,1.53,2.40,2.13,1.51,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-03-18,Shakhtyor Soligorsk,Naftan,2,1,Pinnacle,1.19,6.77,12.77,1.19,6.99,14.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.62,2.23,2.29,,,,,,,,,,,,,2.48,2.51,1.50,1.52,2.25,2.28,1.62,1.65,2.03,2.02,1.81,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.78,2.02,2.07
belarus,vysshaya-liga,2023-03-18,FC Gomel,BATE,0,2,Pinnacle,5.22,3.68,1.56,5.06,3.63,1.71,,,,,,,,,,,,,,,,,2.70,2.63,1.45,1.48,,,,,,,,,2.28,2.18,1.55,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.93,1.71,1.92,1.78,1.65,2.01,2.27,1.56,1.49,2.29,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-03-18,Dynamo Brest,Zhodino,0,1,Pinnacle,2.81,3.02,2.41,3.26,3.03,2.38,,,,,,,,,2.40,2.71,1.51,1.45,2.05,2.27,1.75,1.65,1.69,1.84,2.06,2.02,,,,,,,,,1.51,1.61,2.36,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.42,2.59,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-03-19,Energetik-BGU,Slutsk,1,0,Pinnacle,1.57,3.72,5.12,1.83,3.56,4.35,1.71,2.04,2.02,1.79,1.55,1.83,2.27,2.04,1.44,1.58,2.60,2.40,1.51,1.34,2.46,3.19,,,,,,,,,2.01,2.42,1.78,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-03-19,Smorgon,Belshina,1,0,Pinnacle,2.34,3.08,3.20,2.88,3.14,2.55,,,,,2.32,2.81,1.61,1.43,2.00,2.45,1.84,1.56,1.64,2.05,2.26,1.81,1.45,1.71,2.68,2.16,,,,,,,,,1.41,1.53,2.83,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-04-01,Naftan,FC Gomel,1,1,Pinnacle,4.58,3.43,1.81,4.34,3.37,1.88,,,,,,,,,,,,,3.18,3.12,1.34,1.36,2.42,2.32,1.55,1.62,,,,,,,,,2.03,1.97,1.79,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.72,2.04,2.14,1.55,1.48,2.45,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-04-01,Isloch,Dynamo Brest,3,0,Pinnacle,1.81,3.48,3.82,2.88,3.43,2.39,,,,,1.83,2.74,1.95,1.45,1.59,2.45,2.27,1.54,1.36,2.11,2.91,1.75,1.46,1.79,2.55,2.08,,,,,,,,,1.43,1.60,2.63,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.42,2.86,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belarus,vysshaya-liga,2023-04-01,Zhodino,Smorgon,2,1,Pinnacle,1.23,5.66,13.04,1.37,4.62,9.09,1.41,1.45,2.82,2.73,,,,,,,,,,,,,,,,,1.54,1.93,2.39,1.93,1.46,1.61,2.66,2.34,,,,,1.76,2.21,2.03,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,2.57,1.83,1.50
