Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker,ah_odds
belgium,national-division-1,2023-08-30,URSL Vise,Charleroi B,0,1,1.74,3.73,4.27,1.93,3.35,3.90,2.19,2.45,,,1.88,2.08,,,1.67,1.87,,,1.40,1.32,,,,,,,,,,,,,1.45,1.63,,,,,,,,,,,,,,,1.67,1.51,,,1.93,1.72,,,2.20,1.93,2.83,3.17,,,,,,,,,,,,,,,2.67,2.25,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,Antwerp B,Virton,0,2,3.91,3.64,1.79,3.31,3.50,2.07,1.40,1.40,2.02,2.31,,,1.76,2.01,,,1.56,1.75,2.47,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,1.57,2.83,2.82,2.05,1.81,,,2.35,2.00,,,1.53,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,Dessel,Namur,1,0,1.98,3.61,3.28,1.88,4.00,3.45,2.19,2.04,,,1.93,1.81,,,1.72,1.61,,,1.45,1.49,,,,,,,,,,,,,1.51,1.41,,,,,,,,,,,,,,,1.67,1.73,,,1.88,2.00,,,2.10,2.24,2.65,2.47,,,,,,,,,,,,,,,2.48,2.70,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,Gent B,Thes Sport,1,0,1.96,3.49,3.43,2.25,3.36,3.04,1.87,2.09,1.47,1.39,1.65,1.83,,,1.47,1.62,,,1.65,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,2.86,1.95,1.72,,,2.23,1.98,,,2.59,2.25,2.23,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,Tienen,Heist,1,1,2.92,3.36,2.23,2.53,3.55,2.54,1.66,1.47,1.66,1.84,1.51,1.43,1.51,1.62,,,,,1.91,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,1.97,2.20,2.50,2.48,2.21,2.48,2.68,,,,,1.91,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,OC Charleroi,Lokeren-Temse,1,2,1.56,4.06,4.94,2.22,3.62,2.90,1.87,2.64,1.50,1.54,1.66,2.33,,,1.49,2.09,,,1.67,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,2.39,1.95,1.45,,,2.20,1.54,,,2.55,1.69,2.18,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,RAAL La Louviere,Leuven B,3,1,1.45,4.42,5.71,1.65,4.00,4.68,2.68,2.70,,,2.25,2.43,,,2.02,2.33,,,,,1.57,1.81,,,,,,,,,,,1.75,2.06,,,,,,,,,,,,,,,1.45,1.44,,,1.63,1.53,,,1.81,1.54,,,,,2.33,2.00,,,,,,,,,,,2.06,1.71,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,Saint Eloois,Hoogstraten,2,2,2.07,3.40,3.22,2.02,3.71,3.26,2.04,1.99,1.41,1.40,1.81,1.72,,,1.61,1.53,,,1.52,1.53,,,,,,,,,,,,,1.40,1.42,,,,,,,,,,,,,2.82,2.76,1.77,1.82,,,2.02,2.05,,,2.31,2.35,2.45,2.40,,,,,,,,,,,,,,,2.83,2.72,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-08-30,Knokke,Cappellen,3,0,1.71,3.89,4.24,1.65,4.43,4.17,2.60,2.48,,,2.24,2.12,,,2.01,1.90,,,,,1.57,1.50,,,,,,,,,,,1.75,1.65,,,,,,,,,,,,,,,1.47,1.50,,,1.64,1.69,,,1.81,1.90,,,,,2.33,2.48,,,,,,,,,,,2.07,2.20,,,,,,,,,,,Pinnacle,
belgium,national-division-1,2023-09-02,Virton,URSL Vise,2,3,1.92,3.59,3.59,1.81,3.09,4.75,2.38,2.16,,,1.98,1.88,,,1.75,1.67,,,1.28,1.43,1.45,1.64,,,,,,,,,,,1.52,1.46,,,,,,,,,,,,,,,1.55,1.68,,,1.81,1.92,,,2.03,2.16,3.38,2.69,,,2.61,2.22,,,,,,,,,,,2.39,2.60,,,,,,,,,,,Pinnacle,
