Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_bookmaker,ah_odds
bosnia-and-herzegovina,premijer-liga-bih,2023-07-29,Velez Mostar,Zvijezda 09,5,0,1.58,3.58,5.11,1.49,4.09,6.54,,,,,2.61,2.26,,,2.30,2.00,,,,,1.68,1.52,,,1.52,1.48,,,,,,,1.97,1.71,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.57,,,1.61,1.75,,,,,2.16,2.32,,,2.46,2.55,,,,,,,1.85,2.02,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-07-30,GOSK Gabela,Tuzla City,1,4,2.42,3.11,2.83,2.63,3.28,2.60,1.63,1.70,1.65,1.52,1.48,1.52,1.49,1.40,,,,,1.92,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.42,2.25,2.07,2.54,2.76,2.57,2.37,,,,,1.90,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-07-30,FK Sarajevo,Sloga Doboj,1,2,1.44,4.14,5.80,1.31,5.12,8.89,,,,,,,,,,,,,,,2.15,1.76,,,1.89,1.59,,,1.68,1.43,,,2.64,2.02,,,,,,,,,,,,,1.46,1.40,,,,,,,,,,,,,,,,,,,,,1.69,1.99,,,1.93,2.22,,,2.18,2.58,,,1.46,1.71,,,,,,,,,,,,,2.62,2.82,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-04,Posusje,Siroki Brijeg,1,2,2.02,2.96,3.55,2.14,3.11,3.54,1.99,2.01,1.37,1.31,1.71,1.70,,,1.51,1.50,,,1.52,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,3.00,1.83,1.75,,,2.12,2.00,,,2.49,2.34,2.52,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-05,Zvijezda 09,Igman K.,3,4,1.99,3.36,3.47,2.47,3.48,2.64,1.69,1.97,1.62,1.40,1.53,1.71,1.48,1.52,,,,,1.85,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.83,2.14,1.83,2.58,2.46,2.42,2.10,,,,,1.97,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-06,Velez Mostar,GOSK Gabela,0,0,1.35,4.52,7.09,1.23,5.57,13.60,,,,,,,,,,,,,,,2.36,1.96,,,2.00,1.73,,,1.75,1.54,,,3.12,2.34,,,,,,,,,,,,,1.50,1.41,,,,,,,,,,,,,,,,,,,,,1.58,1.79,,,1.83,2.00,,,2.07,2.28,,,1.34,1.54,,,,,,,,,,,,,2.50,2.77,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-11,FK Sarajevo,Posusje,3,0,1.60,3.67,4.59,1.43,4.17,7.64,,,,,,,,,2.46,1.97,,,,,1.82,1.51,,,1.62,1.46,,,1.45,1.44,,,2.13,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.78,,,,,2.01,2.30,,,2.28,2.59,,,2.67,2.61,,,1.70,2.03,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-12,Zeljeznicar,Borac Banja Luka,2,0,1.93,3.11,3.62,1.92,3.41,3.90,2.14,2.06,1.37,1.34,1.85,1.79,,,1.61,1.57,,,1.39,1.39,,,,,,,,,,,,,1.36,1.36,,,,,,,,,,,,,,,,,,,2.95,2.91,1.68,1.66,,,1.95,1.95,,,2.23,2.22,2.69,2.64,,,,,,,,,,,,,,,2.78,2.78,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-12,GOSK Gabela,Zvijezda 09,2,0,1.90,3.75,3.50,1.97,3.71,3.39,2.10,2.16,,,1.85,1.90,,,1.64,1.68,,,1.49,1.44,,,,,,,,,,,,,1.42,1.47,,,,,,,,,,,,,,,,,,,,,1.72,1.67,,,1.97,1.90,,,2.25,2.15,2.55,2.65,,,,,,,,,,,,,,,2.76,2.58,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-12,Igman K.,Sloga Doboj,1,0,1.83,3.33,3.71,1.93,3.41,3.77,2.17,2.18,,,1.88,1.89,,,1.65,1.66,,,1.41,1.36,,,,,,,,,,,,,1.43,1.44,,,,,,,,,,,,,,,,,,,,,1.67,1.60,,,1.93,1.85,,,2.20,2.07,2.77,2.78,,,,,,,,,,,,,,,2.69,2.50,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-13,Siroki Brijeg,Tuzla City,1,0,2.23,2.97,3.03,2.01,3.42,3.04,1.94,1.81,1.40,1.41,1.71,1.58,,,1.52,1.40,,,1.52,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,2.57,1.78,1.93,,,1.99,2.21,,,2.28,2.60,2.32,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-19,Zvijezda 09,Sloga Doboj,1,0,2.11,3.31,3.32,2.07,3.43,3.37,2.03,1.98,1.39,1.40,1.76,1.72,,,1.56,1.52,,,1.52,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,2.82,1.81,1.83,,,2.05,2.09,,,2.36,2.42,2.50,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-19,Posusje,Zeljeznicar,1,0,2.95,2.96,2.33,3.00,2.66,2.76,1.53,1.46,1.62,1.75,1.38,1.47,1.44,1.55,,,,,2.00,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.00,2.48,2.49,2.69,2.31,2.92,2.59,,,,,1.83,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
bosnia-and-herzegovina,premijer-liga-bih,2023-08-20,Borac Banja Luka,Igman K.,4,1,1.81,3.51,3.74,1.52,3.72,6.92,,,,,2.50,1.93,,,2.23,1.71,,,,,1.68,1.42,,,1.53,1.49,,,1.45,1.43,,,1.94,1.48,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.81,,,1.65,2.03,,,,,2.16,2.61,,,2.43,2.41,,,2.67,2.71,,,1.88,2.43,,,,,,,,,,,,,,,,,Pinnacle,
