Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_bookmaker,ah_odds
brazil,serie-d,2023-07-29,Vitoria ES,Ceilandia,1,0,2.86,2.86,2.28,2.63,2.67,2.85,1.60,1.44,1.52,1.72,1.43,1.38,1.37,1.53,,,,,1.79,2.07,,,,,,,,,2.39,1.96,2.20,2.43,2.78,2.26,2.57,2.59,,,,,1.95,1.63,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-29,ASA,Nacional de Patos,1,0,2.04,2.76,3.39,1.86,2.95,4.10,2.18,1.92,,,1.85,1.63,,,1.61,1.45,,,1.32,1.43,1.39,1.38,,,,,1.38,1.35,,,1.59,1.76,,,1.86,2.02,,,2.14,2.36,2.95,2.44,2.65,2.76,,,,,2.69,2.84,Pinnacle,
brazil,serie-d,2023-07-29,Camboriu,Maringa FC,0,0,2.45,2.59,2.83,2.30,2.81,3.18,1.79,1.61,1.41,1.45,1.56,1.43,1.37,1.33,1.38,1.33,,,1.60,1.71,,,,,,,,,2.65,2.39,1.96,2.07,2.80,2.76,2.28,2.41,,,2.75,2.92,2.22,1.99,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-29,Maranhao,Tuna Luso,2,3,2.09,2.85,3.16,1.85,2.85,4.70,2.29,1.86,,,1.89,1.61,,,1.65,1.43,,,1.27,1.49,1.39,1.45,,,,,1.41,1.33,,,1.56,1.81,,,1.85,2.07,,,2.12,2.40,3.29,2.30,2.70,2.47,,,,,2.66,2.94,Pinnacle,
brazil,serie-d,2023-07-29,Ferroviaria,Hercilio Luz,1,1,2.25,2.65,3.17,2.18,2.54,3.94,1.93,1.76,1.28,1.37,1.63,1.54,,,1.43,1.37,,,1.43,1.55,,,,,,,,,3.23,2.66,1.81,1.91,,,2.16,2.23,,,2.58,2.65,2.64,2.21,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-29,Inter de Limeira,SER Caxias,0,1,2.36,2.53,3.13,2.20,2.80,3.42,1.88,1.70,1.36,1.38,1.62,1.49,1.37,1.35,1.42,1.32,,,1.52,1.59,,,,,,,,,2.85,2.60,1.86,1.99,2.81,2.88,2.18,2.34,,,2.61,2.82,2.39,2.13,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-29,Falcon,Sousa,1,1,2.46,2.71,2.69,2.08,2.69,3.34,1.87,1.59,1.31,1.49,1.61,1.43,,,1.43,1.36,,,1.45,1.75,,,,,,,,,2.82,2.29,1.78,2.09,,,2.06,2.42,,,2.41,2.81,2.39,1.93,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-30,Potiguar,Bahia de Feira,1,0,2.06,2.75,3.37,2.21,2.62,3.62,1.88,1.90,1.32,1.30,1.60,1.63,,,1.41,1.44,,,1.48,1.44,,,,,,,,,2.99,2.85,1.86,1.77,,,2.19,2.04,,,2.62,2.38,2.46,2.42,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-30,Parnahyba,Nacional-AM,2,0,3.08,2.81,2.14,2.76,2.72,2.67,1.55,1.36,1.58,1.81,1.40,1.36,1.42,1.57,,,,,1.91,2.22,,,,,,,,,2.24,1.85,2.32,2.61,2.61,2.13,2.70,2.81,,,,,1.83,1.52,,,,,,,,,Pinnacle,
brazil,serie-d,2023-07-30,Pacajus,Retro,1,2,2.23,2.80,2.93,2.42,2.90,2.89,1.69,1.75,1.49,1.40,1.51,1.53,1.36,1.37,,,,,1.71,1.58,,,,,,,,,2.46,2.49,2.05,1.93,2.82,2.64,2.37,2.21,,,,,2.06,2.11,,,,,,,,,Pinnacle,
