Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,Pinnacle_-3.5_AH_H_Open,Pinnacle_-3.5_AH_H_Close,Pinnacle_+3.5_AH_A_Open,Pinnacle_+3.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-4_AH_H_Open,Pinnacle_-4_AH_H_Close,Pinnacle_+4_AH_A_Open,Pinnacle_+4_AH_A_Close,Pinnacle_-3.75_AH_H_Open,Pinnacle_-3.75_AH_H_Close,Pinnacle_+3.75_AH_A_Open,Pinnacle_+3.75_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close
cambodia,cpl,2023-12-04,Tiffy Army,Phnom Penh Crown,0,3,Pinnacle,5.44,4.35,1.44,5.44,4.35,1.44,,,,,,2.32,,1.52,,2.06,,1.68,,1.81,,1.93,,1.63,,2.15,,1.47,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-12-03,Boeung Ket,Prey Veng,2,2,Pinnacle,1.74,4.05,3.54,1.74,4.05,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,1.50,,2.16,,1.63,,1.91,,1.83,,1.72,,2.01,,1.54,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-12-03,Dangkor,Visakha,1,1,Pinnacle,6.57,5.34,1.31,6.57,5.34,1.31,,,,,,,,,,2.55,,1.44,,2.13,,1.65,,1.88,,1.85,,1.69,,2.06,,,,,,,,,,,,,,,,,,,,,,1.50,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-12-03,NagaWorld,Svay Rieng,1,0,Pinnacle,6.06,4.65,1.38,6.06,4.65,1.38,,,,,,2.53,,1.44,,2.24,,1.57,,1.92,,1.83,,1.70,,2.03,,1.53,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-12-02,Kirivong Sok Sen Chey,Angkor Tiger,1,3,Pinnacle,2.09,3.64,2.83,2.09,3.64,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,1.51,,2.07,,1.68,,1.85,,1.88,,,,,,1.61,,2.19,,1.47,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-26,Angkor Tiger,Boeung Ket,3,3,Pinnacle,4.26,4.18,1.54,5.06,4.49,1.46,,,,,2.06,2.30,1.65,1.53,1.85,2.06,1.87,1.69,1.64,1.82,2.08,1.93,1.51,1.65,2.28,2.12,1.45,1.49,2.49,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-26,Tiffy Army,Kirivong Sok Sen Chey,4,2,Pinnacle,1.57,3.76,4.56,1.76,3.56,3.88,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.64,1.56,1.41,1.99,2.34,1.75,1.53,1.70,1.98,1.98,1.77,1.55,1.75,2.21,1.97,1.53,1.54,2.32,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-25,Phnom Penh Crown,Svay Rieng,0,0,Pinnacle,1.93,3.55,3.22,2.11,3.53,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,2.39,1.62,1.50,1.93,2.09,1.81,1.67,1.69,1.86,2.04,1.88,,,,,1.46,1.60,2.46,2.20,1.41,1.46,2.61,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-25,Prey Veng,Dangkor,0,1,Pinnacle,1.71,3.97,3.63,1.79,4.02,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.27,1.63,1.55,1.88,1.98,1.85,1.75,1.70,1.79,2.03,1.95,1.52,1.61,2.32,2.20,,,,,1.41,1.41,2.60,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cambodia,cpl,2023-11-25,Visakha,NagaWorld,1,1,Pinnacle,1.37,4.73,5.85,1.37,4.82,5.98,,,,,,,,,,,,,,,,,,,,,,,,,1.78,1.75,1.96,1.98,1.55,1.53,2.28,2.31,1.43,1.43,2.55,2.54,,,,,,,,,,,,,,,,,,,,,2.62,2.62,1.42,1.42,2.22,2.21,1.56,1.60,1.97,1.96,1.74,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
