Country,League,Date,Home,Away,FTHG,FTAG
cameroon,elite-one,2023-09-27,Fauve Azur Elite,Victoria United,1,2
cameroon,elite-one,2023-10-04,Fovu Baham,APEJES Academy,0,0
cameroon,elite-one,2023-10-04,Les Astres,Aigle Royal,2,1
cameroon,elite-one,2023-10-04,Dynamo Douala,Fortuna Mfou,0,0
cameroon,elite-one,2023-10-04,Canon Yaounde,Colombe,2,1
cameroon,elite-one,2023-10-05,Union Douala,Gazelle,0,1
cameroon,elite-one,2023-10-05,Bamenda,Bamboutos FC,1,0
cameroon,elite-one,2023-10-05,Cotonsport,Stade Renard,0,0
cameroon,elite-one,2023-10-05,Avion Academy,UMS de Loum,0,0
cameroon,elite-one,2023-10-08,APEJES Academy,Yong Sports Academy,1,1
cameroon,elite-one,2023-10-08,Avion Academy,Fovu Baham,1,1
cameroon,elite-one,2023-10-08,Cotonsport,Victoria United,1,0
cameroon,elite-one,2023-10-08,Bamboutos FC,Gazelle,2,0
cameroon,elite-one,2023-10-08,Les Astres,Dynamo Douala,2,3
cameroon,elite-one,2023-10-08,Aigle Royal,Fortuna Mfou,0,1
cameroon,elite-one,2023-10-09,Colombe,Union Douala,1,1
cameroon,elite-one,2023-10-09,Canon Yaounde,Bamenda,2,0
cameroon,elite-one,2023-10-09,Stade Renard,Fauve Azur Elite,1,0
cameroon,elite-one,2023-10-12,Colombe,Bamenda,0,0
cameroon,elite-one,2023-10-14,Victoria United,Stade Renard,1,2
cameroon,elite-one,2023-10-14,Fauve Azur Elite,Cotonsport,1,0
cameroon,elite-one,2023-10-14,Fortuna Mfou,Les Astres,2,2
cameroon,elite-one,2023-10-14,Yong Sports Academy,Avion Academy,0,2
cameroon,elite-one,2023-10-14,UMS de Loum,Fovu Baham,1,1
cameroon,elite-one,2023-10-14,Dynamo Douala,Aigle Royal,2,1
cameroon,elite-one,2023-10-15,Union Douala,Bamboutos FC,3,2
cameroon,elite-one,2023-10-15,Gazelle,Canon Yaounde,0,0
cameroon,elite-one,2023-10-17,Avion Academy,Cotonsport,1,1
cameroon,elite-one,2023-10-18,Fovu Baham,Victoria United,2,1
cameroon,elite-one,2023-10-18,Bamboutos FC,Fortuna Mfou,3,0
cameroon,elite-one,2023-10-18,APEJES Academy,Fauve Azur Elite,1,1
cameroon,elite-one,2023-10-18,Gazelle,Colombe,1,0
cameroon,elite-one,2023-10-18,Les Astres,Canon Yaounde,2,1
cameroon,elite-one,2023-10-18,Union Douala,Aigle Royal,0,0
cameroon,elite-one,2023-10-18,Bamenda,Dynamo Douala,0,2
cameroon,elite-one,2023-10-18,Yong Sports Academy,UMS de Loum,0,0
cameroon,elite-one,2023-10-21,Victoria United,APEJES Academy,0,0
cameroon,elite-one,2023-10-22,Dynamo Douala,Bamboutos FC,1,2
cameroon,elite-one,2023-10-22,Colombe,Les Astres,2,1
cameroon,elite-one,2023-10-22,Canon Yaounde,Union Douala,0,0
cameroon,elite-one,2023-10-22,Bamenda,Fortuna Mfou,1,0
cameroon,elite-one,2023-10-22,Aigle Royal,Gazelle,1,1
cameroon,elite-one,2023-10-22,Stade Renard,Yong Sports Academy,1,0
cameroon,elite-one,2023-10-22,Cotonsport,UMS de Loum,4,1
cameroon,elite-one,2023-10-23,Fauve Azur Elite,Fovu Baham,0,3
cameroon,elite-one,2023-10-25,Les Astres,Gazelle,1,1
cameroon,elite-one,2023-11-05,Colombe,Fortuna Mfou,0,0
cameroon,elite-one,2023-11-05,Avion Academy,Victoria United,2,2
cameroon,elite-one,2023-11-05,Cotonsport,Yong Sports Academy,2,0
cameroon,elite-one,2023-11-05,Union Douala,Bamenda,1,1
cameroon,elite-one,2023-11-05,Canon Yaounde,Dynamo Douala,1,2
cameroon,elite-one,2023-11-05,Bamboutos FC,Aigle Royal,3,1
cameroon,elite-one,2023-11-06,UMS de Loum,Fauve Azur Elite,0,0
cameroon,elite-one,2023-11-06,APEJES Academy,Stade Renard,0,1
cameroon,elite-one,2023-11-11,Yong Sports Academy,Fauve Azur Elite,3,1
cameroon,elite-one,2023-11-11,Stade Renard,Fovu Baham,1,0
cameroon,elite-one,2023-11-11,Avion Academy,APEJES Academy,1,1
cameroon,elite-one,2023-11-12,Victoria United,UMS de Loum,2,2
cameroon,elite-one,2023-11-12,Aigle Royal,Bamenda,2,2
cameroon,elite-one,2023-11-12,Dynamo Douala,Colombe,1,1
cameroon,elite-one,2023-11-12,Gazelle,Fortuna Mfou,1,1
cameroon,elite-one,2023-11-12,Bamboutos FC,Canon Yaounde,3,3
