Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_bookmaker,ah_odds
chile,primera-b,2023-02-10,Cobreloa,San Marcos de Arica,2,1,1.68,3.33,4.74,1.99,3.05,4.13,2.15,2.51,,,1.83,2.09,,,1.59,1.82,,,1.39,1.28,1.43,1.38,,,,,,,1.36,1.52,,,,,1.69,1.45,,,1.99,1.67,,,2.33,1.92,2.89,3.47,,,2.71,2.76,,,,,,,3.04,2.37,Pinnacle,
chile,primera-b,2023-02-11,D. Puerto Montt,Deportes Temuco,0,0,2.02,3.02,3.58,3.21,2.77,2.24,1.38,2.00,1.81,1.36,1.38,1.74,1.57,1.44,,,1.39,1.36,2.26,1.43,,,,,,,,,,,,,1.91,2.98,2.69,1.72,2.22,2.70,2.68,2.02,2.67,2.77,,,1.56,2.57,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-11,Deportes Iquique,Antofagasta,3,0,2.57,3.00,2.61,2.46,3.09,2.94,1.73,1.61,1.53,1.59,1.54,1.45,1.40,1.44,,,,,1.75,1.85,,,,,,,,,,,,,2.49,2.23,2.09,2.20,2.86,2.55,2.41,2.52,,,,,2.10,1.88,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-13,S. Wanderers,CD Santa Cruz,0,0,2.01,2.99,3.50,1.95,3.26,3.94,2.17,2.02,,,1.86,1.71,,,1.62,1.50,,,1.40,1.44,,,,,,,,,1.38,1.34,,,,,1.68,1.75,,,1.95,1.99,,,2.28,2.33,2.83,2.55,,,,,,,,,,,2.95,2.95,Pinnacle,
chile,primera-b,2023-02-13,Recoleta,La Serena,0,1,2.82,2.89,2.47,2.60,2.87,2.95,1.61,1.52,1.53,1.66,1.44,1.38,1.43,1.48,,,,,1.89,2.00,,,,,,,,,,,,,2.48,2.10,2.18,2.39,2.88,2.42,2.54,2.75,,,,,1.93,1.75,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-14,S. Morning,Barnechea,5,1,2.02,3.05,3.39,2.37,3.13,3.04,1.80,2.00,1.48,1.33,1.59,1.71,,,1.41,1.51,,,1.68,1.46,,,,,,,,,,,,,2.56,2.89,2.03,1.76,,,2.34,2.00,,,2.80,2.32,2.16,2.49,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-15,San Felipe,San Luis,1,3,2.10,3.09,3.28,2.16,3.20,3.37,1.96,1.93,1.40,1.37,1.71,1.68,,,1.50,1.47,,,1.55,1.52,,,,,,,,,,,,,2.83,2.78,1.83,1.81,,,2.11,2.08,,,2.50,2.46,2.43,2.39,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-18,San Marcos de Arica,Deportes Iquique,2,3,3.01,3.04,2.26,2.81,3.15,2.51,1.56,1.44,1.69,1.80,1.43,1.41,1.52,1.58,,,,,2.02,2.17,,,,,,,,,,,,,2.14,1.94,2.39,2.55,2.46,2.23,2.74,2.78,,,,,1.81,1.62,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-19,La Serena,S. Wanderers,3,1,2.16,2.94,3.16,2.51,2.95,3.00,1.71,1.86,1.51,1.38,1.52,1.61,1.38,1.42,,,,,1.75,1.54,,,,,,,,,,,,,2.53,2.68,2.11,1.88,2.92,2.78,2.45,2.14,,,,,2.10,2.28,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-21,Deportes Temuco,Recoleta,1,1,2.02,3.04,3.56,1.78,3.31,4.80,2.47,2.02,,,2.05,1.73,,,1.77,1.51,,,1.29,1.45,1.41,1.39,,,,,,,1.49,1.39,,,,,1.53,1.74,,,1.78,2.00,,,2.04,2.35,3.46,2.58,,,2.78,2.89,,,,,,,2.55,2.85,Pinnacle,
chile,primera-b,2023-02-21,CD Santa Cruz,Rangers,2,2,2.32,2.99,2.94,2.26,3.07,3.29,1.88,1.76,1.42,1.46,1.64,1.56,,,1.45,1.38,,,1.60,1.65,,,,,,,,,,,,,2.76,2.49,1.93,2.00,,,2.24,2.30,,,2.65,2.74,2.33,2.11,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-21,Barnechea,San Felipe,2,0,1.94,3.28,3.49,2.20,3.10,3.41,1.93,2.06,1.40,1.48,1.68,1.80,,,1.47,1.58,,,1.55,1.43,,,,,,,,,,,,,2.86,2.43,1.88,1.68,,,2.18,1.94,,,2.60,2.24,2.42,2.58,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-22,San Luis,S. Morning,1,0,2.68,2.90,2.50,2.54,2.87,3.04,1.71,1.54,1.51,1.62,1.51,1.40,1.37,1.46,,,,,1.75,1.94,,,,,,,,,,,,,2.55,2.13,2.13,2.29,2.96,2.45,2.48,2.62,,,,,2.10,1.81,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-25,San Felipe,Antofagasta,1,0,2.12,2.95,3.40,2.39,3.07,2.94,1.76,1.93,1.49,1.35,1.56,1.66,,,1.38,1.46,,,1.70,1.50,,,,,,,,,,,,,2.48,2.86,2.05,1.82,,,2.36,2.10,,,2.86,2.48,2.10,2.43,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-25,Rangers,Deportes Temuco,1,2,2.26,2.99,3.05,2.47,2.97,3.04,1.75,1.80,1.49,1.43,1.55,1.58,,,1.38,1.41,,,1.71,1.61,,,,,,,,,,,,,2.54,2.58,2.10,1.94,,,2.44,2.24,,,2.95,2.66,2.12,2.19,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-26,S. Wanderers,D. Puerto Montt,3,1,2.22,2.97,3.14,2.12,3.03,3.62,2.01,1.83,1.35,1.41,1.71,1.60,,,1.50,1.42,,,1.49,1.58,,,,,,,,,,,,,3.03,2.65,1.82,1.91,,,2.10,2.20,,,2.48,2.61,2.57,2.25,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-26,Deportes Iquique,San Luis,3,2,1.75,3.20,4.23,1.83,3.25,4.62,2.39,2.34,1.36,1.33,2.00,1.99,,,1.72,1.70,,,1.31,1.28,,,,,,,,,1.37,1.44,,,3.00,2.98,1.57,1.52,,,1.83,1.76,,,2.11,2.00,3.31,3.14,,,,,,,,,,,2.99,2.50,Pinnacle,
chile,primera-b,2023-02-27,CD Santa Cruz,La Serena,0,3,3.15,3.02,2.19,2.55,3.03,2.86,1.68,1.40,1.56,1.85,1.51,1.37,1.41,1.62,,,,,1.81,2.27,,,,,,,,,,,,,2.42,1.88,2.16,2.67,2.79,2.17,2.50,2.93,,,,,2.03,1.57,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-27,Cobreloa,Barnechea,0,1,1.72,3.35,4.14,1.57,3.64,5.69,2.53,2.34,,,2.32,1.99,,,2.06,1.77,,,,,1.56,1.37,,,1.46,1.44,,,1.78,1.50,,,,,1.47,1.50,,,1.56,1.71,,,1.73,1.98,,,,,2.35,2.72,2.57,2.66,,,,,2.03,2.38,Pinnacle,
chile,primera-b,2023-02-28,Recoleta,U. De Concepcion,2,1,2.56,2.86,2.64,3.46,2.81,2.35,1.40,1.59,1.85,1.56,,,1.60,1.41,,,1.41,1.36,2.35,1.84,,,,,,,,,,,,,1.97,2.25,2.85,2.18,2.32,2.58,,,2.78,3.00,,,1.58,1.90,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-02-28,S. Morning,San Marcos de Arica,2,1,2.01,3.22,3.69,1.87,3.35,4.18,2.29,2.08,,,1.94,1.80,,,1.69,1.58,,,1.36,1.44,,,,,,,,,1.45,1.36,,,,,1.61,1.72,,,1.87,2.01,,,2.14,2.33,3.03,2.65,,,,,,,,,,,2.67,2.97,Pinnacle,
chile,primera-b,2023-03-04,S. Wanderers,Recoleta,1,1,2.04,3.10,3.40,2.14,3.09,3.57,1.99,1.98,1.37,1.35,1.71,1.71,,,1.51,1.51,,,1.51,1.48,,,,,,,,,,,,,2.99,2.89,1.83,1.77,,,2.12,2.03,,,2.48,2.35,2.54,2.49,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-03-04,San Marcos de Arica,San Felipe,0,2,2.21,3.00,3.42,2.00,3.15,3.96,2.13,1.92,,,1.83,1.65,,,1.60,1.46,,,1.41,1.55,,,,,,,,,1.36,1.38,,,,,1.70,1.88,,,2.00,2.19,,,2.33,2.60,2.80,2.41,,,,,,,,,,,3.00,2.90,Pinnacle,
chile,primera-b,2023-03-05,U. De Concepcion,CD Santa Cruz,0,1,1.73,3.33,4.21,2.18,3.16,3.38,1.95,2.35,1.40,1.40,1.69,1.98,,,1.49,1.78,,,1.55,1.41,,,,,,,,,1.35,1.51,,,2.85,2.82,1.87,1.50,,,2.16,1.72,,,2.54,1.97,2.43,2.80,,,,,,,,,,,3.10,2.35,Pinnacle,
chile,primera-b,2023-03-05,Antofagasta,S. Morning,1,0,2.11,3.16,3.47,1.92,3.32,4.01,2.22,1.99,1.37,1.37,1.90,1.72,,,1.66,1.52,,,1.39,1.51,,,,,,,,,1.42,1.38,,,2.98,2.93,1.65,1.82,,,1.92,2.09,,,2.20,2.44,2.90,2.51,,,,,,,,,,,2.75,2.92,Pinnacle,
chile,primera-b,2023-03-06,La Serena,Rangers,0,0,1.68,3.48,4.48,1.80,3.44,4.43,2.41,2.49,,,2.03,2.09,,,1.76,1.85,,,1.32,1.33,,,,,,,,,1.50,1.57,,,,,1.56,1.46,,,1.80,1.67,,,2.04,1.89,3.24,3.12,,,,,,,,,,,2.51,2.27,Pinnacle,
chile,primera-b,2023-03-06,Barnechea,Deportes Iquique,0,0,2.41,3.08,2.68,2.63,3.18,2.66,1.63,1.66,1.63,1.53,1.48,1.49,1.47,1.40,,,,,1.90,1.77,,,,,,,,,,,,,2.27,2.30,2.25,2.07,2.59,2.62,2.57,2.36,,,,,1.92,1.98,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-03-07,San Luis,Deportes Temuco,1,0,2.65,2.89,2.56,2.52,2.83,3.11,1.73,1.55,1.48,1.60,1.53,1.41,1.36,1.44,1.35,1.38,,,1.71,1.91,,,,,,,,,,,,,2.57,2.18,2.13,2.26,3.01,2.50,2.49,2.59,,,3.06,2.89,2.12,1.83,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-03-07,D. Puerto Montt,Cobreloa,0,0,2.68,2.85,2.56,2.01,2.94,4.03,2.10,1.55,1.36,1.60,1.79,1.40,,,1.56,1.39,,,1.39,1.92,,,,,,,,,1.34,1.33,,,2.96,2.18,1.70,2.27,,,2.01,2.62,,,2.35,2.85,2.81,1.83,,,,,,,,,,,3.06,3.08,Pinnacle,
chile,primera-b,2023-03-10,Recoleta,San Marcos de Arica,1,1,2.10,3.13,3.41,1.96,3.13,4.13,2.18,1.98,,,1.86,1.69,,,1.62,1.50,,,1.38,1.51,,,,,,,,,1.38,1.36,,,,,1.67,1.83,,,1.96,2.09,,,2.28,2.44,2.92,2.47,,,,,,,,,,,2.93,2.96,Pinnacle,
chile,primera-b,2023-03-11,Deportes Temuco,La Serena,2,0,2.49,2.98,2.93,2.27,3.10,3.20,1.86,1.70,1.43,1.52,1.63,1.52,,,1.44,1.43,,,1.61,1.76,,,,,,,,,,,,,2.69,2.48,1.95,2.11,,,2.25,2.44,,,2.67,2.70,2.28,2.07,,,,,,,,,,,,,Pinnacle,
chile,primera-b,2023-03-13,Deportes Iquique,D. Puerto Montt,1,1,2.00,3.04,3.50,1.79,3.26,4.86,2.47,1.99,,,2.05,1.75,,,1.76,1.52,,,1.28,1.43,1.39,1.39,,,,,,,1.49,1.30,,,,,1.53,1.71,,,1.79,2.02,,,2.04,2.34,3.49,2.53,,,2.89,2.89,,,,,,,2.54,3.05,Pinnacle,
