Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,+3_AH_H_Open,+3_AH_H_Close,-3_AH_A_Open,-3_AH_A_Close
chile,primera-division,2023-01-20,Magallanes,O'Higgins,0,1,Pinnacle,2.82,3.37,2.62,2.65,3.20,2.91,,,,,,,,,5.10,4.88,1.19,1.20,3.50,3.30,1.33,1.36,2.80,2.64,1.48,1.53,2.41,2.25,1.62,1.70,1.97,1.85,1.83,2.04,1.70,1.59,2.24,2.46,1.54,1.45,2.61,2.90,1.38,1.31,3.20,3.67,,,,,,,,,,,,,,,,,1.23,1.17,4.51,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-21,U. Espanola,Nublense,0,1,Pinnacle,2.80,3.53,2.55,2.68,3.48,2.69,,,,,,,,,4.89,4.61,1.20,1.22,3.44,3.27,1.34,1.36,2.78,2.66,1.48,1.52,2.41,2.30,1.62,1.67,1.99,1.93,1.81,1.95,1.73,1.66,2.19,2.31,1.56,1.52,2.54,2.68,1.40,1.36,3.08,3.29,,,,,,,,,,,,,,,,,1.25,1.22,4.23,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-21,Palestino,A. Italiano,1,1,Pinnacle,2.19,3.71,3.26,2.22,3.58,3.29,,,,,3.69,3.84,1.30,1.29,3.27,3.39,1.36,1.34,2.56,2.62,1.56,1.53,2.18,2.21,1.74,1.72,1.86,1.93,1.93,1.96,1.61,1.62,2.41,2.40,1.47,1.47,2.83,2.84,1.37,1.37,3.22,3.25,1.26,1.26,4.08,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-22,Copiapo,Colo Colo,2,5,Pinnacle,5.41,4.23,1.63,4.89,3.87,1.74,,,,,,,,,,,,,,,,,,,,,4.54,4.25,1.19,1.25,4.18,3.67,1.25,1.31,2.95,2.65,1.43,1.52,2.41,2.18,1.62,1.74,2.12,1.93,1.78,1.95,,,,,,,,,,,,,,,,,1.79,1.67,2.02,2.30,1.63,1.52,2.38,2.66,1.51,1.42,2.71,2.99,1.36,1.30,3.28,3.73,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-22,Everton,U. Catolica,0,3,Pinnacle,2.76,3.41,2.65,2.54,3.29,2.98,,,,,,,,,4.73,4.41,1.18,1.23,3.32,3.11,1.32,1.40,2.68,2.53,1.46,1.56,2.31,2.16,1.60,1.75,1.94,1.80,1.86,2.11,1.65,1.56,2.22,2.54,1.50,1.44,2.57,2.96,1.34,1.29,3.16,3.76,,,,,,,,,,,,,,,,,1.20,1.16,4.42,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-22,Cobresal,Union La Calera,3,1,Pinnacle,1.90,3.73,4.14,2.14,3.37,3.70,,,,,3.08,3.70,1.40,1.30,2.69,3.24,1.51,1.37,2.17,2.51,1.75,1.57,1.86,2.13,1.94,1.77,1.65,1.83,2.34,2.07,1.41,1.52,3.08,2.65,1.32,1.39,3.58,3.17,1.26,1.31,4.08,3.66,1.19,1.21,4.85,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-23,Curico Unido,Coquimbo,1,0,Pinnacle,1.76,3.86,4.74,2.02,3.41,4.08,3.27,4.02,1.36,1.27,2.88,3.55,1.46,1.32,2.46,3.08,1.60,1.41,1.96,2.36,1.83,1.64,1.76,2.02,2.15,1.88,1.54,1.72,2.60,2.21,1.32,1.44,3.56,2.94,1.26,1.33,4.12,3.48,1.23,1.27,4.06,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-23,U. De Chile,Huachipato,1,3,Pinnacle,2.27,3.28,3.46,2.28,3.24,3.48,,,,,4.18,4.26,1.25,1.25,3.67,3.74,1.31,1.30,2.73,2.75,1.50,1.49,2.26,2.27,1.69,1.68,1.90,1.94,1.90,1.94,1.60,1.60,2.45,2.45,1.44,1.44,2.95,2.96,1.34,1.34,3.42,3.44,1.23,1.23,4.43,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-27,Nublense,Magallanes,3,2,Pinnacle,1.52,4.36,6.62,1.83,3.62,4.63,2.64,3.46,1.53,1.35,2.28,3.05,1.68,1.43,1.89,2.65,1.91,1.56,1.66,2.14,2.31,1.81,1.52,1.83,2.68,2.02,1.35,1.58,3.38,2.41,1.19,1.35,5.15,3.29,1.18,1.27,4.72,3.99,1.25,1.22,4.06,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,primera-division,2023-01-28,Coquimbo,Palestino,1,1,Pinnacle,2.71,3.32,2.76,3.28,3.31,2.35,,,,,,,,,,,,,3.34,4.20,1.35,1.25,2.69,3.25,1.51,1.37,2.31,2.80,1.67,1.48,1.93,2.33,1.96,1.65,1.65,1.88,2.35,2.00,1.49,1.65,2.74,2.33,1.34,1.47,3.43,2.84,,,,,,,,,,,,,,,,,1.19,1.28,5.01,3.89,1.21,1.23,4.80,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
