Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+3.25_AH_A_Close,Pinnacle_Pinnacle_+3.25_AH_A_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-3.25_AH_H_Close,Pinnacle_Pinnacle_-3.25_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_bookmaker,ah_odds
czech-republic,cfl-group-a,2023-08-04,Kraluv Dvur,Domazlice,1,2,3.91,3.95,1.60,6.38,4.81,1.39,,,,,,,,,,,2.60,1.94,,,,,1.99,1.54,,,1.76,1.53,,,1.57,1.46,,,2.32,1.70,,,,,,,,,,,1.42,1.44,,,,,,,,,,,,,1.45,1.75,,,,,1.81,2.21,,,2.00,2.37,,,2.28,2.53,,,1.57,1.97,,,,,,,,,,,2.69,2.61,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-04,Hostoun,Ceske Budejovice B,1,0,1.98,3.53,2.93,2.04,3.69,3.08,1.99,1.94,1.43,1.40,1.75,1.70,,,1.56,1.53,,,1.56,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,2.56,1.81,1.78,,,2.03,1.97,,,2.30,2.23,2.36,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-05,Karlovy Vary,Dukla Prague B,0,1,2.24,3.75,2.44,2.09,4.12,2.50,1.83,1.71,1.53,1.60,1.64,1.56,,,1.47,1.73,,,1.67,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.18,1.93,2.00,,,2.07,2.20,,,2.35,1.95,2.01,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-05,FK Robstav,Bohemians 1905 B,1,2,2.42,3.38,2.39,1.70,4.07,3.96,2.44,1.60,,,2.11,1.47,,,1.90,1.54,,,,,1.51,1.44,,,,,,,,,,,1.65,1.44,,,,,,,,,,,,,,,,,,,,,1.51,2.12,,,1.69,2.37,,,1.88,2.33,,,,,2.44,2.61,,,,,,,,,,,2.17,2.60,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-05,Vltavin,Taborsko akademie,1,1,1.60,4.29,4.09,1.68,4.21,3.92,2.46,2.49,,,2.14,2.21,,,1.93,2.00,,,,,1.53,1.60,,,,,,,,,,,1.69,1.79,,,,,,,,,,,,,,,,,,,,,1.50,1.49,,,1.68,1.58,,,1.85,1.73,,,,,2.37,2.21,,,,,,,,,,,2.12,1.99,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-06,Povltavska FA,Pisek,1,0,1.94,3.58,2.99,1.94,3.78,3.23,2.06,1.95,,,1.84,1.76,,,1.64,1.56,,,1.48,1.49,,,,,,,,,,,,,1.44,1.38,,,,,,,,,,,,,,,,,,,,,1.71,1.71,,,1.95,1.96,,,2.18,2.19,2.47,2.31,,,,,,,,,,,,,,,2.61,2.62,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-06,Plzen B,Motorlet Prague,3,1,1.56,3.89,4.25,1.81,4.06,3.49,2.25,2.66,,,1.98,2.20,,,1.76,1.99,,,1.41,1.44,,,,,,,,,,,,,1.54,1.75,,,,,,,,,,,,,,,,,,,,,1.61,1.42,,,1.81,1.54,,,2.01,1.69,2.73,2.63,,,,,,,,,,,,,,,2.36,1.93,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-06,Admira Prague,Slavia Prague B,0,4,3.15,3.52,2.00,4.58,4.06,1.61,,,2.69,2.01,,,2.27,1.76,,,2.03,1.56,,,,,1.57,1.43,,,,,,,,,,,1.75,1.56,,,,,,,,,,,,,,,,,1.42,1.78,,,1.60,2.00,,,1.77,2.28,,,,,2.30,2.66,,,,,,,,,,,2.02,2.36,,,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-12,Pisek,FK Robstav,3,2,2.55,3.44,2.30,2.73,3.63,2.26,1.53,1.56,1.80,1.69,,,1.62,1.53,,,1.45,1.55,2.08,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.01,2.37,2.24,2.23,2.25,,,2.59,2.32,,,1.71,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-12,Motorlet Prague,Karlovy Vary,4,1,1.82,3.62,3.41,1.60,4.07,4.64,,,,,2.27,1.89,,,2.04,1.68,,,,,1.60,1.43,,,1.47,1.49,,,,,,,1.79,1.47,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.82,,,1.74,2.03,,,,,2.28,2.63,,,2.53,2.47,,,,,,,2.01,2.40,,,,,,,,,,,,,,,,,Pinnacle,
czech-republic,cfl-group-a,2023-08-12,Domazlice,Vltavin,2,1,1.56,4.01,4.32,1.46,5.06,4.90,,,,,,,,,2.34,2.02,,,,,1.80,1.59,,,1.63,1.47,,,1.47,1.45,,,2.06,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.69,,,,,1.99,2.18,,,2.23,2.42,,,2.54,2.56,,,1.72,1.93,,,,,,,,,,,,,,,,,Pinnacle,
