Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close
czech-republic,fnl,2023-11-12,Sparta Prague B,Taborsko,2,1,Pinnacle,2.66,3.22,2.47,2.72,3.37,2.54,2.60,2.66,1.44,1.47,2.29,2.34,1.58,1.61,1.96,2.00,1.81,1.86,1.67,1.70,2.12,2.18,1.51,1.53,2.42,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-12,Varnsdorf,Opava,2,1,Pinnacle,2.65,3.43,2.36,2.60,3.62,2.53,2.59,2.54,1.44,1.51,2.31,2.25,1.57,1.66,2.00,1.95,1.78,1.90,1.71,1.69,2.06,2.19,1.55,1.53,2.32,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-11,Brno,Sigma Olomouc B,0,1,Pinnacle,1.51,4.12,5.07,1.46,4.45,6.73,,,,,,,,,,,,,,,,,,,,,2.72,2.66,1.44,1.47,2.34,2.28,1.52,1.65,2.10,2.03,1.66,1.83,1.86,1.74,1.91,2.12,1.63,1.55,2.16,2.43,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-11,Chrudim,Vlasim,1,0,Pinnacle,2.51,3.30,2.51,2.33,3.46,2.94,2.45,2.31,1.47,1.63,2.17,2.03,1.62,1.83,1.88,1.71,1.88,2.16,1.62,1.52,2.17,2.50,1.47,1.47,2.45,2.66,,,,,,,,,,,,,,,,,2.78,2.71,1.43,1.45,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-11,Vyskov,Dukla Prague,2,0,Pinnacle,2.33,3.60,2.59,2.01,3.59,3.54,2.29,2.01,1.56,1.85,2.05,1.75,1.72,2.11,1.79,1.49,1.99,2.61,,,,,,,,,,,,,,,,,,,,,2.89,2.89,1.41,1.41,2.54,2.32,1.46,1.63,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-11,Prostejov,Kromeriz,0,1,Pinnacle,1.93,3.50,3.34,1.88,3.55,4.08,1.95,1.88,1.83,1.97,1.69,1.63,2.06,2.30,1.45,1.38,2.52,2.99,,,,,,,,,,,,,,,,,2.68,2.68,1.46,1.46,2.67,2.55,1.40,1.50,2.20,2.12,1.61,1.74,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-10,Jihlava,Lisen,1,1,Pinnacle,2.12,3.31,3.04,2.39,3.05,3.21,2.10,2.37,1.66,1.60,1.87,2.04,1.90,1.83,1.57,1.66,2.27,2.24,1.42,1.47,2.61,2.67,,,,,,,,,,,,,,,,,,,,,2.44,2.81,1.48,1.43,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-10,Pribram,Zizkov,1,0,Pinnacle,2.19,3.69,2.75,2.20,3.43,3.21,2.17,2.18,1.65,1.70,1.94,1.92,1.83,1.93,1.68,1.61,2.11,2.35,1.51,1.45,2.40,2.72,,,,,,,,,,,,,,,,,,,,,2.51,2.53,1.47,1.51,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-05,Dukla Prague,Taborsko,0,0,Pinnacle,2.08,3.40,3.06,1.75,3.88,4.38,2.06,1.74,1.68,2.12,1.84,1.52,1.93,2.50,,,,,,,,,,,,,,,,,,,,,2.73,2.60,1.45,1.49,2.77,2.30,1.43,1.63,2.37,1.95,1.50,1.89,,,,,,,,,,,,,,,,,,,,
czech-republic,fnl,2023-11-05,Sigma Olomouc B,Chrudim,2,4,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
