Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close
denmark,1st-division,2023-07-21,Vendsyssel,Sonderjyske,1,1,Pinnacle,3.32,3.52,2.13,2.26,3.58,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,3.82,1.26,1.27,4.2,3.4,1.24,1.33,4.16,2.65,1.24,1.5,3.28,2.25,1.35,1.67,2.88,1.96,1.43,1.89,2.46,1.65,1.57,2.28,1.95,1.49,1.81,2.69,1.75,1.39,2.12,3.07,1.56,1.27,2.48,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-21,Hillerod,Koge,0,4,Pinnacle,2.27,3.35,3.16,2.27,3.54,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,3.91,1.26,1.26,3.52,3.48,1.31,1.32,2.7,2.68,1.49,1.49,2.26,2.26,1.66,1.66,1.92,1.97,1.85,1.88,1.65,1.65,2.3,2.28,1.48,1.49,2.73,2.69,1.37,1.38,3.13,3.07,1.26,1.27,3.96,3.86,1.18,1.19,5.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-22,B.93,Aalborg,0,3,Pinnacle,5.33,4.32,1.56,7.29,4.37,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,3.62,1.39,1.3,2.5,2.8,1.56,1.45,2.21,2.49,1.69,1.56,1.89,2.16,1.88,1.72,1.7,1.86,2.19,2.0,1.56,1.67,2.48,2.25,1.41,1.5,2.93,2.65,1.27,1.33,3.82,3.37,1.27,1.28,3.81,3.78,,,,,,,,
denmark,1st-division,2023-07-23,Kolding IF,Horsens,2,1,Pinnacle,3.66,3.53,2.0,2.86,3.55,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.74,1.2,1.2,4.37,3.54,1.21,1.31,3.51,2.83,1.27,1.44,3.09,2.47,1.34,1.56,2.66,2.09,1.45,1.77,2.1,1.78,1.7,2.1,1.81,1.59,1.96,2.41,1.61,1.43,2.26,2.92,1.41,1.26,2.81,3.92,1.32,1.22,3.18,4.4,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-23,Helsingor,Naestved,2,1,Pinnacle,1.96,3.64,3.7,2.7,3.65,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,4.43,1.44,1.22,2.19,3.26,1.64,1.35,1.92,2.69,1.85,1.49,1.67,2.35,2.14,1.62,1.43,2.01,2.71,1.85,1.33,1.72,3.13,2.17,1.27,1.56,3.55,2.48,1.22,1.4,4.23,2.99,1.2,1.25,4.75,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-23,Fredericia,Hobro,0,2,Pinnacle,1.81,3.77,4.15,1.88,3.73,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.37,1.34,1.33,2.73,3.0,1.42,1.4,2.4,2.63,1.54,1.51,2.0,2.15,1.77,1.73,1.78,1.88,2.01,1.96,1.56,1.64,2.36,2.3,1.35,1.4,3.08,3.01,1.27,1.32,3.52,3.49,1.23,1.27,3.96,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-28,Sonderjyske,Fredericia,1,3,Pinnacle,1.82,3.92,3.97,1.7,4.14,4.54,,,,,,,,,,,,,,,,,,,,,,,,,3.65,3.56,1.26,1.3,2.98,2.9,1.36,1.42,2.68,2.57,1.44,1.53,2.36,2.23,1.56,1.68,2.0,1.9,1.78,1.95,1.78,1.7,1.99,2.2,1.57,1.51,2.33,2.64,1.36,1.31,2.97,3.51,1.29,1.26,3.39,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-28,Koge,Vendsyssel,3,1,Pinnacle,2.37,3.52,2.88,3.1,3.84,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,3.8,1.46,1.28,2.35,3.07,1.62,1.39,2.01,2.71,1.77,1.48,1.75,2.34,1.93,1.63,1.56,1.95,2.5,1.9,1.43,1.72,2.85,2.15,1.31,1.55,3.5,2.52,1.23,1.36,3.88,3.17,1.25,1.3,3.9,3.57,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-28,Hobro,Naestved,3,2,Pinnacle,2.32,3.35,3.08,2.73,3.39,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,4.58,1.3,1.21,2.76,3.32,1.47,1.34,2.31,2.72,1.64,1.48,1.97,2.34,1.81,1.62,1.68,1.97,2.23,1.88,1.5,1.68,2.65,2.24,1.39,1.52,3.04,2.6,1.27,1.37,3.83,3.17,1.18,1.22,4.81,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-29,Kolding IF,Hillerod,2,1,Pinnacle,1.9,3.59,3.99,1.53,4.41,5.96,,,,,,,,,,,,,,,,,,,,,4.22,3.92,1.22,1.26,3.59,2.93,1.29,1.41,3.42,2.45,1.32,1.57,3.04,2.15,1.39,1.72,2.66,1.87,1.5,1.99,2.16,1.65,1.72,2.29,1.86,1.52,1.91,2.6,1.65,1.35,2.29,3.23,1.41,1.2,2.99,4.69,1.32,1.22,3.46,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-29,Aalborg,Horsens,1,0,Pinnacle,1.75,3.88,4.41,1.6,4.39,5.04,,,,,,,,,,,,,,,,,,,,,4.24,4.31,1.22,1.23,3.64,3.18,1.29,1.36,2.96,2.63,1.41,1.51,2.64,2.32,1.51,1.63,2.3,2.02,1.65,1.84,1.91,1.75,1.86,2.12,1.74,1.6,2.14,2.4,1.53,1.42,2.55,2.9,1.33,1.26,3.38,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-07-30,Helsingor,B.93,2,0,Pinnacle,1.63,4.17,5.15,1.96,3.97,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,3.48,1.45,1.32,2.34,3.11,1.57,1.38,2.03,2.75,1.76,1.47,1.75,2.24,2.03,1.68,1.58,1.96,2.3,1.89,1.4,1.72,2.79,2.16,1.24,1.49,3.86,2.68,1.2,1.38,4.46,3.07,1.24,1.32,4.0,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-08-04,Horsens,Koge,2,0,Pinnacle,1.72,3.95,4.12,1.81,4.16,3.96,,,,,,,,,,,,,,,,,,,,,,,,,3.62,3.71,1.26,1.29,2.93,3.01,1.37,1.4,2.62,2.7,1.46,1.49,2.28,2.38,1.59,1.61,1.93,2.02,1.84,1.84,1.71,1.79,2.07,2.05,1.52,1.6,2.45,2.4,1.32,1.39,3.19,3.06,1.26,1.32,3.63,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,1st-division,2023-08-04,Hillerod,Hobro,0,1,Pinnacle,2.23,3.38,3.23,3.15,3.49,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,3.93,1.51,1.26,2.22,3.12,1.69,1.38,1.88,2.72,1.88,1.48,1.62,2.3,2.35,1.65,1.46,1.89,2.79,1.96,1.36,1.67,3.19,2.26,1.25,1.49,4.05,2.69,1.19,1.31,4.73,3.53,1.23,1.26,4.16,3.99,,,,,,,,,,,,,,,,,,,,,,,,
