Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,ah_odds,Pinnacle_bookmaker,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close
denmark,2nd-division,2023-08-04,Skive,Esbjerg,1,4,3.83,3.73,1.70,4.58,4.05,1.65,,Pinnacle,,,,,,,,,,,,,,,,,,,,,1.48,1.48,1.44,1.55,1.58,1.73,1.83,2.01,2.02,2.24,1.69,1.64,1.92,1.82,2.21,2.09,2.48,2.38,2.56,2.56,,,,,,,,,,,,,2.34,2.69,,,,,1.50,1.44,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-04,Middelfart,Aarhus Fremad,1,1,4.24,3.92,1.72,3.32,3.96,1.93,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.47,1.90,1.68,2.12,1.88,1.71,1.93,1.92,2.18,2.23,2.61,,,,,,,,,,,,,,,,,2.48,2.13,2.54,2.55,1.49,1.49,1.51,1.70,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-04,F. Amager,Hellerup,2,1,1.91,3.73,3.56,1.91,3.73,3.56,,Pinnacle,,,1.47,1.47,1.68,1.68,1.91,1.91,2.17,2.17,1.68,1.68,1.91,1.91,2.16,2.16,2.59,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.44,2.68,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-05,Brabrand,Thisted FC,1,2,1.95,3.36,3.26,2.47,3.40,2.69,,Pinnacle,,,,,,,1.78,1.54,2.00,1.70,1.70,2.13,1.97,2.41,,,,,,,,,,,,,,,1.45,1.46,2.64,2.63,,,,,,,,,,,,,,,,,,,,,1.41,1.60,1.46,1.83,2.45,2.00,2.65,2.32,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-05,Roskilde,FA 2000,1,0,1.58,4.16,4.83,1.61,4.53,4.34,,Pinnacle,1.63,1.61,1.83,1.81,2.08,2.06,2.33,2.29,,,,,1.56,1.59,1.72,1.75,1.98,2.02,2.25,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.49,2.50,2.55,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-05,Nykobing,AB Copenhagen,0,0,2.46,3.67,2.50,2.48,3.65,2.51,,Pinnacle,,,,,,,1.53,1.52,1.68,1.67,2.16,2.16,2.41,2.42,,,,,,,,,,,,,,,1.51,1.51,2.45,2.46,,,,,,,,,,,,,,,,,,,,,1.65,1.65,1.88,1.89,1.92,1.93,2.19,2.20,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-11,FA 2000,Nykobing,1,2,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-12,Thisted FC,Middelfart,1,3,1.72,3.94,4.04,2.10,4.13,2.84,,Pinnacle,,,,,1.88,1.55,2.08,1.74,2.42,1.94,1.51,1.88,1.71,2.08,1.93,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.51,1.49,1.65,2.53,2.23,2.53,2.49,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-12,Hellerup,Skive,0,1,1.87,3.52,3.47,1.92,3.63,3.63,,Pinnacle,,,1.44,1.45,1.65,1.67,1.87,1.89,2.13,2.17,1.64,1.68,1.87,1.92,2.11,2.18,2.55,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.43,2.63,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-12,AB Copenhagen,Brabrand,1,1,1.97,3.49,3.12,1.58,4.20,4.96,,Pinnacle,1.44,1.63,1.37,1.84,1.56,2.11,1.76,2.36,,,,,1.99,1.56,2.24,1.72,2.72,1.98,2.66,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.49,2.50,2.53,,,,,,,,,,,,,,,,
denmark,2nd-division,2023-08-12,Aarhus Fremad,Roskilde,3,1,1.80,3.56,3.59,1.72,3.86,4.20,,Pinnacle,1.47,1.47,1.48,1.61,1.69,1.88,1.93,2.10,2.20,2.45,1.58,1.51,1.81,1.71,2.02,1.94,2.39,2.26,2.57,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
