Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker
denmark,3rd-division,2023-08-04,Holstebro,Vejgaard,1,2,2.39,3.21,2.57,2.22,3.33,2.95,1.85,1.65,1.46,1.56,1.63,1.50,,,1.46,1.46,,,1.63,1.79,,,,,,,,,,,,,,,,,,,,,2.53,2.23,1.94,2.08,,,2.20,2.35,,,2.54,2.54,2.19,1.93,,,,,,,,,,,,,,,,,,,,,Pinnacle
denmark,3rd-division,2023-08-05,Lyseng,Ishoj,2,2,2.82,3.53,2.04,3.54,3.88,1.83,,,2.23,1.88,,,1.96,1.67,,,1.75,1.50,2.73,2.19,,,,,,,,,,,,,1.53,1.55,,,,,,,1.62,1.83,,,1.83,2.02,,,2.03,2.29,,,1.41,1.57,,,,,,,,,,,2.37,2.33,,,,,,,,,Pinnacle
denmark,3rd-division,2023-08-05,Naesby,BK Frem,4,2,2.32,3.36,2.68,2.32,3.38,2.68,1.72,1.72,1.54,1.54,1.55,1.55,1.42,1.42,,,,,1.76,1.76,,,,,,,,,,,,,,,,,,,,,2.33,2.33,2.02,2.02,2.62,2.62,2.27,2.27,,,,,2.05,2.04,,,,,,,,,,,,,,,,,,,,,Pinnacle
denmark,3rd-division,2023-08-05,VSK Aarhus,Young Boys,2,2,1.88,3.34,3.45,1.81,3.20,3.36,2.07,2.09,,,1.81,1.83,,,1.61,1.62,,,1.36,1.41,,,,,,,,,,,1.41,1.41,,,,,,,,,,,1.58,1.65,,,1.81,1.88,,,2.03,2.14,2.57,2.59,,,,,,,,,,,,,2.40,2.58,,,,,,,Pinnacle
denmark,3rd-division,2023-08-05,Vanlose,Avarta,3,0,1.67,3.87,4.11,1.93,3.98,3.18,2.08,2.47,,,1.86,2.11,,,1.66,1.92,,,1.50,1.51,,,,,,,,,,,1.46,1.66,,,,,,,,,,,1.71,1.47,,,1.93,1.65,,,2.16,1.85,2.47,2.44,,,,,,,,,,,,,2.57,2.10,,,,,,,Pinnacle
denmark,3rd-division,2023-08-05,SfB-Oure,Holbaek,0,0,1.72,3.98,3.71,1.85,4.34,3.05,2.11,2.33,,,1.91,2.03,,,1.71,1.85,,,1.48,1.57,,,,,,,,,,,1.52,1.62,,,,,,,,,,,1.67,1.52,,,1.85,1.71,,,2.05,1.92,2.45,2.29,,,,,,,,,,,,,2.37,2.17,,,,,,,Pinnacle
denmark,3rd-division,2023-08-12,Ishoj,Naesby,1,1,1.99,3.53,2.91,2.02,3.78,3.07,2.01,1.93,1.43,1.40,1.77,1.70,,,1.58,1.53,,,1.55,1.53,,,,,,,,,,,1.47,1.60,,,,,,,,,2.67,2.55,1.79,1.78,,,2.00,1.98,,,2.26,2.23,2.37,2.26,,,,,,,,,,,,,2.55,2.27,,,,,,,Pinnacle
denmark,3rd-division,2023-08-12,Holbaek,VSK Aarhus,0,3,5.03,4.33,1.49,4.11,4.14,1.67,,,2.52,2.15,,,2.17,2.47,,,1.93,2.23,,,,,1.50,1.73,,,1.50,1.57,,,,,1.66,2.00,,,,,,,1.48,1.66,,,1.65,1.47,,,1.85,1.59,,,,,2.46,2.00,,,2.46,2.21,,,,,2.16,1.78,,,,,,,,,Pinnacle
denmark,3rd-division,2023-08-12,BK Frem,Vanlose,1,2,2.47,3.42,2.51,2.47,3.42,2.51,1.64,1.64,1.63,1.63,1.49,1.49,1.48,1.48,,,,,1.88,1.88,,,,,,,,,,,,,,,,,,,,,2.18,2.18,2.15,2.15,2.46,2.46,2.42,2.42,,,,,1.91,1.91,,,,,,,,,,,,,,,,,,,,,Pinnacle
denmark,3rd-division,2023-08-12,Vejgaard,Lyseng,2,0,2.28,3.49,2.67,2.02,3.51,3.28,2.01,1.76,1.39,1.54,1.78,1.59,,,1.58,1.43,,,1.51,1.73,,,,,,,,,,,1.39,1.42,,,,,,,,,2.81,2.33,1.76,2.02,,,2.02,2.28,,,2.30,2.63,2.44,2.03,,,,,,,,,,,,,2.80,2.71,,,,,,,Pinnacle
