referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close
/football/egypt/premier-league/al-masry-future/,pfeCg8La,Al Masry,Future FC,POS,premier-league,egypt,main,2023,2023-12-07,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/zamalek-al-ittihad-alexandria/,2VkHhSz6,Zamalek,Al Ittihad,POS,premier-league,egypt,main,2023,2023-12-07,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/arab-contractors-al-mokawloon-el-daklyeh/,63d8fl6g,Arab Contractors,El Daklyeh,0:0,premier-league,egypt,main,2023,2023-12-06,Pinnacle,2.01,2.99,4.68,2.01,2.99,4.68,,3.95,,1.26,,3.50,,1.31,,3.05,,1.40,,2.35,,1.62,,2.01,,1.85,,1.68,,2.23,,1.36,,3.22,,1.26,,3.91,,1.21,,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/el-gouna-pyramids/,Eev1dAys,El Gouna,Pyramids,POS,premier-league,egypt,main,2023,2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/zed-fc-al-ahly/,Ctc4eUjm,ZED,Al Ahly,POS,premier-league,egypt,main,2023,2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/baladiyat-el-mahalla-el-gaish/,t89nwmyJ,Baladiyat El Mahalla,El Gaish,0:2,premier-league,egypt,main,2023,2023-12-05,Pinnacle,3.57,2.90,2.39,3.57,2.90,2.39,,,,,,,,,,,,,,4.63,,1.21,,3.53,,1.31,,2.98,,1.41,,2.40,,1.60,,1.86,,2.00,,1.61,,2.38,,1.43,,2.90,,1.26,,3.99,,1.21,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/ceramica-cleopatra-enppi/,UN2U1WDJ,Ceramica Cleopatra,Enppi,4:2,premier-league,egypt,main,2023,2023-12-05,Pinnacle,2.00,3.07,4.51,2.00,3.07,4.51,,3.87,,1.27,,3.43,,1.32,,3.00,,1.41,,2.33,,1.63,,2.00,,1.85,,1.68,,2.22,,1.38,,3.14,,1.28,,3.80,,1.22,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/el-ismaily-national-bank-egypt/,8E1Y0jTP,El Ismaily,National Bank Egypt,2:1,premier-league,egypt,main,2023,2023-12-05,Pinnacle,2.46,3.03,3.25,2.46,3.03,3.25,,,,,,4.71,,1.20,,4.10,,1.25,,2.99,,1.41,,2.44,,1.58,,2.07,,1.80,,1.68,,2.24,,1.47,,2.74,,1.36,,3.22,,1.24,,4.13,,1.15,,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/smouha-pharco-fc/,2HArvTLC,Smouha,Pharco,2:1,premier-league,egypt,main,2023,2023-12-04,Pinnacle,2.43,2.89,3.49,2.43,2.89,3.49,,,,,,4.62,,1.21,,4.10,,1.25,,2.96,,1.42,,2.42,,1.59,,2.03,,1.83,,1.62,,2.35,,1.43,,2.92,,1.32,,3.45,,1.21,,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/egypt/premier-league/el-daklyeh-baladiyat-el-mahalla/,CSHVtVyf,El Daklyeh,Baladiyat El Mahalla,0:0,premier-league,egypt,main,2023,2023-12-01,Pinnacle,2.91,2.92,2.80,2.91,2.92,2.80,,,,,,,,,,5.40,,1.16,,3.64,,1.29,,2.89,,1.43,,2.43,,1.58,,1.96,,1.89,,1.63,,2.34,,1.46,,2.79,,1.31,,3.49,,1.18,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
