Country,League,Year,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-3.5_AH_H_Open,-3.5_AH_H_Close,+3.5_AH_A_Open,+3.5_AH_A_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,+3_AH_H_Open,+3_AH_H_Close,-3_AH_A_Open,-3_AH_A_Close
greece,super-league,2023.0,2023-08-18,Volos,Lamia,2,2,Pinnacle,3.54,3.29,2.05,2.52,3.04,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,4.95,1.19,1.19,4.11,4.40,1.21,1.22,4.57,3.11,1.18,1.39,3.50,2.51,1.28,1.55,3.06,2.13,1.35,1.76,2.58,1.72,1.48,2.16,2.02,1.50,1.77,2.65,1.74,1.37,2.05,3.11,1.53,1.25,2.42,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-20,Olympiacos Piraeus,Panserraikos,2,0,Pinnacle,1.17,7.02,16.03,1.16,7.25,20.53,,,,,,,,,3.87,4.14,1.23,1.24,2.97,3.12,1.36,1.37,2.50,2.60,1.50,1.51,2.21,2.30,1.63,1.63,1.91,1.99,1.84,1.85,1.68,1.73,2.13,2.13,1.54,1.57,2.41,2.42,1.37,1.39,2.95,3.01,1.21,1.21,4.15,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-20,PAOK,Asteras Tripolis,3,0,Pinnacle,1.36,4.65,8.98,1.34,4.98,9.75,,,,,,,,,,,,,,,,,3.46,3.74,1.28,1.28,3.59,3.56,1.30,1.30,3.16,3.13,1.37,1.37,2.48,2.45,1.56,1.57,2.12,2.08,1.75,1.78,1.81,1.82,1.95,2.05,1.57,1.54,2.45,2.54,1.44,1.41,2.86,2.99,1.35,1.33,3.25,3.40,1.23,1.21,4.31,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-20,OFI Crete,Aris,3,2,Pinnacle,2.58,3.13,2.89,2.90,3.24,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,5.29,1.22,1.17,3.14,3.62,1.37,1.30,2.56,2.89,1.53,1.43,2.19,2.47,1.70,1.56,1.78,2.06,2.01,1.81,1.57,1.71,2.46,2.18,1.44,1.54,2.87,2.55,1.30,1.38,3.59,3.11,1.17,1.23,5.22,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-20,Giannina,Kifisias,3,0,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-25,Panetolikos,Giannina,0,0,Pinnacle,2.59,2.92,3.07,2.51,2.93,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,4.97,1.17,1.19,4.65,4.40,1.20,1.22,3.20,3.09,1.36,1.39,2.58,2.49,1.53,1.56,2.17,2.10,1.71,1.78,1.73,1.68,2.06,2.23,1.52,1.47,2.58,2.76,1.40,1.35,3.06,3.26,1.26,1.23,3.92,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-26,Panathinaikos,Volos,3,0,Pinnacle,1.12,8.47,21.87,1.26,6.18,10.20,,,,,,,,,,,,,2.61,3.68,1.47,1.28,2.23,2.99,1.62,1.39,1.96,2.68,1.80,1.48,1.69,2.35,2.11,1.61,1.53,2.00,2.43,1.84,1.42,1.78,2.74,2.06,1.28,1.57,3.50,2.43,1.16,1.36,4.82,3.13,1.22,1.29,4.23,3.58,1.23,1.29,4.09,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-26,Asteras Tripolis,OFI Crete,3,0,Pinnacle,2.57,2.92,3.10,2.33,2.97,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,4.46,1.22,1.22,4.43,3.92,1.19,1.26,3.10,2.83,1.34,1.45,2.50,2.31,1.50,1.64,2.11,1.95,1.69,1.90,1.72,1.57,2.08,2.46,1.49,1.40,2.54,3.02,1.36,1.30,3.00,3.56,1.24,1.20,3.84,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-26,AEK Athens FC,Panserraikos,1,1,Pinnacle,1.18,6.37,12.37,1.16,7.72,15.41,,,,,,,,,3.72,3.56,1.26,1.30,3.32,2.79,1.29,1.44,2.73,2.37,1.41,1.60,2.43,2.10,1.52,1.75,2.11,1.83,1.68,2.01,1.81,1.63,1.94,2.30,1.63,1.51,2.19,2.59,1.44,1.36,2.65,3.17,1.26,1.21,3.61,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greece,super-league,2023.0,2023-08-27,PAOK,Kifisias,2,1,Pinnacle,1.21,6.19,13.39,1.34,4.87,10.05,,,,,,,,,,,,,,,,,,,,,2.52,3.69,1.55,1.29,2.19,3.28,1.71,1.38,1.83,2.57,1.93,1.53,1.68,2.19,2.23,1.71,1.49,1.85,2.69,2.01,1.30,1.57,3.63,2.45,1.24,1.42,4.14,2.92,1.22,1.33,3.87,3.36,1.21,1.21,4.61,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
