Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_bookmaker,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close
honduras,liga-nacional,2023-11-30,Real Sociedad,Genesis,0,0,2.22,2.89,3.38,2.13,2.97,3.60,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,,,1.38,1.35,1.54,1.49,2.37,2.54,2.83,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.50,1.63,1.69,1.88,1.98,1.89,1.81,2.20,2.11,2.61,2.47,,,,,,,,,,
honduras,liga-nacional,2023-12-01,Olancho,Motagua,2,2,2.24,3.10,3.10,2.58,3.20,2.60,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,1.51,1.47,1.43,1.62,1.60,1.88,2.22,1.90,2.59,2.24,2.43,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.39,1.61,1.48,1.84,1.63,1.93,2.21,2.20,2.52,2.57,2.81,,,,,,,,,,
honduras,liga-nacional,2023-12-03,Genesis,Real Sociedad,3,2,2.10,3.08,3.45,2.03,3.12,3.67,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,,,,,1.49,1.44,2.47,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.35,1.50,1.56,1.69,1.77,1.98,2.04,1.80,1.74,2.06,2.03,2.39,2.35,2.85,2.97,,,,,,,,
honduras,liga-nacional,2023-12-04,Motagua,Olancho,2,1,2.12,3.13,3.34,1.88,3.44,3.78,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,,,,,1.52,1.39,2.42,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.47,1.50,1.68,1.68,1.90,1.94,2.20,1.83,1.64,2.10,1.88,2.43,2.13,2.75,2.55,,,,,,,,
honduras,liga-nacional,2023-12-07,Motagua,Marathon,2,1,2.10,3.16,3.33,1.87,3.03,4.56,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,,,,,1.51,1.31,2.41,3.22,,,,,,,,,,,,,,,,,,,1.41,1.46,2.71,2.57,,,,,,,,,1.44,1.46,1.50,1.69,1.69,1.92,1.96,2.30,1.81,1.58,2.06,1.87,2.38,2.11,2.61,2.56,,,,,,,,
honduras,liga-nacional,2023-12-08,Genesis,Olimpia,0,1,6.03,3.94,1.49,7.21,4.33,1.40,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,1.71,1.86,1.98,2.20,2.26,2.52,,,,,,,,,,,,,1.60,1.48,1.80,1.64,2.06,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.48,1.55,1.66,2.31,2.17,2.64,2.50
honduras,liga-nacional,2023-12-09,Marathon,Motagua,2,2,1.97,3.24,3.62,2.06,3.21,3.47,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,,,1.35,1.36,1.43,1.49,2.64,2.53,2.98,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.38,1.60,1.54,1.81,1.74,2.08,2.02,1.70,1.78,1.97,2.04,2.25,2.35,2.75,2.85,,,,,,,,
honduras,liga-nacional,2023-12-10,Olimpia,Genesis,2,0,1.21,5.70,10.58,1.23,5.31,11.44,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.42,1.68,1.55,1.93,1.79,2.14,2.01,2.49,2.34,1.46,1.54,1.64,1.75,1.83,1.98,2.07,2.35,2.33,2.66,,,,,,,,,,,,,,,,,,,,,,,,
honduras,liga-nacional,2023-12-18,Motagua,Olimpia,0,0,3.99,3.23,1.90,3.99,3.23,1.90,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,1.43,,1.41,,1.65,,1.88,,2.20,,2.89,,1.34,,1.64,,1.90,,2.19,,2.73,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honduras,liga-nacional,2023-12-22,Olimpia,Motagua,2,1,,,,,,,,2.5,,1.48,,2.4,,1.52,,2.07,,1.72,,1.77,,2.04,,1.58,,2.31,,1.38,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
