Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker,ah_odds
hungary,merkantil-bank-liga,2023-07-30,Vasas,Budafoki,0,1,1.65,3.68,5.33,1.48,4.12,6.97,,,,,2.66,2.26,,,2.34,1.99,,,,,1.70,1.51,,,1.53,1.50,,,,,,,2.01,1.69,,,,,,,,,,,1.46,1.64,,,1.60,1.85,,,,,2.16,2.51,,,2.45,2.53,,,,,,,1.85,2.17,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Ajka,Soroksar,1,1,1.76,3.45,4.12,1.72,3.64,4.87,2.58,2.35,,,2.15,2.00,,,1.91,1.78,,,,,1.47,1.40,,,,,,,,,,,1.62,1.52,,,,,,,1.49,1.53,,,1.70,1.76,,,1.94,2.01,,,,,2.64,2.75,,,,,,,,,,,2.30,2.42,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,BVSC-Zuglo,Haladas,1,0,3.18,3.49,2.16,2.96,3.62,2.26,1.51,1.44,1.88,1.95,,,1.67,1.71,,,1.49,1.52,2.21,2.36,,,,,,,,,,,,,,,,,,,1.98,1.88,2.54,2.72,2.24,2.13,,,2.61,2.47,,,1.68,1.59,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Csakvari,Honved,1,2,3.41,3.47,2.03,3.50,3.49,2.06,,,2.06,2.03,,,1.81,1.79,,,1.60,1.58,2.56,2.51,,,,,,,,,,,,,,,1.39,1.38,,,1.78,1.76,,,2.06,2.03,,,2.37,2.34,,,1.50,1.49,,,,,,,,,,,,,2.97,2.91,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Pecsi MFC,Mosonmagyarovari TE,1,0,1.69,3.31,4.76,1.93,3.40,4.05,2.24,2.49,,,1.92,2.07,,,1.68,1.84,,,1.40,1.41,,,,,,,,,,,,,1.43,1.55,,,,,,,1.67,1.46,,,1.93,1.68,,,2.22,1.93,2.92,2.85,,,,,,,,,,,,,,,2.78,2.32,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Kazincbarcikai,Szeged,0,1,3.34,3.04,2.11,3.01,3.17,2.44,1.52,1.36,1.78,1.94,,,1.58,1.67,,,1.40,1.47,2.13,2.41,,,,,,,,,,,,,,,,,,,2.10,1.83,2.52,2.83,2.42,2.09,,,2.90,2.46,,,1.73,1.51,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Kozarmisleny SE,Tiszakecske,1,2,2.00,3.26,3.50,2.06,3.45,3.37,2.05,2.04,1.38,1.45,1.75,1.78,,,1.54,1.57,,,1.52,1.46,,,,,,,,,,,,,,,,,,,2.87,2.71,1.81,1.73,,,2.04,2.00,,,2.38,2.31,2.49,2.55,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Nyiregyhaza,Siofok,2,0,2.09,3.11,3.32,1.78,3.72,4.41,2.45,1.95,,,2.08,1.68,,,1.85,1.48,,,,,1.44,1.40,,,,,,,,,,,1.57,1.46,,,,,,,1.54,1.82,,,1.76,2.07,,,2.01,2.42,,,,,2.77,2.90,,,,,,,,,,,2.42,2.65,,,Pinnacle,
hungary,merkantil-bank-liga,2023-07-30,Gyirmot,Gyor,2,3,1.82,3.32,3.99,2.32,3.27,2.99,1.82,2.28,1.49,1.34,1.61,1.94,,,1.43,1.70,,,1.68,1.34,,,,,,,,,,,,,,,,,,,2.54,2.98,2.01,1.58,,,2.29,1.83,,,2.71,2.08,2.17,2.99,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-05,Szeged,Vasas,4,3,2.84,3.28,2.46,3.12,3.24,2.34,1.48,1.56,1.85,1.74,,,1.63,1.55,,,1.44,1.51,2.23,2.07,,,,,,,,,,,,,,,,,,,2.01,2.10,2.63,2.43,2.31,2.40,,,2.75,2.50,,,1.67,1.79,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Budafoki,Ajka,2,0,2.88,2.92,2.43,2.34,3.31,3.10,1.84,1.50,1.48,1.70,1.63,1.37,,,1.45,1.38,,,1.68,2.07,,,,,,,,,,,,,,,,,,,2.62,2.08,2.02,2.47,,,2.31,2.84,,,2.74,2.73,2.24,1.73,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Csakvari,Haladas,4,2,2.19,3.23,3.00,2.57,3.51,2.61,1.68,1.85,1.65,1.43,1.52,1.62,1.51,1.50,,,,,1.91,1.60,,,,,,,,,,,,,,,,,,,2.26,2.56,2.22,1.92,2.55,2.42,2.51,2.17,,,,,1.94,2.21,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Gyor,BVSC-Zuglo,4,0,1.62,4.15,4.87,1.60,4.13,5.25,,,,,2.37,2.31,,,2.11,2.06,,,,,1.62,1.61,,,1.49,1.48,,,,,,,1.83,1.81,,,,,,,,,,,1.58,1.60,,,1.75,1.76,,,,,2.33,2.33,,,2.61,2.60,,,,,,,2.03,2.04,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Honved,Kozarmisleny SE,1,2,1.56,4.48,4.97,1.61,4.22,5.02,,,,,2.35,2.43,,,2.10,2.18,,,,,1.63,1.68,,,1.49,1.53,,,,,,,1.83,1.91,,,,,,,,,,,1.58,1.54,,,1.75,1.69,,,,,2.31,2.19,,,2.58,2.45,,,,,,,2.03,1.93,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Mosonmagyarovari TE,Kazincbarcikai,0,3,2.24,3.03,3.19,2.24,3.12,3.19,1.89,1.85,1.41,1.41,1.62,1.62,,,1.43,1.43,,,1.58,1.58,,,,,,,,,,,,,,,,,,,2.68,2.68,1.96,1.92,,,2.21,2.21,,,2.62,2.62,2.28,2.28,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Siofok,Pecsi MFC,0,1,2.57,2.92,2.70,2.93,2.98,2.63,1.56,1.63,1.68,1.57,1.42,1.46,1.50,1.42,,,,,2.04,1.84,,,,,,,,,,,,,,,,,,,2.21,2.32,2.46,2.21,2.57,2.67,2.85,2.55,,,,,1.83,1.93,,,,,,,,,,,,,,,,,,,Pinnacle,
hungary,merkantil-bank-liga,2023-08-06,Soroksar,Gyirmot,1,0,2.42,3.22,2.72,2.65,3.33,2.63,1.65,1.70,1.66,1.56,1.49,1.52,1.50,1.42,,,,,1.93,1.78,,,,,,,,,,,,,,,,,,,2.25,2.35,2.27,2.08,2.57,2.66,2.59,2.37,,,,,1.92,2.01,,,,,,,,,,,,,,,,,,,Pinnacle,
