Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker
iceland,besta-deild-karla,2023-09-17,Breidablik,Hafnarfjordur,0,2,1.66,4.27,4.35,1.71,4.59,4.25,2.63,2.63,1.29,1.25,2.23,2.21,1.33,1.30,2.00,1.98,,,1.35,1.30,1.60,1.57,,,1.49,1.46,,,1.36,1.34,1.75,1.73,,,,,,,3.77,3.86,1.53,1.48,3.52,3.70,1.70,1.65,,,1.88,1.83,3.35,3.42,,,2.45,2.38,,,2.72,2.65,3.27,3.19,,,2.16,2.09,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-17,Valur,Stjarnan,2,0,1.91,4.09,3.61,2.27,3.96,2.94,1.90,2.26,1.55,1.38,1.69,1.93,1.44,1.32,1.53,1.76,1.32,1.27,1.71,1.48,1.31,1.45,,,,,,,,,1.36,1.56,,,,,,,2.58,3.17,1.99,1.69,2.91,3.56,2.25,1.87,3.57,4.01,2.63,2.14,2.23,2.80,,,3.66,2.85,,,,,,,,,3.28,2.54,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-20,Vikingur Reykjavik,KR Reykjavik,2,2,1.61,4.37,4.59,1.51,4.89,5.87,3.34,2.75,,,2.72,2.30,,,2.39,2.05,,,1.21,1.27,1.79,1.62,,,1.63,1.50,,,1.47,1.37,2.08,1.81,,,1.29,1.31,1.32,1.24,,,1.35,1.43,,,1.50,1.61,,,1.62,1.76,4.70,3.64,,,2.10,2.28,,,2.39,2.56,2.79,3.03,,,1.83,2.01,3.83,3.51,3.55,3.94,Pinnacle
iceland,besta-deild-karla,2023-09-24,Hafnarfjordur,Stjarnan,1,3,2.34,3.68,2.77,2.80,3.89,2.38,1.60,1.78,1.81,1.56,1.48,1.59,1.63,1.43,1.35,1.44,1.47,1.31,2.10,1.74,,,1.27,1.27,,,,,,,,,1.31,1.29,,,,,2.09,2.42,2.45,2.05,2.37,2.74,2.77,2.33,2.81,3.33,3.37,2.75,1.79,2.07,4.04,4.02,,,,,,,,,3.62,3.69,,,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-24,KR Reykjavik,Valur,2,2,2.69,3.68,2.50,2.32,4.24,2.73,1.84,1.65,1.61,1.74,1.67,1.51,1.50,1.58,1.51,1.38,1.37,1.43,1.79,1.97,1.30,1.30,,,,,,,,,1.35,1.25,1.26,1.29,,,,,2.41,2.17,2.06,2.35,2.70,2.48,2.31,2.68,3.22,2.93,2.69,3.21,2.11,1.83,,,3.71,3.75,,,,,,,4.12,3.79,3.34,4.24,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-25,Breidablik,Vikingur Reykjavik,3,1,2.53,3.66,2.56,3.00,4.32,2.13,1.52,1.66,2.00,1.65,1.42,1.52,1.78,1.51,1.31,1.38,1.60,1.37,2.33,1.89,,,1.35,1.31,,,,,,,,,1.42,1.24,,,,,1.89,2.23,2.66,2.20,2.12,2.54,2.97,2.52,2.44,3.03,3.63,2.99,1.65,1.91,3.33,3.53,,,,,,,,,2.98,3.97,,,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-28,Stjarnan,KR Reykjavik,2,0,1.99,3.84,3.54,1.89,4.27,3.68,2.30,2.17,1.37,1.40,2.00,1.85,1.31,1.33,1.78,1.68,,,1.46,1.51,1.46,1.40,,,1.39,1.33,,,,,1.57,1.49,,,,,,,3.24,3.09,1.67,1.75,3.63,3.49,1.89,1.94,,,2.11,2.27,2.86,2.69,,,2.81,3.10,,,3.13,3.46,,,,,2.50,2.76,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-28,Valur,Breidablik,4,2,2.22,3.81,3.02,2.97,4.31,2.15,1.53,1.89,1.98,1.52,1.43,1.72,1.76,1.42,1.32,1.55,1.60,1.31,2.31,1.68,,,1.36,1.29,,,,,,,,,1.43,1.21,,,,,1.91,2.65,2.63,1.91,2.14,2.99,2.94,2.21,2.45,3.66,3.55,2.57,1.67,2.29,3.31,3.83,,,,,,,,,2.97,4.33,,,,,,,Pinnacle
iceland,besta-deild-karla,2023-09-28,Vikingur Reykjavik,Hafnarfjordur,2,1,1.56,4.54,5.30,1.61,4.67,5.00,2.94,3.08,1.26,1.24,2.45,2.55,,,2.17,2.26,,,1.27,1.25,1.69,1.75,,,1.56,1.61,,,1.42,1.45,1.91,1.94,,,,,1.28,1.31,4.15,4.13,1.43,1.40,,,1.60,1.56,,,1.74,1.69,3.96,4.22,,,2.26,2.16,,,2.55,2.43,3.01,2.86,,,1.98,1.86,,,3.87,3.66,Pinnacle
iceland,besta-deild-karla,2023-10-01,KR Reykjavik,Breidablik,4,3,2.65,3.67,2.54,3.25,4.31,2.02,1.45,1.66,2.11,1.72,1.37,1.53,1.87,1.56,1.29,1.39,1.67,1.42,2.53,1.94,,,1.39,1.29,,,1.33,1.32,,,,,1.48,1.28,,,,,1.79,2.21,2.87,2.31,2.02,2.53,3.21,2.64,2.30,2.99,3.79,3.14,1.56,1.86,3.14,3.79,,,3.50,3.58,,,,,2.80,3.89,,,,,,,Pinnacle
