Country,League,Year,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,FTR
italy,serie-a,2023.0,2023-08-19,Genoa,Fiorentina,Pinnacle,3.14,3.29,2.31,3.19,3.22,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,4.05,1.25,1.28,3.11,3.16,1.36,1.40,2.69,2.70,1.47,1.53,2.25,2.22,1.65,1.74,1.84,1.82,1.98,2.13,1.62,1.60,2.30,2.50,1.45,1.43,2.77,3.07,1.27,1.26,3.70,4.29,1.23,1.22,4.17,4.85,,,,,,,,,,,,,,,,,,,,,,,,,1:4
italy,serie-a,2023.0,2023-08-19,Inter,Monza,Pinnacle,1.38,4.89,7.30,1.41,5.16,7.81,,,,,,,,,,,,,,,,,3.46,3.48,1.30,1.36,3.07,3.10,1.37,1.43,2.46,2.50,1.55,1.60,2.11,2.16,1.73,1.81,1.86,1.91,1.96,2.02,1.60,1.64,2.34,2.40,1.47,1.50,2.70,2.78,1.37,1.38,3.04,3.14,1.25,1.26,3.90,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:0
italy,serie-a,2023.0,2023-08-19,Frosinone,Napoli,Pinnacle,6.65,4.77,1.42,6.36,4.36,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,4.91,1.18,1.21,3.63,3.28,1.28,1.38,2.87,2.62,1.41,1.55,2.55,2.29,1.51,1.69,2.21,1.97,1.67,1.95,1.88,1.71,1.93,2.26,1.68,1.56,2.18,2.58,1.51,1.41,2.56,3.09,1.34,1.27,3.22,4.11,,,,,,,,,,,,,1:3
italy,serie-a,2023.0,2023-08-19,Empoli,Verona,Pinnacle,2.30,3.23,3.45,2.34,3.42,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,4.24,1.26,1.26,3.69,3.74,1.32,1.31,2.75,2.80,1.51,1.50,2.29,2.33,1.70,1.68,1.91,2.01,1.91,1.92,1.63,1.67,2.45,2.36,1.46,1.49,2.94,2.82,1.36,1.38,3.41,3.26,1.24,1.27,4.46,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:1
italy,serie-a,2023.0,2023-08-20,Sassuolo,Atalanta,Pinnacle,3.37,3.69,2.14,3.53,3.64,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,4.48,1.24,1.24,3.22,3.48,1.34,1.35,2.84,3.04,1.43,1.44,2.44,2.58,1.56,1.57,2.00,2.07,1.83,1.86,1.75,1.79,2.08,2.14,1.57,1.60,2.41,2.50,1.38,1.41,2.99,3.15,1.32,1.34,3.37,3.56,1.31,1.31,3.69,3.78,,,,,,,,,,,,,,,,,,,,,0:2
italy,serie-a,2023.0,2023-08-20,Udinese,Juventus,Pinnacle,4.33,3.46,1.85,4.05,3.41,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10,5.10,1.20,1.20,4.26,4.00,1.22,1.28,3.73,3.44,1.27,1.35,3.19,2.89,1.35,1.47,2.34,2.18,1.60,1.77,1.96,1.86,1.85,2.07,1.71,1.63,2.13,2.42,1.47,1.41,2.67,3.15,1.37,1.33,3.08,3.61,1.30,1.28,3.49,4.08,,,,,,,,,,,,,,,,,,,,,0:3
italy,serie-a,2023.0,2023-08-20,Lecce,Lazio,Pinnacle,3.66,3.11,2.28,3.76,3.34,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,4.96,1.22,1.21,3.61,3.71,1.33,1.32,3.10,3.20,1.43,1.40,2.55,2.66,1.58,1.54,1.93,2.06,1.88,1.87,1.71,1.77,2.27,2.18,1.52,1.56,2.74,2.59,1.31,1.36,3.73,3.41,1.26,1.29,4.28,3.91,,,,,,,,,,,,,,,,,,,,,,,,,2:1
italy,serie-a,2023.0,2023-08-20,AS Roma,Salernitana,Pinnacle,1.52,4.20,7.19,1.54,4.08,7.65,,,,,,,,,,,,,,,,,,,,,3.92,4.57,1.25,1.24,2.92,3.25,1.40,1.39,2.43,2.65,1.56,1.55,2.12,2.29,1.72,1.70,1.82,1.94,2.01,1.98,1.60,1.68,2.34,2.33,1.47,1.53,2.68,2.69,1.31,1.35,3.41,3.49,1.16,1.17,5.26,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:2
italy,serie-a,2023.0,2023-08-21,Torino,Cagliari,Pinnacle,1.86,3.42,4.36,1.63,3.93,6.33,,,,,,,,,,,,,,,,,,,,,5.09,5.10,1.20,1.22,4.07,3.56,1.23,1.34,3.52,2.87,1.29,1.48,3.11,2.49,1.36,1.60,2.70,2.13,1.47,1.82,2.14,1.80,1.71,2.13,1.86,1.62,1.96,2.45,1.60,1.42,2.34,3.09,1.35,1.22,3.20,4.76,1.27,1.18,3.75,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0
italy,serie-a,2023.0,2023-08-21,Bologna,AC Milan,Pinnacle,3.37,3.24,2.33,3.87,3.44,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,3.82,1.34,1.30,2.79,3.30,1.44,1.38,2.33,2.78,1.61,1.51,1.88,2.13,1.94,1.80,1.64,1.83,2.26,2.11,1.46,1.62,2.71,2.46,1.28,1.41,3.61,3.17,1.23,1.33,4.09,3.61,1.26,1.28,3.81,4.06,,,,,,,,,,,,,,,,,,,,,0:2
