Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker
italy,serie-c-group-c,2023-09-01,Giugliano,Sorrento,1,0,1.87,3.46,3.72,1.93,3.55,3.79,2.20,2.20,,,1.91,1.90,,,1.68,1.68,,,1.42,1.39,,,,,,,,,,,1.46,1.47,,,,,,,,,1.68,1.63,,,1.94,1.87,,,2.19,2.10,2.79,2.78,,,,,,,,,,,,,2.65,2.51,,,,,Pinnacle
italy,serie-c-group-c,2023-09-01,Catania,Crotone,0,1,2.84,3.07,2.41,2.34,3.23,3.12,1.85,1.52,1.48,1.71,1.63,1.39,1.43,1.53,1.44,1.43,,,1.67,2.06,,,,,,,,,,,,,,,,,,,2.62,2.06,2.02,2.43,2.80,2.36,2.32,2.77,,,2.75,2.80,2.23,1.74,,,,,,,,,,,,,,,,,,,Pinnacle
italy,serie-c-group-c,2023-09-02,Audace Cerignola,ACR Messina,2,2,1.68,3.33,4.83,1.41,4.29,8.73,,,,,2.47,2.09,,,2.58,1.86,,,,,1.87,1.43,,,1.65,1.48,,,1.47,1.45,2.23,1.58,,,,,,,,,,,,,1.53,1.67,,,1.50,1.91,,,,,1.98,2.57,,,2.26,2.60,2.65,2.72,,,1.67,2.25,,,,,Pinnacle
italy,serie-c-group-c,2023-09-02,Avellino,Latina,0,2,2.03,2.92,3.75,1.61,3.70,6.04,,,,,2.35,1.75,,,2.09,1.52,,,,,1.61,1.44,,,1.48,1.50,,,,,1.83,1.31,,,,,,,,,,,,,1.58,2.05,,,1.76,2.37,,,,,2.34,2.74,,,2.62,2.58,,,,,2.04,3.06,,,,,Pinnacle
italy,serie-c-group-c,2023-09-03,Virtus Francavilla,Picerno,0,1,2.40,2.92,2.92,3.27,2.97,2.38,1.44,1.73,1.83,1.47,,,1.59,1.41,,,1.41,1.39,2.26,1.68,,,,,,,,,,,,,,,,,,,2.03,2.46,2.71,2.07,2.36,2.70,,,2.83,2.92,,,1.64,2.06,,,,,,,,,,,,,,,,,,,Pinnacle
italy,serie-c-group-c,2023-09-03,Turris,Benevento,3,1,4.60,3.38,1.70,4.23,3.66,1.83,,,2.39,2.47,,,2.04,2.06,,,1.79,1.85,3.13,2.59,,,,,,,,,,,,,1.55,1.57,,,,,1.59,1.47,,,1.83,1.68,,,2.05,1.93,,,1.36,1.46,,,,,,,,,,,2.44,2.26,,,,,,,Pinnacle
italy,serie-c-group-c,2023-09-03,Taranto,Foggia,2,0,2.67,2.77,2.74,2.70,2.85,2.98,1.66,1.58,1.55,1.56,1.48,1.42,1.40,1.40,1.39,1.38,,,1.83,1.86,,,,,,,,,,,,,,,,,,,2.48,2.30,2.25,2.24,2.90,2.67,2.64,2.61,,,2.94,2.99,2.03,1.91,,,,,,,,,,,,,,,,,,,Pinnacle
italy,serie-c-group-c,2023-09-03,Potenza,Brindisi,2,1,1.59,3.76,4.82,1.65,3.90,5.12,2.76,2.76,,,2.29,2.23,,,2.04,2.00,,,,,1.57,1.56,,,1.44,1.44,,,,,1.76,1.77,,,,,,,,,1.44,1.44,,,1.64,1.57,,,1.82,1.73,,,,,2.38,2.28,,,2.53,2.53,,,,,2.09,2.02,,,,,Pinnacle
italy,serie-c-group-c,2023-09-03,Monterosi,Juve Stabia,1,3,2.23,2.87,3.27,2.39,2.84,3.47,1.85,1.85,1.41,1.39,1.60,1.61,,,1.42,1.42,,,1.61,1.56,,,,,,,,,,,,,,,,,,,2.85,2.78,2.01,1.92,,,2.37,2.23,,,2.85,2.65,2.35,2.33,,,,,,,,,,,,,,,,,,,Pinnacle
italy,serie-c-group-c,2023-09-09,Sorrento,Audace Cerignola,2,2,2.95,2.82,2.45,3.07,2.93,2.56,1.52,1.48,1.72,1.68,1.38,1.35,1.52,1.49,,,1.37,1.37,2.12,2.09,,,,,,,,,,,,,,,,,,,2.15,2.07,2.57,2.49,2.51,2.40,2.99,2.88,3.05,3.01,,,1.76,1.72,,,,,,,,,,,,,,,,,,,Pinnacle
