Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close
japan,j3-league,2023-03-04,Sagamihara,Gainare Tottori,2,3,,,,,,,,,,,,,,,,,,,,,2.15,2.61,1.61,1.47,1.9,2.32,1.83,1.6,1.6,2.01,2.17,1.82,1.43,1.72,2.51,2.11,1.46,1.55,2.62,2.38,,,,,,,,,,,,
japan,j3-league,2023-03-04,Ryukyu,Vanraure,1,0,,,,,,,,,,,,,2.45,2.52,1.46,1.5,2.0,2.04,1.7,1.77,1.78,1.79,1.97,2.04,1.55,1.56,2.27,2.42,1.32,1.32,2.93,3.24,,,,,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-04,Kagoshima Utd,Osaka,2,1,,,,,,,,,2.15,2.47,1.68,1.51,1.88,2.19,1.92,1.67,1.65,1.89,2.19,1.93,1.51,1.69,2.45,2.15,1.45,1.49,2.61,2.55,,,,,,,,,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-05,Ehime,Grulla Morioka,1,5,,,,,,,,,,,,,2.68,2.62,1.44,1.46,2.54,2.15,1.48,1.69,2.17,1.89,1.67,1.93,1.9,1.64,1.9,2.24,1.6,1.39,2.31,2.9,,,,,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-05,Giravanz Kitakyushu,Gifu,1,1,,,,,,,,,,,,,,,,,,,,,2.42,2.58,1.47,1.48,2.14,2.26,1.62,1.63,1.84,1.93,1.9,1.89,1.58,1.65,2.2,2.23,1.44,1.49,2.49,2.54,,,,,,,,,,,,
japan,j3-league,2023-03-05,Imabari,Fukushima Utd,1,0,,,,,,,,,,,,,2.97,2.96,1.37,1.37,2.32,2.35,1.51,1.58,2.01,2.04,1.7,1.79,1.77,1.75,1.98,2.06,1.48,1.47,2.44,2.6,,,,,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-05,YSCC,Toyama,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.89,1.37,1.39,2.15,2.24,1.61,1.64,1.87,1.92,1.87,1.89,1.64,1.69,2.1,2.15,1.42,1.46,2.54,2.62,,,,
japan,j3-league,2023-03-05,Nara Club,Yamaga,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2.52,2.61,1.49,1.47,2.52,2.2,1.43,1.66,2.02,1.81,1.69,2.02,1.78,1.6,1.97,2.33,1.56,1.42,2.24,2.77,,,,,,,,
japan,j3-league,2023-03-05,Tegevajaro Miyazaki,Nagano,0,2,,,,,,,,,,,,,,,,,,,,,2.26,2.42,1.55,1.53,2.0,2.13,1.76,1.7,1.65,1.82,2.08,2.01,1.46,1.59,2.43,2.34,1.51,1.45,2.49,2.66,,,,,,,,,,,,
japan,j3-league,2023-03-05,Kamatamare,Azul Claro Numazu,1,0,,,,,,,,,,,,,,,,,,,,,2.34,2.66,1.5,1.45,2.04,2.33,1.68,1.6,1.72,1.97,2.06,1.85,1.49,1.67,2.42,2.18,1.36,1.51,2.77,2.49,,,,,,,,,,,,
japan,j3-league,2023-03-11,YSCC,Gainare Tottori,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,2.62,1.53,1.46,1.94,2.11,1.8,1.71,1.7,1.85,2.04,1.97,1.51,1.63,2.35,2.25,1.47,1.42,2.61,2.76,,,,
japan,j3-league,2023-03-11,Ryukyu,Grulla Morioka,2,1,,,,,,,,,,,,,,,,,2.28,2.66,1.56,1.45,1.97,2.23,1.78,1.64,1.7,1.94,2.03,1.88,1.44,1.62,2.55,2.28,1.36,1.45,2.98,2.67,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-11,Kagoshima Utd,Imabari,1,1,,,,,,,,,,,,,,,,,2.12,2.73,1.63,1.43,1.87,2.3,1.87,1.61,1.62,2.01,2.13,1.81,1.38,1.69,2.68,2.15,1.41,1.5,2.82,2.51,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-12,Azul Claro Numazu,Toyama,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.75,1.4,1.43,2.26,2.35,1.55,1.58,1.88,1.92,1.86,1.9,1.63,1.68,2.11,2.18,1.45,1.49,2.45,2.55,,,,,,,,
japan,j3-league,2023-03-12,Ehime,Nagano,1,1,,,,,,,,,,,,,,,,,,,,,2.14,2.57,1.62,1.48,1.88,2.26,1.85,1.63,1.57,1.93,2.23,1.88,1.41,1.66,2.59,2.2,1.47,1.5,2.59,2.5,,,,,,,,,,,,
japan,j3-league,2023-03-12,Gifu,Yamaga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.45,1.45,1.45,2.1,2.1,1.64,1.64,1.76,1.79,1.96,2.01,1.56,1.56,2.25,2.25,1.39,1.39,2.64,2.64,,,,,,,,
japan,j3-league,2023-03-12,Nara Club,Vanraure,1,1,,,,,,,,,,,,,,,,,,,,,2.34,2.63,1.5,1.46,2.05,2.3,1.67,1.61,1.75,1.94,2.02,1.88,1.51,1.65,2.35,2.22,1.38,1.49,2.68,2.54,,,,,,,,,,,,
japan,j3-league,2023-03-12,Sagamihara,Fukushima Utd,2,1,,,,,,,,,,,,,,,,,,,,,2.67,2.75,1.39,1.42,2.34,2.4,1.52,1.56,1.99,2.01,1.76,1.82,1.65,1.68,2.08,2.17,1.48,1.51,2.38,2.5,,,,,,,,,,,,
japan,j3-league,2023-03-12,Tegevajaro Miyazaki,Osaka,0,1,,,,,,,,,,,,,2.71,2.82,1.37,1.41,2.19,2.28,1.58,1.62,1.93,1.99,1.81,1.83,1.66,1.72,2.07,2.11,1.4,1.45,2.63,2.66,,,,,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-12,Giravanz Kitakyushu,Kamatamare,3,0,,,,,,,,,,,,,,,,,2.34,2.67,1.5,1.45,2.02,2.26,1.69,1.63,1.78,1.99,1.97,1.83,1.48,1.68,2.43,2.17,1.35,1.5,2.81,2.51,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-18,Gifu,Kagoshima Utd,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.51,1.37,1.49,2.45,2.17,1.49,1.67,1.99,1.83,1.76,1.99,1.73,1.62,2.0,2.25,1.53,1.45,2.3,2.64,,,,,,,,
japan,j3-league,2023-03-18,Osaka,Grulla Morioka,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2.52,2.69,1.43,1.44,2.17,2.29,1.6,1.61,1.83,1.88,1.92,1.94,1.6,1.65,2.17,2.23,1.43,1.46,2.52,2.62,,,,,,,,
japan,j3-league,2023-03-18,Azul Claro Numazu,Vanraure,0,1,,,,,,,,,,,,,,,,,2.91,2.92,1.38,1.38,2.38,2.4,1.5,1.56,2.07,2.08,1.68,1.76,1.74,1.71,2.02,2.12,1.51,1.5,2.4,2.51,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-19,Gainare Tottori,Ehime,2,3,,,,,,,,,,,,,,,,,2.55,2.52,1.47,1.5,2.3,2.17,1.52,1.68,2.02,1.91,1.69,1.91,1.74,1.61,2.03,2.29,1.52,1.45,2.35,2.64,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-19,Fukushima Utd,Tegevajaro Miyazaki,0,1,,,,,,,,,,,,,,,,,,,,,2.14,2.46,1.61,1.52,1.88,2.14,1.85,1.7,1.56,1.8,2.23,2.04,1.4,1.56,2.6,2.42,1.43,1.42,2.69,2.77,,,,,,,,,,,,
japan,j3-league,2023-03-19,Imabari,Ryukyu,2,2,,,,,,,,,,,,,2.86,3.14,1.39,1.34,2.39,2.41,1.5,1.56,2.04,2.06,1.7,1.78,1.78,1.76,1.97,2.05,1.49,1.47,2.46,2.61,1.36,1.4,2.85,2.86,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-19,Kamatamare,Sagamihara,1,0,,,,,,,,,,,,,,,,,2.6,2.75,1.42,1.42,2.21,2.32,1.6,1.6,1.93,2.02,1.81,1.81,1.61,1.68,2.2,2.17,1.43,1.49,2.57,2.55,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-19,Nagano,Nara Club,0,3,,,,,,,,,,,,,2.31,2.5,1.55,1.5,1.94,2.07,1.8,1.75,1.71,1.83,2.02,1.99,1.5,1.58,2.39,2.35,1.33,1.34,3.16,3.13,,,,,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-19,Toyama,Giravanz Kitakyushu,3,2,,,,,,,,,,,,,,,,,2.27,2.56,1.53,1.48,1.98,2.19,1.72,1.67,1.74,1.92,1.98,1.9,1.47,1.6,2.45,2.31,1.35,1.44,2.81,2.69,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-19,YSCC,Yamaga,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.54,1.85,1.49,1.65,2.1,2.09,1.72,1.47,1.85,2.42,1.97,1.65,1.56,2.2,2.4,1.48,1.42,2.53,2.77
japan,j3-league,2023-03-25,Grulla Morioka,Azul Claro Numazu,1,1,,,,,,,,,,,,,2.84,2.99,1.36,1.37,2.43,2.32,1.48,1.6,2.08,1.99,1.67,1.83,1.85,1.71,1.89,2.11,1.58,1.44,2.25,2.68,1.43,1.37,2.56,2.97,,,,,,,,,,,,,,,,
japan,j3-league,2023-03-26,Ehime,Osaka,2,1,,,,,,,,,,,,,2.58,2.53,1.41,1.49,2.1,2.07,1.64,1.75,1.85,1.83,1.88,2.0,1.61,1.58,2.16,2.37,1.37,1.33,2.72,3.17,,,,,,,,,,,,,,,,,,,,
