Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close
kazakhstan,premier-league,2023-03-04,Zhetysu Taldykorgan,Aktobe,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,3.01,1.35,1.32,2.17,2.28,1.61,1.56,1.85,1.94,1.87,1.81,1.62,1.69,2.15,2.06,1.39,1.44,2.69,2.55,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-04,FC Astana,Shakhter Karagandy,2,1,2.57,2.43,1.43,1.48,2.46,2.12,1.43,1.65,2.22,1.88,1.54,1.85,2.32,1.62,1.48,2.17,1.97,1.47,1.69,2.47,1.77,1.47,1.9,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-04,Tobol,Aksu,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.66,1.54,1.4,1.9,2.49,1.77,1.48,1.62,2.0,2.04,1.75,1.47,1.73,2.3,2.0,1.39,1.51,2.69,2.36,1.3,1.3,3.15,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-04,Ordabasy,Kaspij Aktau,3,1,,,,,,,,,,,,,,,,,,,,,2.51,2.69,1.39,1.4,2.34,2.38,1.51,1.52,2.86,2.03,1.35,1.73,2.28,1.71,1.48,2.03,1.96,1.53,1.68,2.31,1.72,1.42,1.93,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-05,Kairat Almaty,Atyrau,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2.26,2.43,1.52,1.42,1.96,2.16,1.72,1.56,1.67,1.84,2.0,1.8,1.51,1.65,2.25,2.01,1.4,1.44,2.53,2.37,1.34,1.34,2.88,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-05,Maqtaaral,Okzhetpes,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.75,1.34,1.36,2.59,2.21,1.42,1.58,2.2,1.92,1.59,1.79,1.93,1.66,1.81,2.06,1.61,1.4,2.17,2.61,1.43,1.36,2.54,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-05,Kaisar Kyzylorda,Kyzylzhar,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.7,1.42,1.4,2.35,2.26,1.51,1.57,2.05,1.96,1.68,1.78,1.74,1.63,2.01,2.15,1.52,1.44,2.36,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-09,Aksu,Kairat Almaty,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,2.56,1.41,1.43,2.13,2.19,1.57,1.61,1.79,1.81,1.88,1.93,1.57,1.59,2.12,2.22,1.41,1.42,2.47,2.61,,,,,,,,,,,,,,,,,,,,,,,,
kazakhstan,premier-league,2023-03-09,Zhetysu Taldykorgan,FC Astana,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,2.39,1.48,1.48,2.37,2.13,1.5,1.45,2.07,1.86,1.67,1.85,1.78,1.63,1.95,2.12,1.6,1.48,2.19,2.37,1.43,1.45,2.55,2.45,,,,,,,,
kazakhstan,premier-league,2023-03-09,Shakhter Karagandy,Ordabasy,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,2.32,2.31,1.51,1.41,1.98,2.63,1.72,1.48,1.77,2.4,1.95,1.35,1.52,2.85,2.33,1.38,1.39,2.71,2.64,,,,,,,,,,,,,,,,
