Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker
lithuania,a-lyga,2023-03-03,Riteriai,Siauliai FA,0,1,1.97,2.98,3.29,2.52,2.94,2.63,1.61,1.97,1.56,1.31,1.45,1.68,1.41,1.44,,,,,1.81,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,2.82,2.15,1.72,2.57,2.53,2.46,1.95,,,,,1.90,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-04,Suduva,Kauno Zalgiris,2,4,4.77,3.38,1.57,5.51,4.62,1.41,,,,,,,,,,,2.42,1.93,,,,,1.85,1.48,,,1.66,1.44,,,1.49,1.43,,,2.14,1.66,,,,,,,,,,,,,,,,,,,,,,,1.49,1.74,,,,,1.88,2.31,,,2.10,2.52,,,2.42,2.54,,,1.63,2.02,,,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-04,Hegelmann,Dainava Alytus,3,0,1.57,3.71,4.60,1.38,4.42,6.48,,,,,,,,,2.52,1.97,,,,,1.88,1.54,,,1.68,1.43,,,1.50,1.43,,,2.22,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.71,,,,,1.85,2.26,,,2.08,2.51,,,2.38,2.55,,,1.60,2.00,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-05,Zalgiris,Dziugas Telsiai,2,3,1.24,4.99,6.93,1.13,6.96,14.99,,,,,,,,,,,,,,,,,,,2.51,1.91,,,2.24,1.75,,,,,,,1.69,1.41,,,1.53,1.52,,,1.54,1.44,1.96,1.53,,,,,,,,,,,,,,,,,,,,,,,1.45,1.71,,,1.58,1.93,,,,,,,2.05,2.45,,,2.30,2.32,2.28,2.52,,,1.79,2.21,Pinnacle
lithuania,a-lyga,2023-03-05,Banga,FK Panevezys,0,4,5.71,3.60,1.43,5.28,3.52,1.58,,,2.76,2.72,,,2.26,2.44,,,2.01,2.18,,,,,1.52,1.65,,,1.42,1.50,,,,,,,1.71,1.93,,,,,,,,,,,,,,,1.38,1.38,,,1.57,1.42,,,1.75,1.54,,,,,2.33,2.00,,,2.61,2.23,,,,,,,2.03,1.75,,,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-10,Kauno Zalgiris,Siauliai FA,0,0,1.50,3.59,4.89,1.67,3.43,4.64,2.52,2.72,,,2.11,2.27,,,1.87,2.04,,,,,1.45,1.57,,,,,,,,,,,1.60,1.79,,,,,,,,,,,,,,,,,,,1.45,1.38,,,1.66,1.48,,,1.87,1.63,,,,,2.52,2.13,,,,,,,,,,,2.21,1.88,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-11,Suduva,Hegelmann,2,0,3.87,3.38,1.70,4.90,3.83,1.45,,,,,,,2.39,1.97,,,2.14,1.76,,,,,1.63,1.40,,,1.49,1.52,,,,,,,1.88,1.53,,,,,,,,,,,,,,,,,,,1.43,1.69,,,1.56,1.91,,,,,2.02,2.52,,,2.26,2.30,,,,,,,1.77,2.24,,,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-11,Zalgiris,Banga,1,0,1.12,6.12,10.94,1.13,6.46,17.35,,,,,,,,,,,,,,,2.67,2.67,,,2.40,2.29,,,2.15,2.09,,,,,,,1.65,1.66,,,1.51,1.53,,,,,1.88,1.87,,,,,,,,,,,,,,,,,,,1.40,1.40,,,1.50,1.47,,,1.63,1.59,,,,,,,2.12,1.98,,,2.36,2.17,,,,,1.85,1.78,Pinnacle
lithuania,a-lyga,2023-03-12,Riteriai,FK Panevezys,0,4,3.20,2.97,1.99,4.39,3.36,1.72,,,2.41,1.92,,,2.03,1.66,,,1.79,1.47,2.69,2.38,,,1.39,1.41,,,,,,,,,,,1.52,1.37,,,,,,,,,,,,,,,1.49,1.73,,,1.71,1.98,,,1.95,2.29,,,1.39,1.45,2.72,2.63,,,,,,,,,,,2.37,2.77,,,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-12,Dziugas Telsiai,Dainava Alytus,0,1,1.88,3.11,3.36,2.25,3.36,2.75,1.78,2.02,1.51,1.35,1.59,1.77,1.43,1.43,1.42,1.57,,,1.68,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.83,1.98,1.63,2.59,2.59,2.23,1.88,,,2.61,2.13,2.06,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle
lithuania,a-lyga,2023-03-14,Siauliai FA,Hegelmann,3,1,4.00,3.23,1.72,2.96,2.72,2.51,1.48,1.39,1.66,2.28,1.35,1.41,1.47,1.94,,,1.36,1.73,2.05,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,1.50,2.49,2.69,2.45,1.71,2.89,2.60,2.82,1.95,,,1.72,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle
