Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,ah_odds,Pinnacle_bookmaker,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_+3.25_AH_A_Open,Pinnacle_Pinnacle_+3.25_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3.25_AH_H_Open,Pinnacle_Pinnacle_-3.25_AH_H_Close
luxembourg,bgl-ligue,2023-08-05,Schifflange,Union Titus Petange,3,3,3.22,3.66,2.02,3.26,3.71,2.00,,Pinnacle,1.41,1.42,1.60,1.61,1.79,1.81,2.02,2.04,2.42,2.45,1.52,1.51,1.77,1.76,2.02,2.01,2.29,2.27,2.76,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,Differdange,Fola,5,1,1.38,4.55,5.79,1.42,4.78,6.16,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,1.54,1.69,1.71,1.91,1.93,1.83,1.88,2.02,2.09,2.29,2.38,,,,,,,,,,,,,,,2.20,2.23,2.47,2.51,1.45,1.49,1.58,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,Dudelange,Wiltz,3,1,1.20,6.25,8.55,1.20,6.65,8.55,,Pinnacle,,,,,,,,,,,,,,,,,,,,,1.50,1.50,1.62,1.62,1.81,1.85,2.02,2.02,2.22,2.22,,,,,1.57,1.57,1.71,1.71,1.94,1.99,2.17,2.17,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,Marisca Mersch,Victoria Rosport,1,2,3.21,4.06,1.94,3.18,4.14,1.94,,Pinnacle,1.49,1.50,1.68,1.68,1.88,1.88,2.10,2.10,2.49,2.47,1.51,1.51,1.72,1.72,1.94,1.94,2.17,2.16,2.54,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,UNA Strassen,Hesperange,1,5,7.99,5.68,1.23,8.75,5.81,1.27,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,2.32,1.49,1.57,,,1.50,1.47,1.64,1.59,1.88,1.83,2.06,2.02,1.66,1.77,1.85,2.00,2.10,2.31,2.34,2.58,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,Kaerjeng,Mondercange,1,2,3.10,3.36,2.02,2.62,3.62,2.42,,Pinnacle,,,,,1.70,1.56,1.96,1.71,2.34,1.99,1.52,1.84,1.79,2.11,2.01,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.48,1.38,1.62,2.67,2.28,2.52,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,Mondorf,Racing Luxembourg,1,3,2.51,3.15,2.51,2.10,3.57,3.07,,Pinnacle,,,,,,,1.60,1.43,1.87,1.58,1.87,2.32,2.17,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.71,1.60,1.96,2.17,1.86,2.46,2.08,,,1.41,1.52,2.77,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-06,Jeunesse Esch,Niedercorn,1,3,4.18,3.61,1.66,4.40,3.79,1.71,,Pinnacle,1.64,1.65,1.88,1.91,2.11,2.12,2.48,2.51,,,,,1.46,1.49,1.66,1.69,1.85,1.91,2.14,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.50,2.42,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-13,Wiltz,Jeunesse Esch,0,1,2.58,3.26,2.38,2.65,3.53,2.44,,Pinnacle,,,,,1.50,1.55,1.66,1.71,1.95,1.99,1.79,1.83,2.07,2.12,2.34,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.47,1.56,1.61,2.24,2.30,2.52,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-13,Victoria Rosport,Schifflange,1,2,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxembourg,bgl-ligue,2023-08-13,Union Titus Petange,Hesperange,2,0,5.18,4.23,1.46,7.73,5.53,1.32,,Pinnacle,1.99,2.69,,,,,,,,,,,,,,,,,1.71,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.23,1.99,1.65,,,,,1.55,1.54,1.43,1.75,1.59,1.97,2.19,1.85,2.52,2.06,2.38,2.41,,,,,,,,,,,,,,,,
