Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close
malta,premier-league,2023-09-15,Marsaxlokk,Naxxar,5,1,,,,,,,,,,,,,2.62,2.55,1.45,1.49,2.26,2.21,1.62,1.66,2.03,1.99,1.79,1.84,1.75,1.72,2.04,2.1,1.57,1.56,2.31,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-16,Hamrun,Balzan,1,0,,,,,,,,,,,,,,,,,,,,,2.39,2.51,1.48,1.49,2.09,2.19,1.65,1.65,1.8,1.88,1.94,1.94,1.6,1.66,2.17,2.18,1.4,1.46,2.61,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-16,Gzira,Hibernians,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.44,1.87,1.52,1.56,2.13,2.24,1.7,1.41,1.83,2.59,2.0,1.46,1.63,2.6,2.25,1.43,1.46,2.71,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-17,Valletta,Sirens,2,0,,,,,,,,,,,,,,,,,,,,,2.47,2.61,1.45,1.45,2.17,2.28,1.6,1.61,1.86,1.93,1.88,1.88,1.65,1.7,2.09,2.12,1.44,1.48,2.49,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-17,Santa Lucia,Floriana,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,2.58,1.5,1.47,1.99,2.16,1.71,1.67,1.79,1.93,1.95,1.89,1.53,1.64,2.3,2.22,1.41,1.48,2.59,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-17,Mosta,Gudja,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.42,1.51,1.53,1.96,2.03,1.74,1.78,1.77,1.81,1.99,2.02,1.54,1.58,2.29,2.36,1.32,1.35,2.94,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-17,Birkirkara,Sliema,1,0,,,,,,,,,,,,,,,,,2.05,2.44,1.74,1.53,1.83,2.19,1.97,1.67,1.59,1.92,2.32,1.9,1.45,1.68,2.63,2.16,1.55,1.54,2.39,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-22,Sirens,Mosta,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,2.9,1.39,1.39,2.58,2.52,1.41,1.52,2.07,2.05,1.66,1.79,1.82,1.77,1.93,2.03,1.6,1.57,2.16,2.33,1.4,1.5,2.63,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malta,premier-league,2023-09-23,Naxxar,Hamrun,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.69,1.46,1.43,2.68,2.49,1.38,1.5,2.2,2.06,1.58,1.74,1.93,1.83,1.79,1.98,1.72,1.63,1.98,2.23,1.52,1.44,2.29,2.67
malta,premier-league,2023-09-23,Hibernians,Santa Lucia,3,2,,,,,,,,,2.41,2.68,1.47,1.44,2.05,2.23,1.67,1.64,1.85,1.98,1.89,1.85,1.63,1.74,2.13,2.07,1.41,1.51,2.58,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
