Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker
mexico,liga-de-expansion-mx,2023-11-16,Cimarrones de Sonora,Atlante,2,0,2.66,3.15,2.78,2.95,2.82,2.85,1.58,1.66,1.61,1.61,1.42,1.50,1.45,1.47,1.28,1.35,1.30,1.32,1.96,1.85,,,,,,,1.15,1.21,1.16,1.19,,,2.37,2.37,2.44,2.26,2.84,2.76,2.93,2.65,3.59,3.42,3.74,3.25,1.89,1.93,,,,,,,5.41,4.87,5.74,4.57,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-16,Atl. Morelia,Leones Negros,2,1,1.97,3.66,3.63,2.02,3.27,4.09,2.17,2.17,1.32,1.37,1.84,1.85,1.25,1.30,1.61,1.67,,,1.43,1.47,1.30,1.37,1.25,1.31,,,1.38,1.47,,,,,3.47,3.16,1.71,1.71,4.03,3.59,2.02,1.93,,,2.38,2.25,2.92,2.74,3.62,3.12,4.11,3.49,,,,,3.14,2.76,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-17,Tepatitlan de Morelos,Zacatecas Mineros,0,2,2.34,3.56,2.89,2.61,3.41,2.72,1.68,1.79,1.63,1.55,1.52,1.63,1.48,1.43,1.37,1.47,1.34,1.31,1.88,1.73,,,,,,,1.24,1.31,1.22,1.19,,,2.34,2.52,2.24,2.00,2.71,2.87,2.60,2.33,3.29,3.52,3.12,2.75,1.97,2.15,,,,,,,4.48,4.83,4.19,3.52,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-17,Venados,Cancun,1,0,2.09,3.60,3.35,2.42,3.40,2.97,1.79,2.00,1.53,1.40,1.59,1.74,1.41,1.32,1.43,1.56,1.29,1.22,1.74,1.52,1.23,1.30,,,,,1.28,1.37,,,,,2.55,2.85,2.08,1.79,2.94,3.22,2.41,2.04,3.66,4.05,2.89,2.36,2.14,2.45,4.24,3.30,,,,,,,3.80,2.93,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-19,Atlante,Cimarrones de Sonora,4,2,1.62,3.92,5.35,1.55,3.95,6.57,3.21,2.91,,,2.53,2.36,,,2.22,2.03,,,1.18,1.24,1.68,1.59,1.54,1.47,1.39,1.34,1.93,1.78,,,1.25,1.22,,,1.36,1.43,,,1.54,1.61,,,1.68,1.76,5.02,4.12,2.23,2.41,2.53,2.73,3.05,3.34,,,1.93,2.08,4.09,4.39,Pinnacle
mexico,liga-de-expansion-mx,2023-11-19,Leones Negros,Atl. Morelia,2,0,2.05,3.59,3.48,2.06,3.47,3.67,2.09,2.08,1.37,1.40,1.81,1.78,1.30,1.32,1.60,1.62,1.21,1.23,1.49,1.52,1.32,1.34,1.27,1.29,,,1.40,1.42,,,,,3.15,3.01,1.77,1.78,3.63,3.44,2.06,2.01,4.63,4.12,2.39,2.36,2.68,2.60,3.43,3.32,3.84,3.70,,,,,3.04,2.94,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-20,Cancun,Venados,2,1,1.96,3.65,3.69,1.72,3.86,4.80,2.64,2.14,1.24,1.33,2.18,1.85,,,1.92,1.64,,,1.30,1.43,1.50,1.35,1.40,1.29,1.28,1.26,1.65,1.44,,,,,4.18,3.12,1.51,1.67,,,1.71,1.92,,,1.93,2.19,3.63,2.71,2.66,3.04,3.00,3.39,3.73,3.92,,,2.29,2.69,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-20,Zacatecas Mineros,Tepatitlan de Morelos,5,2,1.61,4.34,4.85,1.76,3.96,4.41,2.53,2.87,1.27,1.23,2.12,2.39,,,1.89,2.13,,,1.33,1.27,1.52,1.67,1.42,1.54,1.31,1.40,1.65,1.83,,,,,3.86,4.32,1.54,1.43,,,1.75,1.60,,,1.96,1.75,3.36,3.85,2.61,2.26,2.91,2.54,3.55,3.01,,,2.29,1.94,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-23,Atlante,Leones Negros,3,1,1.60,3.99,5.52,1.63,3.65,6.26,2.99,2.98,1.16,1.20,2.35,2.42,,,2.04,2.12,,,1.20,1.23,1.53,1.62,1.41,1.50,1.29,1.35,1.71,1.79,,,,,5.41,4.29,1.41,1.40,,,1.62,1.59,,,1.82,1.75,4.66,4.27,2.58,2.34,2.96,2.67,3.70,3.23,,,2.18,1.99,,,Pinnacle
mexico,liga-de-expansion-mx,2023-11-24,Zacatecas Mineros,Cancun,1,0,1.81,3.89,4.05,1.89,3.82,3.89,2.28,2.41,1.33,1.31,1.96,2.05,1.27,1.25,1.73,1.79,,,1.42,1.38,1.41,1.47,1.34,1.39,,,1.52,1.60,,,,,3.39,3.55,1.65,1.59,3.84,4.08,1.89,1.80,,,2.15,1.99,2.94,3.10,2.96,2.74,3.32,3.06,,,,,2.61,2.40,,,Pinnacle
