referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close
/football/mexico/liga-mx/atletico-san-luis-club-america/,j1F7jy8L,Atl. San Luis,Club America,0:5,liga-mx,mexico,main,2023,2023-12-07,Pinnacle,4.59,3.94,1.79,4.59,3.94,1.79,,4.30,,1.25,,3.99,,1.28,,3.45,,1.34,,2.56,,1.56,,2.14,,1.78,,1.89,,2.02,,1.63,,2.41,,1.49,,2.79,,1.40,,3.14,,1.28,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/mexico/liga-mx/u-a-n-l-tigres-puebla/,CCDa5n3D,U.A.N.L.- Tigres,Puebla,3:0,liga-mx,mexico,main,2023,2023-12-04,Pinnacle,1.36,5.55,8.65,1.36,5.55,8.65,,1.35,,3.43,,1.28,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,,1.34,,3.10,,1.40,,2.75,,1.50,,2.26,,1.70,,1.99,,1.92,,1.76,,2.18,,1.53,,2.67,,1.42,,3.04
/football/mexico/liga-mx/u-n-a-m-pumas-guadalajara-chivas/,h8jnTkeK,U.N.A.M.- Pumas,Guadalajara Chivas,3:0,liga-mx,mexico,main,2023,2023-12-04,Pinnacle,1.98,3.60,4.07,1.98,3.60,4.07,,1.98,,1.93,,1.70,,2.26,,1.44,,2.98,,1.34,,3.50,,1.27,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,,1.31,,3.30,,1.37,,2.88,,1.47,,2.28,,1.69
/football/mexico/liga-mx/club-america-club-leon/,xGjkzcJD,Club America,Club Leon,2:0,liga-mx,mexico,main,2023,2023-12-03,Pinnacle,1.55,4.51,5.80,1.55,4.51,5.80,,1.54,,2.57,,1.39,,3.17,,1.22,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,1.29,,2.93,,1.44,,2.47,,1.58,,2.18,,1.75,,1.93,,1.97,,1.68,,2.27
/football/mexico/liga-mx/monterrey-atletico-san-luis/,xML3bOV5,Monterrey,Atl. San Luis,1:1,liga-mx,mexico,main,2023,2023-12-03,Pinnacle,1.52,4.61,6.44,1.52,4.61,6.44,,1.51,,2.72,,1.35,,3.41,,1.20,,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,,1.27,,3.71,,1.31,,2.84,,1.47,,2.39,,1.63,,2.11,,1.80,,1.83,,2.09,,1.63,,2.40
/football/mexico/liga-mx/guadalajara-chivas-u-n-a-m-pumas/,EHirUVuE,Guadalajara Chivas,U.N.A.M.- Pumas,1:0,liga-mx,mexico,main,2023,2023-12-01,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/mexico/liga-mx/puebla-u-a-n-l-tigres/,b99e6Sm7,Puebla,U.A.N.L.- Tigres,2:2,liga-mx,mexico,main,2023,2023-12-01,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/mexico/liga-mx/atletico-san-luis-monterrey/,8nHaa4Ga,Atl. San Luis,Monterrey,1:0,liga-mx,mexico,main,2023,2023-11-30,Pinnacle,3.72,3.44,2.13,3.15,3.73,2.24,3.08,3.68,1.39,1.31,2.71,3.19,1.49,1.40,2.32,2.68,1.65,1.53,1.93,2.09,1.93,1.83,1.70,1.79,2.21,2.12,1.53,1.60,2.59,2.49,1.36,1.39,3.27,3.17,1.30,1.32,3.67,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,4.80,1.28,1.21
/football/mexico/liga-mx/club-leon-club-america/,OCnoyw47,Club Leon,Club America,2:2,liga-mx,mexico,main,2023,2023-11-30,Pinnacle,3.35,3.59,2.21,2.79,3.69,2.45,2.77,3.31,1.47,1.38,2.42,2.89,1.60,1.49,2.07,2.45,1.81,1.65,1.76,1.99,2.12,1.92,1.59,1.74,2.43,2.20,1.44,1.53,2.88,2.66,1.29,1.35,3.74,3.30,1.26,1.29,4.12,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,4.20,1.34,1.27
/football/mexico/liga-mx/u-n-a-m-pumas-u-a-n-l-tigres/,0z1woFVr,U.N.A.M.- Pumas,U.A.N.L.- Tigres,0:1,liga-mx,mexico,main,2023,2023-12-08,Pinnacle,2.70,2.99,3.10,2.70,2.99,3.10,,2.69,,1.52,,2.26,,1.70,,1.83,,2.10,,1.56,,2.59,,1.42,,3.08,,1.28,,3.95,,1.15,,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,1.20,,3.37,,1.36
