Country,League,Year,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,FTR
montenegro,prva-crnogorska-liga,2023.0,2023-07-22,Mladost DG,Buducnost,Pinnacle,6.54,4.26,1.46,6.41,4.24,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,2.35,1.55,1.56,2.09,2.07,1.73,1.75,1.82,1.81,2.01,2.03,1.63,1.63,2.25,2.27,1.47,1.46,2.61,2.64,2:1
montenegro,prva-crnogorska-liga,2023.0,2023-07-22,Petrovac,Mornar Bar,Pinnacle,2.40,2.88,2.86,2.23,2.96,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90,2.61,1.38,1.46,2.35,2.21,1.50,1.66,2.04,1.89,1.68,1.93,1.71,1.54,2.06,2.45,1.48,1.38,2.43,2.92,,,,,,,,,,,,,,,,,,,,,,,,,0:0
montenegro,prva-crnogorska-liga,2023.0,2023-07-22,Decic,Jedinstvo,Pinnacle,1.72,3.35,4.20,1.61,3.72,5.55,,,,,,,,,,,,,,,,,,,,,,,,,2.59,2.40,1.41,1.54,2.30,2.07,1.53,1.74,1.96,1.78,1.79,2.06,1.71,1.60,1.99,2.33,1.50,1.40,2.35,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:1
montenegro,prva-crnogorska-liga,2023.0,2023-07-23,Jezero,Sutjeska,Pinnacle,4.76,3.57,1.67,4.74,3.37,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.45,1.45,1.52,2.14,2.05,1.66,1.76,1.93,1.82,1.88,2.01,1.64,1.56,2.17,2.41,1.48,1.43,2.47,2.75,,,,,,,,,0:1
montenegro,prva-crnogorska-liga,2023.0,2023-07-23,Rudar,Arsenal Tivat,Pinnacle,2.09,3.00,3.28,2.33,3.23,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.73,1.47,1.43,2.08,2.30,1.65,1.61,1.82,2.01,1.93,1.82,1.50,1.68,2.38,2.18,1.36,1.48,2.78,2.55,,,,,,,,,,,,,,,,,,,,,,,,,0:1
montenegro,prva-crnogorska-liga,2023.0,2023-07-29,Petrovac,Mladost DG,Pinnacle,2.12,3.23,3.27,2.12,3.27,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.43,1.50,1.53,2.10,2.10,1.68,1.72,1.85,1.83,1.96,1.99,1.53,1.53,2.39,2.47,1.39,1.39,2.78,2.87,,,,,,,,,,,,,,,,,,,,,,,,,1:0
montenegro,prva-crnogorska-liga,2023.0,2023-07-29,Jedinstvo,Rudar,Pinnacle,2.38,3.09,2.71,2.24,3.03,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,2.61,1.40,1.47,2.33,2.22,1.50,1.65,2.05,1.91,1.67,1.91,1.76,1.56,2.01,2.39,1.52,1.40,2.33,2.84,,,,,,,,,,,,,,,,,,,,,,,,,1:0
montenegro,prva-crnogorska-liga,2023.0,2023-07-30,Mornar Bar,Sutjeska,Pinnacle,4.05,3.27,1.87,3.89,2.94,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10,3.23,1.34,1.32,2.95,2.71,1.35,1.45,2.24,2.05,1.61,1.79,1.92,1.73,1.88,2.09,1.67,1.52,2.12,2.46,,,,,,,,,,,,,,,,,1:1
montenegro,prva-crnogorska-liga,2023.0,2023-07-30,Arsenal Tivat,Jezero,Pinnacle,2.46,2.75,2.92,2.31,2.71,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10,2.73,1.34,1.43,2.41,2.28,1.47,1.62,2.07,1.93,1.66,1.89,1.72,1.53,2.06,2.49,1.47,1.36,2.46,3.04,,,,,,,,,,,,,,,,,,,,,,,,,2:2
montenegro,prva-crnogorska-liga,2023.0,2023-08-05,Rudar,Buducnost,Pinnacle,3.77,3.28,1.83,4.05,3.39,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.95,1.35,1.38,2.18,2.26,1.59,1.63,1.89,1.93,1.85,1.89,1.66,1.70,2.07,2.13,1.44,1.48,2.49,2.58,,,,,,,,,,,,,0:4
