Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,ah_odds,Pinnacle_bookmaker,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close
north-macedonia,1-mfl,2023-08-06,Voska Sport,Shkendija,0,1,5.03,3.43,1.61,6.07,3.38,1.55,,Pinnacle,1.50,1.55,1.68,1.76,1.95,2.04,2.20,2.31,,,,,,,,,1.60,1.53,1.78,1.70,2.06,1.99,2.35,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.42,2.37,2.60,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-06,Bregalnica Stip,Sileks,2,1,2.11,2.81,3.12,2.15,2.95,3.32,,Pinnacle,,,,,,,,,1.35,1.37,1.50,1.52,2.26,2.38,2.65,2.80,,,,,,,,,,,,,,,,,,,1.42,1.46,2.44,2.49,,,,,,,,,,,1.59,1.64,1.83,1.89,1.81,1.84,2.09,2.13,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-06,Tikves,Makedonija GP,1,0,2.24,2.84,2.87,2.34,3.10,2.82,,Pinnacle,,,,,,,1.44,1.40,1.41,1.49,1.60,1.69,2.08,2.05,2.44,2.40,2.54,2.67,,,,,,,,,,,,,,,,,1.36,1.38,2.61,2.74,,,,,,,,,,,1.52,1.55,1.75,1.74,1.93,2.03,2.22,2.32,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-06,Struga,KF Gostivar,2,0,1.20,5.70,10.45,1.42,4.10,6.35,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,1.53,2.16,1.70,2.53,1.89,2.30,2.17,2.62,2.41,1.39,1.49,1.52,1.62,1.44,1.85,1.61,2.04,1.78,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-06,Brera Strumica,Vardar,1,0,1.85,3.02,4.15,1.64,3.19,5.47,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.44,1.41,1.60,1.64,1.89,2.11,1.85,2.61,2.20,2.48,2.54,,,,,,,1.88,2.15,2.22,2.65,1.58,1.41,1.85,1.63,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-07,Rabotnicki,Shkupi,3,1,4.21,3.12,1.69,5.00,3.34,1.65,,Pinnacle,1.38,1.45,1.50,1.61,1.75,1.89,1.95,2.14,2.32,2.60,,,,,1.46,1.42,1.68,1.64,1.92,1.85,2.27,2.20,2.56,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-13,Vardar,Shkupi,0,1,3.95,3.15,1.85,5.57,3.41,1.58,,Pinnacle,1.52,1.50,1.43,1.69,1.65,2.00,1.88,2.27,2.20,2.80,,,,,1.59,1.37,1.85,1.57,2.09,1.76,2.55,2.06,2.32,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.42,2.61,2.61,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-13,Sileks,Rabotnicki,2,0,2.29,2.81,2.82,2.31,3.05,2.56,,Pinnacle,,,,,,,1.46,1.39,1.43,1.52,1.63,1.73,2.03,1.93,2.39,2.23,2.44,2.51,,,,,,,,,,,,,,,,,1.34,1.48,2.68,2.29,,,,,,,,,,,1.50,1.48,1.70,1.64,1.99,2.01,2.27,2.27,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-13,Makedonija GP,Bregalnica Stip,1,0,2.10,2.88,3.08,1.98,2.99,3.78,,Pinnacle,,,,,,,,,,,1.51,1.40,2.25,2.70,,,,,,,,,,,,,,,,,,,1.40,1.34,1.42,1.56,2.42,2.30,2.68,2.94,,,,,,,,,1.60,1.78,1.84,2.06,1.83,1.68,2.08,1.98,,,,,,,,,,,,,,,,,,,,
north-macedonia,1-mfl,2023-08-13,KF Gostivar,Tikves,0,3,3.13,2.94,2.21,2.05,3.04,3.45,,Pinnacle,,,,,,,,,1.83,1.34,2.24,1.47,1.57,2.50,1.90,2.92,,,,,,,,,,,,,,,,,1.31,1.32,1.36,1.49,2.58,2.40,2.78,3.04,,,,,,,,,1.39,1.70,1.40,1.98,2.64,1.77,2.70,2.04,,,,,,,,,,,,,,,,,,,,
