Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+3.25_AH_A_Close,Pinnacle_Pinnacle_+3.25_AH_A_Open,Pinnacle_Pinnacle_+3.5_AH_A_Close,Pinnacle_Pinnacle_+3.5_AH_A_Open,Pinnacle_Pinnacle_+3.75_AH_A_Close,Pinnacle_Pinnacle_+3.75_AH_A_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_+4.25_AH_A_Close,Pinnacle_Pinnacle_+4.25_AH_A_Open,Pinnacle_Pinnacle_+4.5_AH_A_Close,Pinnacle_Pinnacle_+4.5_AH_A_Open,Pinnacle_Pinnacle_+4.75_AH_A_Close,Pinnacle_Pinnacle_+4.75_AH_A_Open,Pinnacle_Pinnacle_+4_AH_A_Close,Pinnacle_Pinnacle_+4_AH_A_Open,Pinnacle_Pinnacle_+5_AH_A_Close,Pinnacle_Pinnacle_+5_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-3.25_AH_H_Close,Pinnacle_Pinnacle_-3.25_AH_H_Open,Pinnacle_Pinnacle_-3.5_AH_H_Close,Pinnacle_Pinnacle_-3.5_AH_H_Open,Pinnacle_Pinnacle_-3.75_AH_H_Close,Pinnacle_Pinnacle_-3.75_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_Pinnacle_-4.25_AH_H_Close,Pinnacle_Pinnacle_-4.25_AH_H_Open,Pinnacle_Pinnacle_-4.5_AH_H_Close,Pinnacle_Pinnacle_-4.5_AH_H_Open,Pinnacle_Pinnacle_-4.75_AH_H_Close,Pinnacle_Pinnacle_-4.75_AH_H_Open,Pinnacle_Pinnacle_-4_AH_H_Close,Pinnacle_Pinnacle_-4_AH_H_Open,Pinnacle_Pinnacle_-5_AH_H_Close,Pinnacle_Pinnacle_-5_AH_H_Open,Pinnacle_bookmaker,ah_odds
norway,division-2-group-2,2023-04-09,SK Gjovik-Lyn,Junkeren,0,0,1.65,4.11,4.35,1.66,4.59,4.00,2.56,2.60,,,2.23,2.22,,,2.03,2.00,,,,,1.62,1.58,,,,,,,,,,,1.79,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.46,,,1.65,1.64,,,1.81,1.81,,,,,2.24,2.28,,,,,,,,,,,2.01,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-10,Stjordals Blink,Levanger,1,3,2.38,3.68,2.53,3.21,3.91,1.98,1.48,1.70,2.06,1.63,,,1.84,1.50,,,1.64,1.49,2.46,1.85,,,,,,,,,,,,,,,1.44,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2.24,2.57,2.11,1.98,2.50,,,2.24,2.50,,,1.52,1.96,,,,,,,,,,,,,2.70,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-10,Ull/Kisa,Sotra,2,2,1.31,5.41,7.16,1.31,5.49,8.21,,,,,,,,,,,,,,,2.30,2.25,,,2.04,2.01,,,1.83,1.84,,,,,,,1.47,1.49,,,,,,,1.61,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.58,,,1.77,1.75,,,1.99,1.96,,,,,,,2.58,2.46,,,,,,,2.31,2.22,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-10,Ullern,Kvik Halden,0,2,2.35,3.56,2.69,2.38,3.70,2.63,1.74,1.75,1.61,1.57,1.57,1.57,1.48,1.45,,,,,1.81,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30,2.35,2.08,2.05,2.57,2.63,2.33,2.30,,,,,2.02,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-10,Tromsdalen,Alta,5,2,2.15,3.54,3.02,2.04,3.42,3.47,2.05,1.91,,,1.79,1.69,,,1.60,1.52,,,1.49,1.61,,,,,,,,,,,,,1.41,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.89,,,2.04,2.13,,,2.32,2.44,2.54,2.27,,,,,,,,,,,,,,,2.81,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-11,Strommen,Brann 2,1,2,1.52,4.41,5.20,1.55,4.45,4.99,,,,,2.44,2.49,,,2.20,2.25,,,,,1.70,1.74,,,1.56,1.58,,,,,,,1.94,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.50,,,1.66,1.63,,,,,2.13,2.05,,,2.36,2.28,,,,,,,1.88,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-11,Stromsgodset 2,Baerum Sportsklubb,2,4,2.16,3.86,2.81,3.06,4.58,1.90,1.50,1.88,2.12,1.51,,,1.92,1.52,,,1.72,1.55,2.45,1.66,,,,,,,,,,,,,,,1.54,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,2.45,2.51,1.92,1.90,2.42,,,2.11,2.35,,,1.52,2.18,,,,,,,,,,,,,2.41,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-15,Junkeren,Ullern,2,1,1.58,4.37,4.57,1.86,3.85,3.47,2.19,2.52,,,1.93,2.33,,,1.72,2.11,,,1.43,1.47,,,,,,,,,,,,,1.52,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.49,,,1.86,1.56,,,2.06,1.70,2.67,2.59,,,,,,,,,,,,,,,2.40,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-16,Levanger,Ull/Kisa,2,0,2.51,3.60,2.28,2.19,3.91,2.79,1.87,1.58,1.53,1.69,1.68,1.45,,,1.51,1.52,,,1.69,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.01,1.94,2.21,,,2.17,2.46,,,2.48,2.42,2.15,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-16,Kvik Halden,Stjordals Blink,1,3,1.78,3.95,3.78,1.75,4.01,4.00,2.41,2.31,,,2.09,2.01,,,1.88,1.84,,,,,1.52,1.48,,,,,,,,,,,1.66,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.56,,,1.74,1.76,,,1.93,1.99,,,,,2.46,2.51,,,,,,,,,,,2.21,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-16,Baerum Sportsklubb,Tromsdalen,0,2,2.09,3.29,3.01,2.27,3.68,2.79,1.83,1.90,1.54,1.41,1.64,1.66,1.50,1.49,1.47,1.49,,,1.71,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,2.59,2.00,1.84,2.51,2.50,2.25,2.07,,,2.60,2.36,2.11,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-16,Alta,Strommen,1,0,2.25,3.34,2.70,1.81,4.01,3.69,2.31,1.76,,,2.01,1.56,,,1.79,1.41,,,1.40,1.68,1.47,1.49,,,,,,,,,,,1.56,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,2.00,,,1.81,2.23,,,2.01,2.57,2.84,2.03,,,2.59,2.54,,,,,,,,,,,2.34,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
norway,division-2-group-2,2023-04-17,Sotra,Stromsgodset 2,3,0,1.62,4.40,4.31,1.37,5.52,6.20,,,,,,,,,,,,,,,2.12,1.65,,,1.91,1.53,,,1.71,1.58,,,2.47,1.84,,,,,,,,,,,1.52,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,2.20,,,1.91,2.41,,,2.12,2.29,,,1.51,1.96,,,,,,,,,,,2.46,2.61,,,,,,,,,,,,,,,,,,,Pinnacle,
