Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close
poland,division-1,2023-07-21,Motor Lublin,Zaglebie Sosnowiec,3,2,Pinnacle,2.24,3.33,3.27,3.16,3.19,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,3.95,1.5,1.26,2.23,3.13,1.68,1.37,1.88,2.69,1.88,1.49,1.61,2.22,2.37,1.68,1.45,1.81,2.81,2.05,1.35,1.6,3.23,2.4,1.24,1.42,4.13,2.95,1.17,1.24,5.01,4.13,1.2,1.2,4.79,4.68,,,,,,,,
poland,division-1,2023-07-21,Arka Gdynia,Termalica B-B.,2,2,Pinnacle,2.4,3.34,2.96,2.47,3.34,2.94,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.98,1.28,1.26,2.87,2.96,1.44,1.41,2.39,2.46,1.6,1.57,2.02,2.11,1.76,1.76,1.74,1.77,2.14,2.11,1.54,1.55,2.55,2.52,1.41,1.43,2.93,2.93,1.29,1.3,3.66,3.63,1.19,1.17,4.93,5.18,,,,,,,,,,,,
poland,division-1,2023-07-22,Leczna,Wisla,2,2,Pinnacle,3.75,3.44,2.01,4.5,3.62,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.43,1.29,1.22,3.23,3.89,1.35,1.27,2.76,3.35,1.47,1.34,2.15,2.44,1.73,1.58,1.81,2.04,1.97,1.82,1.63,1.79,2.32,2.07,1.42,1.54,2.93,2.54,1.34,1.42,3.34,2.92,1.28,1.34,3.75,3.31,1.26,1.25,3.79,4.07
poland,division-1,2023-07-22,Polonia Warszawa,Tychy,2,3,Pinnacle,2.13,3.37,3.47,2.6,3.49,2.68,,,,,,,,,,,,,,,,,,,,,,,,,3.13,4.33,1.33,1.23,2.44,3.15,1.52,1.37,2.08,2.59,1.71,1.52,1.8,2.24,1.97,1.68,1.51,1.89,2.47,1.96,1.38,1.64,2.92,2.31,1.3,1.5,3.33,2.67,1.2,1.35,4.27,3.28,1.2,1.21,4.77,4.59,,,,,,,,,,,,
poland,division-1,2023-07-22,Chrobry Glogow,Lechia Gdansk,2,4,Pinnacle,2.87,3.28,2.4,2.16,3.64,3.24,,,,,,,,,,,,,,,,,,,,,4.14,3.75,1.24,1.28,4.87,3.3,1.18,1.34,3.53,2.55,1.27,1.54,2.84,2.15,1.39,1.72,2.46,1.88,1.52,1.97,2.07,1.6,1.72,2.4,1.74,1.45,2.07,2.82,1.55,1.36,2.39,3.21,1.39,1.25,2.88,4.05,,,,,,,,,,,,,,,,
poland,division-1,2023-07-23,Legnica,GKS Katowice,1,0,Pinnacle,1.81,3.63,4.33,2.2,3.26,3.52,,,,,,,,,,,,,,,,,,,,,2.86,3.93,1.43,1.26,2.49,3.45,1.56,1.32,2.05,2.62,1.8,1.51,1.78,2.19,2.01,1.7,1.58,1.88,2.44,1.97,1.36,1.55,3.27,2.5,1.28,1.41,3.76,3.01,1.23,1.32,4.27,3.48,1.22,1.21,4.04,4.55,,,,,,,,,,,,,,,,
poland,division-1,2023-07-23,Podbeskidzie,Wisla Plock,1,1,Pinnacle,2.44,3.3,2.8,2.77,3.13,2.75,,,,,,,,,,,,,,,,,,,,,,,,,3.92,4.81,1.23,1.19,2.92,3.4,1.37,1.33,2.43,2.76,1.53,1.47,2.09,2.34,1.7,1.62,1.76,1.93,2.03,1.92,1.54,1.63,2.41,2.33,1.41,1.47,2.79,2.74,1.29,1.33,3.43,3.37,1.17,1.2,4.81,4.76,,,,,,,,,,,,
poland,division-1,2023-07-23,Pruszkow,R. Rzeszow,2,0,Pinnacle,2.69,3.22,2.69,2.42,3.25,3.1,,,,,,,,,,,,,,,,,,,,,4.59,4.39,1.21,1.22,4.58,3.91,1.21,1.26,3.28,2.91,1.35,1.43,2.68,2.41,1.49,1.59,2.3,2.07,1.64,1.81,1.88,1.7,1.88,2.19,1.64,1.51,2.3,2.64,1.49,1.39,2.68,3.06,1.35,1.27,3.28,3.86,,,,,,,,,,,,,,,,
poland,division-1,2023-07-24,S. Rzeszow,Odra Opole,2,5,Pinnacle,1.81,3.66,4.3,2.26,3.49,3.18,,,,,,,,,,,,,,,,,,,,,2.85,3.86,1.43,1.25,2.49,3.61,1.56,1.3,2.05,2.77,1.8,1.47,1.78,2.24,2.01,1.63,1.58,2.02,2.43,1.84,1.36,1.7,3.25,2.2,1.28,1.52,3.74,2.6,1.23,1.4,4.24,2.98,1.23,1.28,4.13,3.76,,,,,,,,,,,,,,,,
poland,division-1,2023-07-28,Lechia Gdansk,Motor Lublin,0,1,Pinnacle,1.47,4.2,6.25,1.81,3.91,4.21,,,,,,,,,,,,,2.85,3.89,1.39,1.27,2.38,3.13,1.55,1.37,2.09,2.79,1.7,1.46,1.79,2.43,1.98,1.58,1.58,2.04,2.31,1.83,1.46,1.79,2.63,2.06,1.3,1.58,3.31,2.44,1.16,1.36,4.96,3.19,1.18,1.29,4.55,3.68,1.27,1.27,3.85,3.89,,,,,,,,,,,,,,,,,,,,
