Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker,ah_odds
poland,division-2,2023-07-21,Pogon Siedlce,LKS Lodz II,1,1,1.78,3.65,3.94,1.94,3.63,3.56,2.14,2.33,,,1.88,2.02,,,1.66,1.76,,,1.45,1.34,,,,,,,1.45,1.53,,,,,,,1.69,1.56,,,1.94,1.79,,,2.20,1.99,2.66,2.98,,,,,,,,,2.66,2.35,,,Pinnacle,
poland,division-2,2023-07-22,GKS Jastrzebie,S. Wola,0,0,2.57,3.24,2.57,2.64,3.41,2.42,1.59,1.63,1.69,1.63,1.46,1.48,1.53,1.48,,,,,1.98,1.90,,,,,,,,,,,,,2.10,2.23,2.29,2.23,2.37,2.54,2.58,2.54,,,,,1.81,1.90,,,,,,,,,,,,,Pinnacle,
poland,division-2,2023-07-22,Hutnik Krakow,Skra,3,0,1.91,3.34,3.78,2.03,3.54,3.38,2.04,2.16,1.41,1.42,1.81,1.88,,,1.59,1.64,,,1.50,1.39,,,,,,,1.38,1.42,,,,,2.78,2.77,1.76,1.65,,,2.03,1.93,,,2.34,2.18,2.50,2.77,,,,,,,,,2.94,2.68,,,Pinnacle,
poland,division-2,2023-07-22,KKS Kalisz,Stezyca,0,1,1.65,3.77,4.22,1.81,3.78,3.91,2.34,2.50,,,2.02,2.13,,,1.78,1.92,,,1.37,1.38,,,,,,,1.54,1.66,,,,,,,1.59,1.46,,,1.81,1.65,,,2.03,1.83,2.96,2.87,,,,,,,,,2.41,2.10,,,Pinnacle,
poland,division-2,2023-07-22,Wisla Pulawy,Chojniczanka,1,0,2.18,3.31,3.05,2.46,3.45,2.60,1.68,1.88,1.61,1.45,1.52,1.66,1.47,1.54,,,,,1.85,1.61,,,,,,,,,,,,,2.26,2.63,2.13,1.92,2.54,2.39,2.41,2.18,,,,,1.96,2.27,,,,,,,,,,,,,Pinnacle,
poland,division-2,2023-07-22,Ol. Grudziadz,Sandecja Nowy S.,3,1,2.49,3.26,2.64,2.39,3.35,2.82,1.75,1.66,1.55,1.59,1.56,1.50,1.43,1.45,1.43,1.53,,,1.76,1.85,,,,,,,,,,,,,2.43,2.27,2.06,2.15,2.75,2.58,2.34,2.44,,,2.73,2.41,2.08,1.96,,,,,,,,,,,,,Pinnacle,
poland,division-2,2023-07-22,Kotwica Kolobrzeg,Polonia Bytom,0,1,1.74,3.61,4.15,1.74,3.64,4.15,2.41,2.41,,,2.05,2.05,,,1.84,1.83,,,,,1.45,1.45,,,,,1.59,1.59,,,,,,,1.53,1.53,,,1.74,1.74,,,1.98,1.97,,,2.63,2.63,,,,,,,2.32,2.32,,,Pinnacle,
poland,division-2,2023-07-22,Olimpia Elblag,Lech Poznan II,2,2,1.65,3.62,4.30,1.81,3.62,4.07,2.35,2.49,,,2.02,2.11,,,1.77,1.90,,,1.35,1.33,,,,,,,1.53,1.63,,,,,,,1.57,1.44,,,1.81,1.64,,,2.02,1.84,3.04,2.97,,,,,,,,,2.39,2.11,,,Pinnacle,
poland,division-2,2023-07-23,Stomil Olsztyn,Zaglebie II,1,2,1.61,3.73,4.38,1.56,4.07,5.44,,,,,2.41,2.18,,,2.16,1.96,,,,,1.66,1.52,1.52,1.49,,,1.89,1.69,,,,,,,,,,,1.54,1.61,,,1.68,1.79,,,2.20,2.32,2.46,2.53,,,,,1.93,2.05,,,Pinnacle,
poland,division-2,2023-07-28,Skra,Sandecja Nowy S.,1,0,2.78,3.21,2.46,3.11,2.90,2.47,1.48,1.56,1.76,1.70,,,1.54,1.53,,,1.38,1.40,2.14,2.03,,,,,,,,,,,,,2.09,2.11,2.58,2.38,2.44,2.41,,,2.94,2.82,,,1.70,1.79,,,,,,,,,,,,,Pinnacle,
poland,division-2,2023-07-28,Chojniczanka,Lech Poznan II,1,0,1.69,3.77,4.51,1.52,4.14,5.87,,,,,2.52,2.15,,,2.24,1.92,,,,,1.67,1.50,1.52,1.46,,,1.93,1.65,,,,,,,,,,,1.50,1.68,,,1.64,1.88,,,2.18,2.49,2.46,2.60,,,,,1.88,2.19,,,Pinnacle,
