Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-3.5_AH_H_Open,-3.5_AH_H_Close,+3.5_AH_A_Open,+3.5_AH_A_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,+3_AH_H_Open,+3_AH_H_Close,-3_AH_A_Open,-3_AH_A_Close
portugal,liga-portugal,2023-08-11,Braga,Famalicao,1,2,Pinnacle,1.42,4.92,7.69,1.53,4.51,6.36,,,,,,,,,,,,,,,,,,,,,3.60,4.06,1.31,1.27,3.20,3.89,1.37,1.29,2.53,2.96,1.55,1.44,2.17,2.49,1.74,1.59,1.91,2.18,1.96,1.75,1.64,1.88,2.33,2.03,1.50,1.66,2.70,2.35,1.40,1.53,3.04,2.68,1.27,1.36,3.91,3.35,1.19,1.20,5.17,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-12,Sporting CP,Vizela,3,2,Pinnacle,1.23,6.78,13.73,1.22,7.10,13.49,,,,,,,,,4.31,4.43,1.24,1.23,3.36,3.38,1.34,1.35,2.77,2.77,1.47,1.47,2.47,2.46,1.58,1.59,2.15,2.14,1.75,1.76,1.85,1.85,2.01,2.05,1.67,1.67,2.27,2.31,1.49,1.48,2.73,2.79,1.30,1.29,3.68,3.76,1.25,1.24,4.18,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-12,SC Farense,Casa Pia,0,3,Pinnacle,2.33,3.20,3.37,2.61,3.09,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,5.20,1.23,1.19,3.83,4.77,1.28,1.22,2.81,3.24,1.47,1.38,2.32,2.60,1.65,1.55,1.98,2.19,1.89,1.75,1.63,1.79,2.36,2.14,1.45,1.54,2.86,2.62,1.35,1.41,3.33,3.10,1.23,1.28,4.34,3.98,1.15,1.15,5.87,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-12,Gil Vicente,Portimonense,5,0,Pinnacle,2.12,3.35,3.79,1.86,3.68,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,3.43,1.28,1.35,3.69,3.02,1.30,1.42,3.22,2.62,1.36,1.54,2.48,2.12,1.57,1.79,2.09,1.86,1.78,2.05,1.81,1.61,2.08,2.44,1.50,1.37,2.69,3.34,1.38,1.29,3.21,3.89,1.29,1.24,3.70,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-13,Estrela,Vitoria Guimaraes,0,1,Pinnacle,2.59,3.12,3.02,2.58,3.24,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,4.85,1.22,1.21,4.55,4.46,1.22,1.25,3.18,3.15,1.37,1.40,2.58,2.57,1.54,1.56,2.18,2.19,1.72,1.75,1.79,1.81,2.10,2.12,1.55,1.56,2.55,2.56,1.42,1.44,3.01,3.00,1.28,1.30,3.82,3.80,1.15,1.17,5.80,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-13,Rio Ave,Chaves,2,0,Pinnacle,2.40,3.20,3.22,1.93,3.50,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,3.72,1.28,1.31,4.51,3.27,1.22,1.37,3.99,2.83,1.26,1.48,2.91,2.23,1.44,1.72,2.39,1.93,1.61,1.97,2.05,1.65,1.83,2.35,1.68,1.39,2.26,3.22,1.49,1.30,2.74,3.79,1.37,1.24,3.19,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-13,Arouca,Estoril,4,3,Pinnacle,2.02,3.34,4.20,2.02,3.35,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,3.98,1.25,1.28,3.64,3.51,1.30,1.33,3.18,3.05,1.38,1.43,2.42,2.36,1.60,1.65,2.06,2.02,1.82,1.89,1.75,1.72,2.14,2.23,1.45,1.43,2.86,3.03,1.33,1.32,3.41,3.61,1.27,1.26,3.97,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portugal,liga-portugal,2023-08-14,Boavista,Benfica,3,2,Pinnacle,6.93,4.87,1.44,10.53,5.58,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,3.70,1.43,1.31,2.59,3.25,1.53,1.38,2.24,2.80,1.68,1.49,1.91,2.20,1.96,1.74,1.70,1.90,2.21,2.00,1.53,1.69,2.60,2.29,1.35,1.49,3.28,2.81,1.30,1.39,3.69,3.17,1.31,1.33,3.61,3.54,,,,,,,,
portugal,liga-portugal,2023-08-14,Moreirense,FC Porto,1,2,Pinnacle,7.87,5.12,1.40,8.35,5.29,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.28,1.26,1.25,3.14,3.28,1.38,1.36,2.80,2.90,1.47,1.46,2.43,2.49,1.60,1.56,2.03,2.09,1.85,1.87,1.79,1.84,2.08,2.08,1.60,1.64,2.41,2.47,1.41,1.45,3.00,3.07,1.34,1.37,3.38,3.46,1.33,1.31,3.48,3.70,,,,,,,,
portugal,liga-portugal,2023-08-18,Casa Pia,Sporting CP,1,2,Pinnacle,7.25,4.83,1.45,9.41,5.11,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,4.27,1.30,1.25,2.96,3.36,1.43,1.36,2.63,2.97,1.54,1.43,2.27,2.58,1.70,1.56,1.91,2.11,1.96,1.80,1.71,1.86,2.24,2.05,1.54,1.65,2.63,2.36,1.36,1.45,3.35,2.96,1.30,1.36,3.77,3.34,1.29,1.30,3.78,3.74,,,,,,,,
