Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_bookmaker,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close
russia,fnl,2023-07-15,Torpedo Moscow,Dynamo Makhachkala,2,0,2.19,3.38,3.20,2.16,3.36,3.38,Pinnacle,1.50,1.52,1.69,1.72,,,1.93,1.99,1.44,1.41,1.60,1.56,2.34,2.46,1.90,1.87,2.72,2.86,2.17,2.14,,,2.54,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-16,Akron Togliatti,Kamaz,2,0,1.78,3.29,4.24,1.71,3.92,4.58,Pinnacle,1.72,1.93,1.99,2.18,,,2.33,2.58,,,,,,,1.54,1.50,,,1.79,1.70,,,2.01,1.92,1.40,1.48,1.48,1.65,2.44,2.28,2.75,2.61,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-16,Arsenal Tula,Leningradets,0,0,2.22,3.30,3.22,2.34,3.26,3.09,Pinnacle,1.49,1.45,1.68,1.63,,,1.92,1.85,1.44,1.49,1.61,1.68,2.33,2.22,1.92,2.02,2.72,2.61,2.20,2.31,,,2.57,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-16,SKA Khabarovsk,Shinnik Yaroslavl,2,0,1.80,3.40,3.95,1.57,3.94,5.99,Pinnacle,1.72,2.16,1.96,2.44,,,,,,,,,,,,,,,1.81,1.55,,,2.04,1.71,1.43,1.63,1.49,1.87,2.46,1.99,2.76,2.30,,,,,,,,,,,,,1.47,1.49,2.55,2.59,,,,,,,,
russia,fnl,2023-07-16,Neftekhimik,Volgar-Astrakhan,2,1,2.00,3.13,3.54,1.99,3.32,3.94,Pinnacle,1.55,1.63,1.77,1.86,,,2.01,2.17,,,1.44,1.43,2.56,2.82,1.72,1.70,,,2.02,1.99,,,2.32,2.30,,,1.34,1.40,2.93,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-16,Kuban,Yenisey,1,2,2.60,3.01,2.60,2.55,3.25,2.79,Pinnacle,,,1.44,1.53,1.44,1.45,1.59,1.70,1.59,1.59,1.88,1.84,1.88,2.02,2.22,2.18,2.22,2.38,2.54,2.49,2.54,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-16,Rodina Moscow,Saratov,4,0,1.43,4.50,7.14,1.53,4.09,6.36,Pinnacle,2.52,2.28,2.62,2.55,,,,,,,,,,,,,,,1.48,1.51,,,1.51,1.65,1.88,1.72,2.21,1.99,1.67,1.87,1.95,2.15,,,,,,,,,,,,,1.68,1.56,2.20,2.41,,,,,,,,
russia,fnl,2023-07-17,Tyumen,Khimki,3,1,3.19,3.53,2.14,2.97,3.40,2.35,Pinnacle,,,,,1.72,1.62,1.44,1.52,1.97,1.83,2.38,2.16,1.58,1.71,2.73,2.52,1.87,2.04,,,2.12,2.32,,,,,,,,,,,1.53,1.44,2.46,2.75,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-17,Chernomorets Novorossijsk,Alania Vladikavkaz,1,1,4.35,3.60,1.76,3.56,3.62,2.00,Pinnacle,,,,,2.06,1.86,,,2.43,2.12,2.62,2.63,1.47,1.48,,,1.54,1.74,,,1.76,2.00,,,,,,,,,,,1.83,1.65,2.01,2.28,,,1.57,1.43,2.40,2.79,,,,,,,,,,,,,,
russia,fnl,2023-07-23,Yenisey,Leningradets,0,1,1.92,3.69,3.67,1.93,3.70,3.74,Pinnacle,1.68,1.69,1.92,1.93,,,2.20,2.22,,,1.43,1.43,2.74,2.78,1.68,1.68,,,1.92,1.93,,,2.18,2.19,,,1.46,1.47,2.67,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-23,SKA Khabarovsk,Tyumen,2,0,1.91,3.78,3.62,2.06,3.68,3.34,Pinnacle,1.70,1.60,1.93,1.81,,,2.20,2.04,,,1.44,1.53,2.73,2.48,1.67,1.79,,,1.91,2.06,,,2.16,2.36,,,1.47,1.40,2.62,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-23,Saratov,Shinnik Yaroslavl,3,2,2.57,3.21,2.68,2.79,3.02,2.72,Pinnacle,,,1.49,1.45,1.45,1.47,1.65,1.61,1.60,1.64,1.88,1.95,1.96,1.90,2.20,2.35,2.29,2.29,2.51,2.72,2.62,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-23,Kamaz,Kuban,2,0,2.20,3.02,3.16,2.30,3.13,3.29,Pinnacle,1.43,1.45,1.61,1.65,,,1.86,1.88,1.40,1.44,1.56,1.62,2.27,2.33,1.91,1.97,2.67,2.76,2.18,2.28,,,2.57,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-23,Volgar-Astrakhan,Akron Togliatti,1,4,2.87,3.00,2.38,3.04,2.86,2.64,Pinnacle,,,1.46,1.39,1.53,1.50,1.48,1.53,1.74,1.68,2.05,2.08,1.69,1.80,2.42,2.53,2.07,2.20,2.55,2.96,2.36,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-23,Chernomorets Novorossijsk,Rodina Moscow,0,0,2.91,3.32,2.39,3.43,3.17,2.22,Pinnacle,,,,,1.59,1.68,1.53,1.41,1.79,1.95,2.11,2.43,1.73,1.57,2.47,2.87,2.07,1.90,,,2.36,2.20,,,,,,,,,,,1.42,1.49,2.79,2.58,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-23,Arsenal Tula,Dynamo Makhachkala,0,0,2.47,2.87,2.89,3.32,3.05,2.33,Pinnacle,,,,,1.37,1.63,1.68,1.44,1.51,1.87,1.74,2.32,2.05,1.62,2.10,2.77,2.47,1.99,,,2.85,2.31,,,,,,,,,,,1.46,1.43,2.66,2.79,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-24,Khimki,Torpedo Moscow,1,2,2.11,3.34,3.32,2.78,3.39,2.48,Pinnacle,,,1.70,1.45,1.49,1.55,1.85,1.59,1.43,1.73,1.58,2.05,2.38,1.82,1.85,2.39,2.77,2.13,2.15,2.71,2.57,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-24,Alania Vladikavkaz,Neftekhimik,1,0,1.56,3.78,5.07,1.78,3.71,4.44,Pinnacle,2.04,1.85,2.29,2.08,,,2.51,2.46,,,,,,,1.47,1.54,,,1.54,1.76,,,1.70,2.00,1.58,1.45,1.79,1.59,1.99,2.39,2.25,2.72,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-28,Akron Togliatti,Arsenal Tula,5,1,1.62,3.61,5.09,1.72,3.21,6.04,Pinnacle,1.98,1.92,2.24,2.16,,,2.71,2.69,,,,,,,1.41,1.46,,,1.61,1.71,,,1.79,1.93,1.51,1.49,1.69,1.65,2.09,2.28,2.41,2.60,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-29,Saratov,SKA Khabarovsk,1,0,2.96,3.22,2.33,3.16,3.22,2.33,Pinnacle,,,,,1.61,1.63,1.50,1.47,1.81,1.86,2.17,2.25,1.69,1.66,2.54,2.66,2.03,2.00,,,2.33,2.30,,,,,,,,,,,1.43,1.45,2.75,2.72,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-30,Leningradets,Rodina Moscow,1,1,3.28,3.21,2.23,3.25,3.03,2.38,Pinnacle,,,,,1.67,1.61,1.43,1.45,1.91,1.83,2.35,2.26,1.60,1.65,2.76,2.71,1.93,2.03,,,2.21,2.36,,,,,,,,,,,1.48,1.42,2.60,2.82,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-30,Neftekhimik,Khimki,0,1,2.47,3.16,2.91,2.75,3.21,2.62,Pinnacle,,,1.54,1.46,1.41,1.50,1.74,1.61,1.54,1.67,1.77,1.98,2.09,1.88,2.10,2.34,2.48,2.23,2.42,2.68,2.84,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-30,Dynamo Makhachkala,Kuban,2,0,1.81,3.36,4.13,1.88,3.32,4.42,Pinnacle,1.72,1.71,1.97,1.97,,,2.31,2.33,,,1.33,1.35,3.05,3.16,1.57,1.62,,,1.81,1.88,,,2.05,2.16,,,1.47,1.46,2.51,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-30,Torpedo Moscow,Chernomorets Novorossijsk,1,1,1.75,3.86,4.27,1.77,3.79,4.36,Pinnacle,1.87,1.85,2.10,2.09,,,2.46,2.46,,,,,,,1.53,1.54,,,1.74,1.76,,,1.97,2.00,1.46,1.45,1.60,1.59,2.34,2.39,2.67,2.73,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-30,Shinnik Yaroslavl,Volgar-Astrakhan,2,1,2.04,3.20,3.46,2.58,3.23,2.77,Pinnacle,,,1.74,1.52,1.41,1.45,2.02,1.68,1.35,1.60,1.48,1.86,2.53,2.00,1.77,2.20,2.94,2.36,2.02,2.52,2.79,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-30,Tyumen,Yenisey,1,0,2.38,3.27,2.95,2.65,3.03,2.85,Pinnacle,,,1.60,1.47,1.43,1.45,1.80,1.67,1.51,1.58,1.71,1.86,2.13,2.00,2.06,2.24,2.50,2.40,2.35,2.59,2.77,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-07-31,Alania Vladikavkaz,Kamaz,2,0,1.46,4.11,6.19,1.45,4.51,6.93,Pinnacle,2.31,2.48,,,,,,,,,,,,,,,,,,,,,1.55,1.53,1.76,1.87,2.02,2.17,1.74,1.70,2.03,1.99,,,,,,,,,,,,,1.58,1.67,2.28,2.23,,,1.42,1.49,2.67,2.58,,
russia,fnl,2023-08-05,Torpedo Moscow,Saratov,0,1,1.52,4.00,6.46,1.44,4.34,7.73,Pinnacle,2.26,2.50,,,,,,,,,,,,,,,,,,,,,1.64,1.52,1.68,1.84,1.95,2.17,1.88,1.71,2.18,2.02,,,,,,,,,,,,,1.53,1.64,2.46,2.28,,,1.44,1.46,2.72,2.68,,
russia,fnl,2023-08-05,Shinnik Yaroslavl,Khimki,1,2,3.04,3.45,2.28,3.21,3.46,2.19,Pinnacle,,,,,1.65,1.70,1.49,1.45,1.87,1.94,2.23,2.35,1.67,1.61,2.59,2.73,1.98,1.91,,,2.26,2.17,,,,,,,,,,,1.47,1.51,2.65,2.53,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-05,Tyumen,Leningradets,4,0,2.24,3.17,3.31,2.20,3.29,3.35,Pinnacle,1.47,1.50,1.67,1.70,,,1.91,1.96,1.43,1.42,1.59,1.58,2.36,2.41,1.93,1.89,2.78,2.82,2.22,2.18,,,2.61,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-06,Dynamo Makhachkala,Kamaz,0,1,1.69,3.24,4.93,1.69,3.34,5.96,Pinnacle,1.84,1.93,2.09,2.21,,,2.54,2.74,,,,,,,1.46,1.44,,,1.69,1.65,,,1.93,1.93,1.41,1.44,1.56,1.61,2.34,2.35,2.69,2.75,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-06,Akron Togliatti,Alania Vladikavkaz,1,0,2.43,3.14,2.77,2.68,2.78,3.08,Pinnacle,,,1.52,1.48,1.41,1.38,1.70,1.68,1.54,1.53,1.77,1.80,2.02,2.07,2.08,2.22,2.38,2.55,2.38,2.62,2.70,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-06,Neftekhimik,Chernomorets Novorossijsk,1,1,2.05,3.09,3.93,2.09,3.25,3.67,Pinnacle,1.57,1.56,1.80,1.77,,,2.09,2.07,1.42,1.36,1.43,1.50,2.75,2.64,1.74,1.80,2.79,3.09,2.05,2.07,,,2.40,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-06,Rodina Moscow,SKA Khabarovsk,1,1,1.94,3.27,3.68,1.80,3.52,4.60,Pinnacle,1.61,1.82,1.83,2.05,,,2.11,2.44,,,,,,,1.68,1.54,,,1.94,1.78,,,2.23,2.05,1.43,1.42,1.40,1.55,2.76,2.49,2.75,2.85,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-06,Kuban,Volgar-Astrakhan,2,0,2.15,3.11,3.19,2.44,3.21,2.98,Pinnacle,1.46,1.41,1.65,1.58,,,1.90,1.78,1.39,1.52,1.55,1.74,2.32,2.12,1.87,2.10,2.71,2.51,2.13,2.41,,,2.48,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-07,Arsenal Tula,Yenisey,2,0,2.46,3.04,2.74,2.96,2.88,2.69,Pinnacle,,,1.49,1.41,1.40,1.48,1.66,1.56,1.53,1.66,1.79,2.03,2.00,1.83,2.10,2.47,2.34,2.24,2.41,2.88,2.67,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-12,Kuban,Saratov,0,0,2.18,3.21,3.39,1.96,3.38,3.97,Pinnacle,1.50,1.66,1.70,1.89,,,1.96,2.20,1.41,1.36,1.56,1.41,2.43,2.86,1.88,1.68,2.86,3.08,2.16,1.96,,,2.53,2.25,,,1.38,1.43,2.95,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-12,Khimki,Rodina Moscow,2,0,2.19,3.27,3.39,2.35,3.22,3.11,Pinnacle,1.51,1.44,1.70,1.62,1.41,1.41,1.97,1.84,1.41,1.48,1.57,1.68,2.44,2.22,1.88,2.02,2.86,2.61,2.17,2.33,2.86,2.87,2.54,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-12,Chernomorets Novorossijsk,Arsenal Tula,2,1,1.89,3.49,4.00,1.88,3.47,4.19,Pinnacle,1.69,1.71,1.94,1.97,,,2.26,2.31,,,1.39,1.37,2.93,3.04,1.64,1.63,,,1.89,1.88,,,2.17,2.15,,,1.45,1.47,2.69,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-12,Leningradets,Shinnik Yaroslavl,0,1,2.02,3.33,3.82,1.97,3.37,3.94,Pinnacle,1.62,1.65,1.84,1.88,,,2.13,2.19,,,1.45,1.42,2.73,2.83,1.73,1.69,,,2.02,1.97,,,2.33,2.27,,,1.39,1.42,2.95,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-13,Yenisey,Neftekhimik,2,0,2.10,3.09,3.32,2.33,3.33,3.05,Pinnacle,1.48,1.44,1.67,1.63,1.49,1.43,1.95,1.85,1.37,1.50,1.51,1.68,2.41,2.21,1.83,2.02,2.81,2.58,2.08,2.31,2.58,2.79,2.43,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-13,SKA Khabarovsk,Akron Togliatti,1,0,2.36,3.06,2.85,2.88,2.93,2.67,Pinnacle,,,1.54,1.42,1.44,1.47,1.75,1.57,1.49,1.65,1.69,2.00,2.05,1.85,2.06,2.42,2.42,2.24,2.34,2.81,2.71,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-13,Kamaz,Tyumen,2,1,2.26,3.18,3.16,2.26,3.26,3.24,Pinnacle,1.45,1.48,1.63,1.67,,,1.88,1.90,1.44,1.45,1.61,1.62,2.27,2.33,1.96,1.95,2.66,2.73,2.23,2.24,,,2.63,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-13,Volgar-Astrakhan,Dynamo Makhachkala,0,1,2.98,2.81,2.44,2.76,2.81,2.94,Pinnacle,,,1.43,1.46,1.51,1.41,1.46,1.63,1.72,1.57,2.07,1.87,1.68,1.99,2.49,2.30,2.09,2.44,2.62,2.70,2.41,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-14,Alania Vladikavkaz,Torpedo Moscow,2,0,2.04,3.31,3.68,2.16,3.19,3.56,Pinnacle,1.60,1.52,1.81,1.72,,,2.08,2.01,1.38,1.38,1.47,1.53,2.64,2.54,1.75,1.85,2.95,2.99,2.04,2.14,,,2.36,2.50,,,1.38,1.37,2.96,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-19,Volgar-Astrakhan,Yenisey,2,2,2.85,3.07,2.58,2.51,3.19,2.85,Pinnacle,,,1.43,1.53,1.51,1.43,1.57,1.71,1.68,1.56,2.02,1.81,1.83,2.06,2.41,2.14,2.19,2.43,2.77,2.46,2.52,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-19,Shinnik Yaroslavl,Kuban,1,0,2.50,3.36,2.73,2.29,3.51,2.98,Pinnacle,1.43,1.46,1.53,1.65,1.46,1.44,1.70,1.86,1.60,1.51,1.83,1.68,2.01,2.20,2.15,1.99,2.35,2.55,2.44,2.26,2.66,2.72,2.77,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-19,Saratov,Khimki,1,0,3.19,3.15,2.13,4.06,3.28,1.97,Pinnacle,,,,,1.67,1.88,1.40,1.36,1.92,2.20,2.35,2.89,1.55,1.41,2.75,3.13,1.85,1.69,,,2.13,1.97,,,,,,,,,,,1.48,1.65,2.48,2.27,,,1.36,1.41,3.07,2.86,,,,,,,,,,,,,,
russia,fnl,2023-08-20,SKA Khabarovsk,Chernomorets Novorossijsk,0,0,1.99,3.11,3.61,1.82,3.44,4.61,Pinnacle,1.55,1.78,1.78,2.05,,,2.04,2.44,,,1.42,1.32,2.61,3.33,1.70,1.57,,,2.01,1.82,,,2.30,2.06,1.43,1.41,1.34,1.51,2.91,2.53,2.81,2.87,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-20,Rodina Moscow,Alania Vladikavkaz,1,2,3.03,3.08,2.29,2.65,3.15,2.76,Pinnacle,,,1.42,1.49,1.59,1.46,1.45,1.66,1.81,1.61,2.18,1.88,1.64,1.96,2.57,2.25,1.97,2.34,2.67,2.59,2.27,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-20,Leningradets,Akron Togliatti,1,1,2.85,2.98,2.41,4.02,3.04,2.08,Pinnacle,,,,,1.51,1.79,1.50,1.35,1.69,2.09,2.06,2.78,1.74,1.44,2.43,3.16,2.05,1.76,,,2.36,2.08,,,,,,,,,,,1.39,1.57,2.93,2.44,,,1.35,1.35,3.17,3.17,,,,,,,,,,,,,,
russia,fnl,2023-08-20,Tyumen,Dynamo Makhachkala,0,0,2.63,2.87,2.69,2.66,3.08,2.80,Pinnacle,,,1.43,1.49,1.41,1.45,1.59,1.66,1.56,1.60,1.86,1.88,1.91,1.98,2.22,2.25,2.28,2.37,2.57,2.60,2.63,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-21,Torpedo Moscow,Neftekhimik,2,1,1.68,3.46,4.56,1.80,3.61,4.45,Pinnacle,1.86,1.82,2.10,2.05,,,2.51,2.43,,,1.40,1.33,2.89,3.25,1.47,1.55,,,1.68,1.79,,,1.91,2.05,1.45,1.42,1.60,1.55,2.26,2.49,2.58,2.85,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-21,Kamaz,Arsenal Tula,0,0,1.96,3.17,3.62,2.13,3.27,3.54,Pinnacle,1.57,1.54,1.80,1.75,,,2.06,2.03,1.40,1.39,1.41,1.53,2.63,2.55,1.68,1.83,2.74,2.98,1.98,2.11,,,2.26,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-26,Saratov,Leningradets,0,1,2.12,3.11,3.25,2.44,2.94,3.26,Pinnacle,1.48,1.40,1.67,1.58,,,1.93,1.81,1.39,1.46,1.54,1.67,2.39,2.24,1.85,2.06,2.79,2.70,2.12,2.41,,,2.48,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,fnl,2023-08-26,Kuban,Alania Vladikavkaz,0,1,3.30,3.20,2.06,5.02,3.49,1.75,Pinnacle,,,,,1.70,2.12,,,1.98,2.56,2.43,3.36,1.50,1.32,,,1.80,1.50,,,2.04,1.74,,,,,,,,,,,1.51,1.87,2.36,1.98,1.44,1.44,1.42,1.58,2.79,2.40,2.72,2.77,,,,,,,,,,,,
russia,fnl,2023-08-26,Khimki,Volgar-Astrakhan,0,0,1.69,3.45,4.49,1.79,3.51,4.69,Pinnacle,1.85,1.83,2.08,2.07,,,2.49,2.47,,,,,,,1.48,1.53,,,1.69,1.78,,,1.92,2.03,1.44,1.43,1.58,1.56,2.28,2.45,2.60,2.80,,,,,,,,,,,,,,,,,,,,,,,,
