Country,League,Year,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close
scotland,championship,2023.0,2023-08-04,Arbroath,Dundee Utd,0,4,Pinnacle,3.94,3.66,1.88,3.74,3.26,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.88,1.21,1.19,3.89,3.70,1.27,1.29,3.43,3.20,1.32,1.37,2.98,2.66,1.41,1.50,2.30,2.05,1.65,1.81,1.93,1.76,1.85,2.11,1.74,1.56,2.14,2.49,1.51,1.36,2.61,3.21,1.41,1.29,2.97,3.66,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-05,Morton,Ayr,3,1,Pinnacle,2.36,3.17,3.18,2.57,3.29,2.84,,,,,,,,,,,,,,,,,,,,,,,,,3.83,4.33,1.27,1.23,2.84,3.12,1.45,1.37,2.35,2.56,1.62,1.53,1.98,2.20,1.80,1.70,1.67,1.83,2.26,2.03,1.48,1.58,2.72,2.43,1.37,1.45,3.15,2.83,1.25,1.31,4.03,3.52,1.18,1.18,5.11,5.08,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-05,Partick Thistle,Raith,2,2,Pinnacle,1.55,3.98,5.50,1.76,3.80,4.61,,,,,,,,,,,,,3.15,3.91,1.33,1.26,2.60,3.12,1.47,1.37,2.28,2.77,1.60,1.47,1.96,2.39,1.81,1.60,1.69,1.99,2.10,1.87,1.54,1.75,2.40,2.12,1.36,1.53,2.97,2.55,1.20,1.32,4.30,3.47,1.36,1.25,3.02,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-05,Inverness,Queen's Park,1,2,Pinnacle,2.24,3.44,3.16,2.32,3.56,3.00,,,,,,,,,,,,,,,,,,,,,3.81,3.98,1.27,1.26,3.39,3.55,1.33,1.31,2.63,2.74,1.51,1.47,2.23,2.31,1.68,1.64,1.90,2.01,1.87,1.85,1.63,1.70,2.32,2.20,1.48,1.52,2.73,2.60,1.37,1.41,3.12,2.97,1.26,1.29,3.93,3.71,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-05,Dunfermline,Airdrieonians,2,1,Pinnacle,1.66,3.93,4.97,2.09,3.53,3.54,,,,,,,,,,,,,,,,,2.78,3.67,1.45,1.29,2.47,3.45,1.57,1.32,2.14,3.05,1.74,1.39,1.80,2.42,1.98,1.59,1.65,2.08,2.29,1.78,1.46,1.81,2.78,2.06,1.27,1.52,3.83,2.60,1.22,1.40,4.36,3.06,1.30,1.31,3.56,3.50,1.23,1.21,4.27,4.52,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-12,Queen's Park,Arbroath,2,1,Pinnacle,1.75,3.73,4.58,1.72,3.74,4.97,,,,,,,,,,,,,3.69,3.75,1.25,1.28,2.98,3.03,1.36,1.39,2.65,2.68,1.45,1.49,2.30,2.31,1.59,1.64,1.93,1.93,1.84,1.91,1.71,1.72,2.08,2.17,1.50,1.50,2.50,2.65,1.29,1.28,3.37,3.72,1.24,1.23,3.87,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-12,Dundee Utd,Dunfermline,1,1,Pinnacle,1.43,4.25,6.91,1.79,3.80,4.39,,,,,,,,,,,,,2.81,4.13,1.41,1.24,2.35,3.26,1.56,1.35,2.05,2.89,1.75,1.43,1.73,2.49,2.05,1.56,1.53,2.05,2.41,1.82,1.41,1.79,2.75,2.07,1.27,1.57,3.54,2.47,1.14,1.34,5.34,3.30,1.22,1.27,4.42,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-12,Ayr,Inverness,1,0,Pinnacle,2.03,3.40,3.73,2.02,3.54,3.72,,,,,,,,,,,,,,,,,3.82,3.79,1.27,1.28,3.40,3.38,1.33,1.33,2.99,2.97,1.41,1.41,2.35,2.35,1.62,1.62,1.99,2.02,1.79,1.83,1.75,1.75,2.13,2.13,1.48,1.48,2.73,2.73,1.36,1.36,3.20,3.20,1.29,1.29,3.68,3.67,,,,,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-12,Airdrieonians,Partick Thistle,2,1,Pinnacle,3.00,3.49,2.21,3.41,3.75,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,4.09,1.25,1.25,2.97,3.37,1.36,1.33,2.61,2.96,1.47,1.41,2.22,2.56,1.63,1.53,1.85,2.06,1.93,1.79,1.64,1.81,2.20,2.06,1.47,1.60,2.60,2.38,1.30,1.41,3.35,3.01,1.25,1.33,3.76,3.39,1.28,1.28,3.80,3.79,,,,,,,,
scotland,championship,2023.0,2023-08-12,Raith,Morton,3,2,Pinnacle,2.72,3.19,2.57,2.44,3.37,2.97,,,,,,,,,,,,,,,,,,,,,4.49,4.49,1.21,1.22,4.77,4.00,1.17,1.26,3.35,2.95,1.30,1.42,2.71,2.43,1.43,1.58,2.33,2.10,1.57,1.78,1.94,1.74,1.83,2.13,1.64,1.54,2.19,2.54,1.48,1.41,2.56,2.94,1.33,1.29,3.13,3.67,1.19,1.18,4.36,4.98,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-19,Arbroath,Queen's Park,0,1,Pinnacle,3.03,3.31,2.37,3.33,3.49,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,4.22,1.28,1.24,3.00,3.30,1.40,1.34,2.61,2.88,1.52,1.44,2.19,2.43,1.70,1.58,1.78,1.97,2.00,1.88,1.61,1.71,2.36,2.17,1.45,1.53,2.83,2.57,1.28,1.34,3.75,3.34,1.24,1.28,4.22,3.79,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-26,Partick Thistle,Queen's Park,3,1,Pinnacle,1.77,3.93,3.91,2.10,3.79,3.27,,,,,,,,,,,,,,,,,3.01,3.68,1.36,1.29,2.70,3.38,1.44,1.33,2.36,3.00,1.56,1.40,1.99,2.42,1.79,1.58,1.76,2.10,2.01,1.77,1.56,1.84,2.36,2.02,1.35,1.57,3.02,2.45,1.28,1.44,3.45,2.85,1.25,1.35,3.76,3.23,1.26,1.25,3.66,4.06,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-26,Morton,Arbroath,0,3,Pinnacle,1.46,4.06,6.64,1.70,3.56,5.50,,,,,,,,,,,,,3.03,4.03,1.35,1.25,2.50,3.17,1.50,1.36,2.16,2.78,1.66,1.46,1.83,2.36,1.94,1.62,1.59,1.93,2.29,1.92,1.45,1.70,2.64,2.20,1.29,1.47,3.37,2.74,1.14,1.25,5.23,4.05,1.17,1.20,4.78,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-26,Dunfermline,Raith,0,1,Pinnacle,2.03,3.36,3.53,2.52,3.32,2.90,,,,,,,,,,,,,,,,,,,,,,,,,3.07,4.18,1.35,1.24,2.38,3.04,1.55,1.39,2.03,2.50,1.76,1.55,1.75,2.15,2.03,1.73,1.47,1.79,2.59,2.08,1.35,1.56,3.04,2.48,1.28,1.43,3.49,2.88,1.21,1.30,4.39,3.60,1.21,1.17,4.61,5.20,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-26,Ayr,Dundee Utd,0,3,Pinnacle,2.25,3.12,3.27,3.33,3.40,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,4.23,1.44,1.23,2.24,3.29,1.62,1.34,1.93,2.86,1.75,1.44,1.57,2.40,2.32,1.60,1.41,1.94,2.79,1.91,1.32,1.69,3.24,2.21,1.21,1.50,4.16,2.64,1.16,1.31,4.87,3.50,1.23,1.26,4.28,3.98,,,,,,,,,,,,
scotland,championship,2023.0,2023-08-26,Airdrieonians,Inverness,2,1,Pinnacle,2.12,3.45,3.40,2.12,3.60,3.39,,,,,,,,,,,,,,,,,3.77,3.81,1.28,1.27,3.57,3.57,1.30,1.30,3.15,3.15,1.37,1.37,2.48,2.47,1.56,1.56,2.11,2.11,1.75,1.76,1.80,1.84,1.98,2.02,1.56,1.56,2.50,2.50,1.42,1.42,2.94,2.94,1.33,1.34,3.36,3.35,1.23,1.23,4.29,4.30,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-09-02,Arbroath,Ayr,2,1,Pinnacle,3.09,3.21,2.39,2.78,3.06,2.80,,,,,,,,,,,,,,,,,,,,,,,,,5.46,5.04,1.15,1.18,3.88,3.46,1.27,1.32,3.06,2.77,1.39,1.47,2.64,2.34,1.51,1.62,2.20,1.92,1.69,1.93,1.78,1.61,2.01,2.36,1.61,1.46,2.38,2.79,1.44,1.32,2.88,3.47,1.27,1.18,3.88,5.02,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-09-02,Inverness,Dunfermline,1,1,Pinnacle,2.13,3.33,3.30,2.47,3.28,2.99,,,,,,,,,,,,,,,,,,,,,3.69,4.57,1.25,1.21,3.26,4.08,1.31,1.25,2.52,2.99,1.50,1.41,2.13,2.46,1.68,1.57,1.84,2.11,1.93,1.77,1.54,1.75,2.40,2.12,1.40,1.53,2.85,2.55,1.31,1.41,3.27,2.96,1.21,1.28,4.18,3.74,,,,,,,,,,,,,,,,,,,,
scotland,championship,2023.0,2023-09-02,Morton,Partick Thistle,1,4,Pinnacle,2.72,3.30,2.50,2.76,3.66,2.45,,,,,,,,,,,,,,,,,,,,,,,,,4.67,4.73,1.17,1.20,3.34,3.37,1.30,1.33,2.71,2.74,1.43,1.47,2.34,2.39,1.56,1.60,1.97,2.05,1.81,1.82,1.67,1.75,2.15,2.13,1.51,1.58,2.49,2.44,1.36,1.41,3.01,2.93,1.21,1.26,4.10,3.94,1.20,1.23,4.27,4.32,,,,,,,,,,,,
