Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,bet365_HO_Open,bet365_DO_Open,bet365_AO_Open,bet365_HO_Close,bet365_DO_Close,bet365_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_H_Close,Pinnacle_Pinnacle_+2.75_AH_H_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_A_Close,Pinnacle_Pinnacle_-2.75_AH_A_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_bookmaker,ah_odds,bet365_bet365_+0.25_AH_A_Close,bet365_bet365_+0.25_AH_A_Open,bet365_bet365_+0.25_AH_H_Close,bet365_bet365_+0.25_AH_H_Open,bet365_bet365_+0.5_AH_A_Close,bet365_bet365_+0.5_AH_A_Open,bet365_bet365_+0.5_AH_H_Close,bet365_bet365_+0.5_AH_H_Open,bet365_bet365_+0.75_AH_A_Close,bet365_bet365_+0.75_AH_A_Open,bet365_bet365_+0.75_AH_H_Close,bet365_bet365_+0.75_AH_H_Open,bet365_bet365_+0_AH_H_Close,bet365_bet365_+0_AH_H_Open,bet365_bet365_+1.25_AH_A_Close,bet365_bet365_+1.25_AH_A_Open,bet365_bet365_+1.25_AH_H_Close,bet365_bet365_+1.25_AH_H_Open,bet365_bet365_+1.5_AH_A_Close,bet365_bet365_+1.5_AH_A_Open,bet365_bet365_+1.5_AH_H_Close,bet365_bet365_+1.5_AH_H_Open,bet365_bet365_+1.75_AH_A_Close,bet365_bet365_+1.75_AH_A_Open,bet365_bet365_+1.75_AH_H_Close,bet365_bet365_+1.75_AH_H_Open,bet365_bet365_+1_AH_A_Close,bet365_bet365_+1_AH_A_Open,bet365_bet365_+1_AH_H_Close,bet365_bet365_+1_AH_H_Open,bet365_bet365_+2.25_AH_A_Close,bet365_bet365_+2.25_AH_A_Open,bet365_bet365_+2.25_AH_H_Close,bet365_bet365_+2.25_AH_H_Open,bet365_bet365_+2.5_AH_A_Close,bet365_bet365_+2.5_AH_A_Open,bet365_bet365_+2.5_AH_H_Close,bet365_bet365_+2.5_AH_H_Open,bet365_bet365_+2.75_AH_A_Close,bet365_bet365_+2.75_AH_A_Open,bet365_bet365_+2.75_AH_H_Close,bet365_bet365_+2.75_AH_H_Open,bet365_bet365_+2_AH_A_Close,bet365_bet365_+2_AH_A_Open,bet365_bet365_+2_AH_H_Close,bet365_bet365_+2_AH_H_Open,bet365_bet365_+3.25_AH_A_Close,bet365_bet365_+3.25_AH_A_Open,bet365_bet365_+3.25_AH_H_Close,bet365_bet365_+3.25_AH_H_Open,bet365_bet365_+3.5_AH_A_Close,bet365_bet365_+3.5_AH_A_Open,bet365_bet365_+3.5_AH_H_Close,bet365_bet365_+3.5_AH_H_Open,bet365_bet365_+3.75_AH_A_Close,bet365_bet365_+3.75_AH_A_Open,bet365_bet365_+3.75_AH_H_Close,bet365_bet365_+3.75_AH_H_Open,bet365_bet365_+3_AH_A_Close,bet365_bet365_+3_AH_A_Open,bet365_bet365_+3_AH_H_Close,bet365_bet365_+3_AH_H_Open,bet365_bet365_+4.25_AH_A_Close,bet365_bet365_+4.25_AH_A_Open,bet365_bet365_+4.5_AH_A_Close,bet365_bet365_+4.5_AH_A_Open,bet365_bet365_+4_AH_A_Close,bet365_bet365_+4_AH_A_Open,bet365_bet365_-0.25_AH_A_Close,bet365_bet365_-0.25_AH_A_Open,bet365_bet365_-0.25_AH_H_Close,bet365_bet365_-0.25_AH_H_Open,bet365_bet365_-0.5_AH_A_Close,bet365_bet365_-0.5_AH_A_Open,bet365_bet365_-0.5_AH_H_Close,bet365_bet365_-0.5_AH_H_Open,bet365_bet365_-0.75_AH_A_Close,bet365_bet365_-0.75_AH_A_Open,bet365_bet365_-0.75_AH_H_Close,bet365_bet365_-0.75_AH_H_Open,bet365_bet365_-0_AH_A_Close,bet365_bet365_-0_AH_A_Open,bet365_bet365_-1.25_AH_A_Close,bet365_bet365_-1.25_AH_A_Open,bet365_bet365_-1.25_AH_H_Close,bet365_bet365_-1.25_AH_H_Open,bet365_bet365_-1.5_AH_A_Close,bet365_bet365_-1.5_AH_A_Open,bet365_bet365_-1.5_AH_H_Close,bet365_bet365_-1.5_AH_H_Open,bet365_bet365_-1.75_AH_A_Close,bet365_bet365_-1.75_AH_A_Open,bet365_bet365_-1.75_AH_H_Close,bet365_bet365_-1.75_AH_H_Open,bet365_bet365_-1_AH_A_Close,bet365_bet365_-1_AH_A_Open,bet365_bet365_-1_AH_H_Close,bet365_bet365_-1_AH_H_Open,bet365_bet365_-2.25_AH_A_Close,bet365_bet365_-2.25_AH_A_Open,bet365_bet365_-2.25_AH_H_Close,bet365_bet365_-2.25_AH_H_Open,bet365_bet365_-2.5_AH_A_Close,bet365_bet365_-2.5_AH_A_Open,bet365_bet365_-2.5_AH_H_Close,bet365_bet365_-2.5_AH_H_Open,bet365_bet365_-2.75_AH_A_Close,bet365_bet365_-2.75_AH_A_Open,bet365_bet365_-2.75_AH_H_Close,bet365_bet365_-2.75_AH_H_Open,bet365_bet365_-2_AH_A_Close,bet365_bet365_-2_AH_A_Open,bet365_bet365_-2_AH_H_Close,bet365_bet365_-2_AH_H_Open,bet365_bet365_-3.25_AH_A_Close,bet365_bet365_-3.25_AH_A_Open,bet365_bet365_-3.25_AH_H_Close,bet365_bet365_-3.25_AH_H_Open,bet365_bet365_-3.5_AH_A_Close,bet365_bet365_-3.5_AH_A_Open,bet365_bet365_-3.5_AH_H_Close,bet365_bet365_-3.5_AH_H_Open,bet365_bet365_-3.75_AH_A_Close,bet365_bet365_-3.75_AH_A_Open,bet365_bet365_-3.75_AH_H_Close,bet365_bet365_-3.75_AH_H_Open,bet365_bet365_-3_AH_A_Close,bet365_bet365_-3_AH_A_Open,bet365_bet365_-3_AH_H_Close,bet365_bet365_-3_AH_H_Open,bet365_bet365_-4.25_AH_H_Close,bet365_bet365_-4.25_AH_H_Open,bet365_bet365_-4.5_AH_H_Close,bet365_bet365_-4.5_AH_H_Open,bet365_bet365_-4_AH_H_Close,bet365_bet365_-4_AH_H_Open,bet365_bookmaker
scotland,league-one,2023-08-05,Stirling,Edinburgh City,1,0,1.61,4.10,5.04,1.80,3.89,4.08,2.40,3.60,2.40,1.70,4.00,4.00,2.38,2.72,,,2.05,2.32,,,1.84,2.08,,,,,1.46,1.63,,,,,,,,,,,1.60,1.83,,,,,,,,,,,,,,,,,,,,,,,1.57,1.44,,,1.79,1.58,,,2.02,1.75,,,,,2.68,2.29,,,,,,,,,,,2.38,2.01,,,,,,,,,,,,,,,,,,,Pinnacle,,2.43,2.43,1.28,1.28,2.10,2.08,1.23,1.24,1.90,1.90,1.15,1.16,1.33,1.35,1.50,1.50,,,1.43,1.40,,,1.30,1.30,,,1.65,1.63,,,1.16,1.16,,,1.15,1.14,,,1.10,1.10,,,1.19,1.18,,,,,,,,,,,,,,,,,,,,,,,,,3.55,3.55,1.53,1.53,4.00,3.90,1.70,1.73,5.50,5.25,1.95,1.95,3.30,3.10,,,2.50,2.50,,,2.75,2.85,,,3.45,3.45,,,2.20,2.25,,,5.25,5.25,,,5.50,5.75,,,7.00,7.00,,,4.50,4.65,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-05,Falkirk,Annan,3,0,1.46,4.63,6.08,1.38,5.09,7.38,1.44,3.90,6.00,1.33,4.50,8.00,,,,,,,,,,,,,,,2.05,1.86,,,1.83,1.67,,,1.63,1.50,,,2.43,2.14,,,,,,,,,,,,,,,1.44,1.42,,,,,,,,,,,,,,,,,,,,,1.79,1.98,,,2.03,2.21,,,2.30,2.54,,,1.55,1.71,,,,,,,,,,,,,,,2.78,2.78,,,Pinnacle,,4.00,3.45,1.10,1.13,3.10,2.68,,,2.75,2.38,,,1.12,1.15,2.10,1.90,,,1.90,1.70,,,1.68,1.53,,,2.50,2.15,,,1.43,1.33,,,1.35,1.28,,,1.26,1.19,,,1.50,1.38,,,1.15,1.11,,,1.13,1.14,,,,,,,1.17,1.12,,,,,,,,,7.00,5.90,1.23,1.30,,,1.35,1.45,,,1.43,1.55,6.40,5.50,,,1.70,1.95,,,1.95,2.10,,,2.15,2.43,,,1.50,1.68,,,2.75,3.30,,,3.10,3.55,,,3.70,4.50,,,2.50,3.00,,,5.50,6.80,,,5.90,5.75,,,,,,,5.00,6.40,,,,,,,bet365
scotland,league-one,2023-08-05,Queen of South,Alloa,3,4,1.84,3.55,3.75,1.96,3.61,3.68,1.91,3.75,3.10,1.83,4.00,3.40,2.17,2.23,,,1.88,1.93,,,1.67,1.71,,,1.45,1.38,,,,,,,,,,,,,1.46,1.49,,,,,,,,,,,,,,,,,,,,,,,1.70,1.61,,,1.96,1.84,,,2.23,2.06,2.72,2.82,,,,,,,,,,,,,,,2.70,2.46,,,,,,,,,,,,,,,,,,,Pinnacle,,2.15,2.25,1.38,1.35,1.93,2.00,1.33,1.30,1.70,1.75,1.21,1.21,1.48,1.45,1.40,1.43,1.11,1.10,1.33,1.35,,,1.23,1.25,,,1.50,1.53,1.12,1.11,1.12,1.13,,,1.11,1.12,,,,,,,1.14,1.15,,,,,,,,,,,,,,,,,,,,,,,,,3.00,3.10,1.68,1.63,3.30,3.45,1.93,1.85,4.25,4.25,2.10,2.05,2.60,2.68,6.80,7.00,2.85,2.75,,,3.30,3.10,,,4.00,3.80,6.40,6.60,2.50,2.43,,,6.25,5.90,,,6.60,6.25,,,,,,,5.75,5.50,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-05,Montrose,Kelty Hearts,0,2,1.95,3.35,3.44,2.04,3.80,3.29,2.40,3.40,2.50,2.00,3.50,3.10,2.05,1.91,1.49,1.41,1.83,1.67,,,1.61,1.49,,,1.53,1.56,,,,,,,,,,,,,1.41,1.41,,,,,,,,,,,,,,,,,,,,,2.60,2.69,1.79,1.86,,,2.04,2.13,,,2.34,2.47,2.47,2.32,,,,,,,,,,,,,,,2.89,2.85,,,,,,,,,,,,,,,,,,,Pinnacle,,2.05,2.05,1.40,1.40,1.78,1.78,1.33,1.33,1.58,1.58,1.23,1.23,1.53,1.53,1.33,1.33,1.12,1.12,1.28,1.28,1.10,1.10,1.18,1.18,,,1.40,1.40,1.13,1.13,,,,,,,,,,,,,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,2.85,2.85,1.80,1.80,3.30,3.30,2.03,2.03,4.00,4.00,2.35,2.35,2.43,2.43,6.40,6.40,3.30,3.30,7.00,7.00,3.55,3.55,,,4.65,4.65,5.90,5.90,2.85,2.85,,,,,,,,,,,,,,,6.80,6.80,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-05,Hamilton,Cove Rangers,1,0,1.83,3.77,3.95,1.90,3.76,3.75,2.00,3.75,2.90,1.95,3.75,2.90,2.24,2.33,,,1.95,2.01,,,1.72,1.78,,,1.43,1.38,,,,,,,,,,,,,1.50,1.54,,,,,,,,,,,,,,,,,,,,,,,1.66,1.60,,,1.90,1.83,,,2.15,2.05,2.80,2.97,,,,,,,,,,,,,,,2.58,2.43,,,,,,,,,,,,,,,,,,,Pinnacle,,2.00,2.20,1.45,1.38,1.80,1.98,1.38,1.30,1.60,1.73,1.26,1.21,1.58,1.45,1.33,1.40,1.13,1.10,1.28,1.35,1.12,1.12,1.19,1.24,,,1.40,1.50,1.15,1.12,1.10,1.13,,,,,,,,,,,1.11,1.14,,,,,,,,,,,,,,,,,,,,,,,,,2.68,3.00,1.80,1.65,3.00,3.45,2.05,1.88,3.70,4.25,2.30,2.08,2.35,2.68,5.90,7.00,3.30,2.85,6.40,6.40,3.55,3.10,,,4.50,3.90,5.50,6.40,2.85,2.50,,,7.00,6.00,,,,,,,,,,,6.60,5.75,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-12,Edinburgh City,Queen of South,1,2,3.16,3.51,2.16,3.54,3.79,1.95,2.80,3.50,2.20,3.50,3.50,1.91,,,2.16,1.95,,,1.90,1.71,,,1.68,1.53,2.66,2.34,,,,,,,,,,,,,,,1.47,1.49,,,,,,,,,,,,,,,,,,,1.71,1.88,,,1.95,2.14,,,2.21,2.46,,,1.47,1.60,,,,,,,,,,,,,2.66,2.57,,,,,,,,,,,,,,,,,,,,,Pinnacle,,1.35,1.45,2.10,1.98,1.30,1.35,1.88,1.70,1.20,1.26,1.65,1.53,2.68,2.35,1.10,1.14,1.38,1.30,,,1.33,1.26,,,1.22,1.18,1.12,1.15,1.45,1.35,,,1.12,1.13,,,1.11,1.12,,,,,,,1.13,1.10,,,,,,,,,,,,,,,,,,,,,,,1.70,1.88,3.10,2.68,1.98,2.10,3.45,3.10,2.20,2.43,4.40,3.70,1.45,1.58,3.00,3.45,7.00,5.75,3.30,3.70,,,4.15,4.80,,,2.68,3.10,6.40,5.50,6.25,6.00,,,6.80,6.40,,,,,,,5.90,7.00,,,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-12,Cove Rangers,Falkirk,2,2,3.57,3.53,2.00,3.92,3.73,1.87,2.15,3.30,3.10,3.40,3.50,1.91,,,2.30,2.11,,,1.99,1.85,,,1.75,1.63,2.92,2.63,,,,,,,,,,,,,,,1.51,1.42,,,,,,,,,,,,,,,,,,,1.63,1.73,,,1.87,2.00,,,2.11,2.28,,,1.40,1.47,,,,,,,,,,,,,2.53,2.80,,,,,,,,,,,,,,,,,,,,,Pinnacle,,1.38,1.38,2.08,2.08,1.30,1.30,1.85,1.85,1.21,1.21,1.63,1.63,2.60,2.60,1.10,1.10,1.35,1.35,,,1.30,1.30,,,1.20,1.20,1.11,1.11,1.43,1.43,,,1.11,1.11,,,,,,,,,,,1.12,1.12,,,,,,,,,,,,,,,,,,,,,,,1.73,1.73,3.00,3.00,2.00,2.00,3.45,3.45,2.25,2.25,4.25,4.25,1.48,1.48,3.10,3.10,7.00,7.00,3.45,3.45,,,4.40,4.40,,,2.75,2.75,6.60,6.60,6.80,6.80,,,,,,,,,,,6.40,6.40,,,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-12,Annan,Montrose,1,3,2.21,3.32,2.96,2.84,3.52,2.37,2.70,3.50,2.30,2.60,3.50,2.40,1.55,1.85,1.80,1.46,1.46,1.63,1.61,1.42,,,1.44,1.44,2.10,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.54,2.43,1.93,2.34,2.67,2.69,2.19,2.76,2.76,,,1.75,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,1.58,1.63,1.73,1.68,1.45,1.50,1.58,1.53,1.33,1.35,1.43,1.38,2.05,1.98,1.18,1.19,1.23,1.21,1.15,1.17,1.20,1.18,1.10,1.11,1.13,1.12,1.20,1.22,1.28,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,2.15,2.35,2.25,2.35,2.43,2.68,2.50,2.75,3.00,3.30,3.10,1.80,1.88,4.00,4.25,4.80,4.50,4.40,4.65,5.50,5.00,5.90,6.25,7.00,6.60,3.55,3.90,4.40,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-12,Alloa,Stirling,0,1,2.37,3.46,2.83,2.42,3.46,2.81,2.00,3.60,3.20,2.25,3.40,2.80,1.76,1.79,1.57,1.54,1.58,1.60,1.44,1.44,1.47,1.43,,,1.79,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,2.42,2.09,2.07,2.74,2.72,2.37,2.35,,,2.65,2.75,2.08,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,1.83,1.80,1.53,1.55,1.63,1.60,1.40,1.43,1.45,1.45,1.30,1.33,1.70,1.73,1.25,1.24,1.15,1.17,1.21,1.21,1.14,1.15,1.15,1.14,,,1.30,1.30,1.18,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.38,2.03,2.05,2.85,2.75,2.25,2.30,3.45,3.30,2.68,2.68,2.10,2.08,5.50,5.00,3.80,3.90,5.75,5.50,4.25,4.25,,,5.50,5.75,4.80,4.50,3.45,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bet365
scotland,league-one,2023-08-12,Kelty Hearts,Hamilton,0,2,3.48,3.56,2.01,2.79,3.46,2.44,3.30,3.60,1.95,2.80,3.50,2.20,1.58,1.40,1.75,2.08,1.45,1.47,1.57,1.83,,,1.47,1.63,2.07,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,1.75,2.41,2.90,2.39,2.01,2.72,2.63,2.67,2.29,,,1.80,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,,1.53,1.43,1.85,2.05,1.40,1.35,1.65,1.78,1.30,1.23,1.48,1.58,2.15,2.43,1.15,1.12,1.26,1.33,1.13,1.11,1.22,1.28,,,1.15,1.19,1.18,1.13,1.30,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,1.80,2.43,2.75,2.20,2.03,2.85,3.10,2.60,2.35,3.45,4.00,1.68,1.53,3.70,3.30,5.50,6.40,4.15,3.55,5.90,6.80,5.50,4.50,,,3.45,2.85,4.80,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bet365
