Country,League,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close
scotland,league-two,2023-08-05,East Fife,Peterhead,0,3,Pinnacle,1.73,3.62,4.03,1.91,3.88,3.57,,,,,,,,,,,,,2.29,2.59,1.58,1.48,1.95,2.15,1.82,1.70,1.73,1.92,2.03,1.93,1.52,1.68,2.38,2.20,1.47,1.45,2.63,2.70,,,,,,,,,,,,,,,,,,,,
scotland,league-two,2023-08-05,Elgin City,Stranraer,0,1,Pinnacle,2.31,3.20,2.82,2.73,3.69,2.38,,,,,,,,,,,,,,,,,,,,,2.29,2.67,1.56,1.47,2.03,2.38,1.77,1.60,1.68,2.07,2.06,1.80,1.49,1.78,2.40,2.07,1.44,1.60,2.73,2.33,,,,,,,,,,,,
scotland,league-two,2023-08-05,Bonnyrigg Rose,Dumbarton,1,1,Pinnacle,2.40,3.08,2.79,2.82,3.11,2.62,,,,,,,,,,,,,,,,,,,,,2.35,2.75,1.51,1.44,2.05,2.38,1.69,1.59,1.75,2.00,2.05,1.86,1.52,1.68,2.39,2.22,1.39,1.50,2.72,2.56,,,,,,,,,,,,
scotland,league-two,2023-08-05,Stenhousemuir,Forfar Athletic,0,0,Pinnacle,1.98,3.37,3.32,2.16,3.76,3.05,,,,,,,,,,,,,,,,,2.27,2.47,1.57,1.53,2.00,2.14,1.78,1.72,1.72,1.90,2.01,1.95,1.47,1.63,2.47,2.31,1.38,1.48,2.95,2.63,,,,,,,,,,,,,,,,
scotland,league-two,2023-08-05,Spartans,Clyde,1,1,Pinnacle,1.97,3.40,3.33,1.68,3.38,3.72,,,,,,,,,2.47,2.41,1.53,1.42,2.73,2.16,1.39,1.55,2.24,1.86,1.58,1.76,1.99,1.67,1.79,1.95,1.71,1.48,2.02,2.27,1.46,1.43,2.49,2.37,,,,,,,,,,,,,,,,,,,,
scotland,league-two,2023-08-12,Stranraer,East Fife,1,1,Pinnacle,2.46,3.18,2.63,2.26,3.50,3.04,,,,,,,,,,,,,,,,,2.63,2.61,1.43,1.49,2.41,2.24,1.49,1.67,2.12,1.97,1.65,1.88,1.82,1.66,1.96,2.24,1.57,1.49,2.27,2.59,,,,,,,,,,,,,,,,
scotland,league-two,2023-08-12,Peterhead,Stenhousemuir,0,0,Pinnacle,2.30,3.41,2.97,2.49,3.39,2.78,,,,,,,,,,,,,,,,,,,,,2.28,2.43,1.63,1.55,2.00,2.14,1.84,1.72,1.68,1.83,2.18,2.04,1.50,1.59,2.53,2.39,1.43,1.45,2.78,2.71,,,,,,,,,,,,
scotland,league-two,2023-08-12,Forfar Athletic,Elgin City,0,0,Pinnacle,1.83,3.33,3.93,1.66,4.08,4.74,,,,,,,,,2.75,2.48,1.43,1.53,2.51,2.16,1.45,1.71,2.07,1.85,1.68,2.01,1.84,1.65,1.93,2.27,1.58,1.46,2.24,2.69,,,,,,,,,,,,,,,,,,,,,,,,
scotland,league-two,2023-08-12,Dumbarton,Spartans,1,1,Pinnacle,2.01,3.45,3.51,2.44,3.36,2.85,,,,,,,,,,,,,,,,,2.32,2.73,1.61,1.45,2.02,2.39,1.82,1.56,1.75,2.10,2.08,1.75,1.48,1.79,2.60,2.09,1.39,1.57,2.97,2.44,1.43,1.43,2.78,2.78,,,,,,,,,,,,
scotland,league-two,2023-08-12,Clyde,Bonnyrigg Rose,0,2,Pinnacle,2.28,3.34,3.08,2.29,3.31,3.09,,,,,,,,,,,,,,,,,2.63,2.66,1.47,1.46,2.25,2.27,1.65,1.64,1.97,1.99,1.87,1.87,1.65,1.65,2.24,2.24,1.47,1.47,2.61,2.62,,,,,,,,,,,,,,,,
