Country,League,Year,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-3.5_AH_H_Open,-3.5_AH_H_Close,+3.5_AH_A_Open,+3.5_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,-3_AH_H_Open,-3_AH_H_Close,+3_AH_A_Open,+3_AH_A_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,+2.75_AH_H_Open,+2.75_AH_H_Close,-2.75_AH_A_Open,-2.75_AH_A_Close,-3.25_AH_H_Open,-3.25_AH_H_Close,+3.25_AH_A_Open,+3.25_AH_A_Close,-3.75_AH_H_Open,-3.75_AH_H_Close,+3.75_AH_A_Open,+3.75_AH_A_Close,-4_AH_H_Open,-4_AH_H_Close,+4_AH_A_Open,+4_AH_A_Close
scotland,premiership,2023.0,2023-08-05,Celtic,Ross County,4,2,Pinnacle,1.14,9.56,16.14,1.09,15.85,26.14,3.28,2.44,1.35,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,1.96,1.43,1.91,2.39,1.75,1.60,2.14,2.09,1.62,1.77,2.38,1.87,1.46,1.98,2.79,1.64,1.31,2.31,3.56,1.51,1.32,2.63,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,2.19,1.36,1.71,3.19,2.82,1.37,1.45,3.59,3.48,1.31,1.32
scotland,premiership,2023.0,2023-08-05,St Johnstone,Hearts,0,2,Pinnacle,2.89,3.44,2.53,3.54,3.48,2.19,,,,,,,,,,,,,,,,,3.50,4.53,1.32,1.23,2.85,3.49,1.45,1.34,2.46,3.03,1.58,1.43,2.08,2.55,1.81,1.57,1.75,2.03,2.15,1.88,1.57,1.76,2.49,2.18,1.41,1.56,2.99,2.57,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.37,4.01,3.31,1.25,1.30,4.19,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-05,Livingston,Aberdeen,0,0,Pinnacle,2.83,3.41,2.55,2.89,3.23,2.69,,,,,,,,,,,,,4.84,5.26,1.20,1.19,3.46,3.60,1.33,1.32,2.82,2.88,1.46,1.47,2.43,2.45,1.60,1.61,2.04,2.03,1.83,1.88,1.72,1.69,2.18,2.28,1.55,1.53,2.54,2.67,1.40,1.37,3.06,3.29,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.22,4.14,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-05,Kilmarnock,Rangers,1,0,Pinnacle,6.17,5.01,1.47,9.01,5.06,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,4.35,1.32,1.25,2.82,3.28,1.45,1.37,2.53,2.90,1.56,1.46,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.48,1.70,1.60,1.92,2.04,1.95,1.87,1.72,1.79,2.18,2.13,1.56,1.60,2.53,2.49,1.38,1.40,3.12,3.14,1.32,1.33,3.48,3.55,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-05,Dundee FC,Motherwell,1,1,Pinnacle,2.75,3.41,2.66,2.39,3.29,3.28,,,,,,,,,4.64,4.40,1.22,1.24,4.58,3.89,1.22,1.29,3.31,2.88,1.35,1.47,2.71,2.38,1.49,1.64,2.34,2.04,1.64,1.88,1.97,1.68,1.90,2.31,1.68,1.49,2.26,2.79,1.52,1.38,2.63,3.24,1.37,1.26,3.19,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-06,Hibernian,St. Mirren,2,3,Pinnacle,2.06,3.55,3.65,2.04,3.44,4.01,,,,,3.85,3.89,1.28,1.29,3.44,3.45,1.33,1.34,3.03,3.03,1.41,1.43,2.39,2.38,1.61,1.65,2.06,2.04,1.82,1.87,1.78,1.75,2.10,2.19,1.51,1.46,2.67,2.89,1.38,1.35,3.14,3.42,1.31,1.28,3.60,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-12,Rangers,Livingston,4,0,Pinnacle,1.15,8.58,15.86,1.17,8.36,15.52,,,,,1.47,1.53,2.71,2.62,1.33,1.37,3.37,3.21,1.23,1.23,4.34,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.56,1.35,1.32,2.61,2.80,1.52,1.47,2.25,2.40,1.67,1.62,2.01,2.12,1.85,1.78,1.75,1.86,2.13,2.03,1.58,1.66,2.43,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,3.81,1.30,1.29,,,,,,,,
scotland,premiership,2023.0,2023-08-12,St. Mirren,Dundee FC,2,1,Pinnacle,1.83,3.77,4.48,2.34,3.30,3.37,,,,,,,,,2.89,4.22,1.46,1.26,2.51,3.73,1.58,1.31,2.06,2.80,1.83,1.49,1.83,2.33,2.08,1.67,1.60,1.99,2.48,1.91,1.36,1.64,3.33,2.38,1.29,1.47,3.87,2.87,1.23,1.36,4.35,3.33,1.21,1.25,4.81,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-12,Ross County,St Johnstone,2,0,Pinnacle,2.09,3.32,3.86,1.91,3.59,4.41,,,,,4.11,3.67,1.25,1.31,3.65,3.22,1.30,1.38,3.20,2.79,1.38,1.49,2.45,2.20,1.58,1.74,2.09,1.91,1.80,2.00,1.79,1.65,1.85,2.37,1.48,1.39,2.75,3.23,1.35,1.30,3.28,3.78,1.28,1.25,3.81,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scotland,premiership,2023.0,2023-08-13,Motherwell,Hibernian,2,1,Pinnacle,2.49,3.29,3.08,2.83,3.28,2.71,,,,,,,,,,,,,4.10,5.04,1.27,1.20,3.01,3.49,1.43,1.34,2.48,2.81,1.60,1.49,2.11,2.40,1.79,1.63,1.76,1.99,2.18,1.92,1.54,1.68,2.62,2.30,1.42,1.52,3.04,2.70,1.29,1.36,3.85,3.34,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.22,5.28,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
