referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-4_AH_H_Open,Pinnacle_-4_AH_H_Close,Pinnacle_+4_AH_A_Open,Pinnacle_+4_AH_A_Close,Pinnacle_-3.75_AH_H_Open,Pinnacle_-3.75_AH_H_Close,Pinnacle_+3.75_AH_A_Open,Pinnacle_+3.75_AH_A_Close,Pinnacle_-3.5_AH_H_Open,Pinnacle_-3.5_AH_H_Close,Pinnacle_+3.5_AH_A_Open,Pinnacle_+3.5_AH_A_Close,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-5_AH_H_Open,Pinnacle_-5_AH_H_Close,Pinnacle_+5_AH_A_Open,Pinnacle_+5_AH_A_Close,Pinnacle_-4.75_AH_H_Open,Pinnacle_-4.75_AH_H_Close,Pinnacle_+4.75_AH_A_Open,Pinnacle_+4.75_AH_A_Close,Pinnacle_-4.5_AH_H_Open,Pinnacle_-4.5_AH_H_Close,Pinnacle_+4.5_AH_A_Open,Pinnacle_+4.5_AH_A_Close,Pinnacle_-4.25_AH_H_Open,Pinnacle_-4.25_AH_H_Close,Pinnacle_+4.25_AH_A_Open,Pinnacle_+4.25_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close,Pinnacle_+3.25_AH_H_Open,Pinnacle_+3.25_AH_H_Close,Pinnacle_-3.25_AH_A_Open,Pinnacle_-3.25_AH_A_Close
/football/serbia/super-liga/cukaricki-radnicki-1923/,EskpT1XH,Cukaricki,Radnicki 1923,4:1,super-liga,serbia,main,2023,2023-12-03,Pinnacle,1.78,3.83,4.01,1.78,3.83,4.01,,2.67,,1.45,,2.36,,1.58,,2.00,,1.83,,1.77,,2.04,,1.56,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/napredak-crvena-zvezda/,IDl9XGO3,Napredak,Crvena zvezda,0:1,super-liga,serbia,main,2023,2023-12-03,Pinnacle,12.86,6.34,1.19,12.86,6.34,1.19,,,,,,,,,,,,,,,,,,,,,,2.53,,1.48,,2.12,,1.69,,1.90,,1.90,,1.65,,2.21,,1.49,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/tsc-backa-topola-radnicki-nis/,zijtUsIB,TSC,Radnicki Nis,1:0,super-liga,serbia,main,2023,2023-12-03,Pinnacle,1.47,3.78,8.09,1.47,3.78,8.09,,2.02,,1.81,,1.74,,2.08,,1.56,,2.37,,1.49,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,1.46,,2.27,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/fk-vozdovac-imt-novi-beograd/,8r7IAgHj,Vozdovac,IMT Novi Beograd,4:0,super-liga,serbia,main,2023,2023-12-02,Pinnacle,2.15,3.33,3.27,2.15,3.33,3.27,,,,,,,,,,2.48,,1.51,,2.13,,1.70,,1.87,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,2.39,,1.42,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/mladost-lucani-zeleznicar-pancevo/,zka4Yd9c,Mladost,Zeleznicar Pancevo,1:0,super-liga,serbia,main,2023,2023-12-02,Pinnacle,2.14,3.24,3.38,2.14,3.24,3.38,,,,,,,,,,2.47,,1.52,,2.12,,1.71,,1.85,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,2.45,,1.40,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/partizan-vojvodina/,tUjxVN25,Partizan,Vojvodina,3:1,super-liga,serbia,main,2023,2023-12-02,Pinnacle,1.51,3.71,7.24,1.51,3.71,7.24,,2.10,,1.72,,1.83,,1.99,,1.62,,2.27,,1.49,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,1.47,,2.35,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/novi-pazar-javor/,Ui8EBZ1p,Novi Pazar,Javor,2:0,super-liga,serbia,main,2023,2023-12-01,Pinnacle,2.07,3.16,3.69,2.07,3.16,3.69,,2.82,,1.40,,2.97,,1.37,,2.38,,1.55,,2.05,,1.76,,1.78,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,2.65,,1.34,,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/spartak-subotica-radnik-surdulica/,Moe0Zxfi,Sp. Subotica,Radnik,1:0,super-liga,serbia,main,2023,2023-12-01,Pinnacle,1.85,3.23,4.47,1.85,3.23,4.47,,,,,,2.65,,1.45,,2.13,,1.70,,1.85,,1.96,,1.59,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/javor-fk-vozdovac/,v5fLY53t,Javor,Vozdovac,4:0,super-liga,serbia,main,2023,2023-11-27,Pinnacle,2.63,2.93,2.86,2.18,3.03,3.15,,,,,,,,,,,,,2.16,2.57,1.63,1.48,1.88,2.21,1.85,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.83,2.28,2.00,1.40,1.56,2.67,2.41,1.42,1.41,2.73,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/serbia/super-liga/radnicki-1923-novi-pazar/,8vaPXPIn,Radnicki 1923,Novi Pazar,0:4,super-liga,serbia,main,2023,2023-11-26,Pinnacle,2.02,3.16,3.85,2.00,3.16,3.35,,,,,2.97,2.92,1.36,1.38,2.29,2.33,1.52,1.60,1.99,2.02,1.71,1.81,1.76,1.72,2.01,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,1.43,2.48,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
