Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker,ah_odds
slovakia,2-liga,2023-07-28,Trebisov,Slovan Bratislava B,1,0,2.00,3.39,3.13,2.13,3.77,2.98,1.93,1.98,1.47,1.38,1.72,1.73,,,1.53,1.54,,,1.62,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,2.74,1.88,1.77,,,2.11,2.00,,,2.43,2.28,2.28,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-29,D. Kubin,Zilina B,1,2,3.02,3.59,2.02,2.52,3.86,2.41,1.65,1.41,1.71,1.96,1.52,1.50,1.56,1.73,,,,,1.95,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,1.79,2.22,2.63,2.36,2.00,2.47,2.47,,,,,1.86,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-29,FK Humenne,Komarno,0,1,2.83,3.09,2.28,2.97,3.19,2.37,1.50,1.47,1.79,1.76,,,1.58,1.55,,,1.41,1.39,2.14,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.00,2.51,2.42,2.35,2.26,,,2.79,2.67,,,1.70,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-29,Spisska Nova Ves,Presov,0,1,4.59,3.99,1.57,5.61,4.81,1.46,,,,,,,,,,,2.39,2.04,,,,,1.83,1.60,,,1.64,1.47,,,1.47,1.44,,,2.10,1.80,,,,,,,,,,,,,,,,,,,1.55,1.70,,,,,2.00,2.21,,,2.24,2.45,,,2.61,2.65,,,1.72,1.94,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-29,Petrzalka,Pohronie,2,0,2.30,3.30,2.73,2.42,3.37,2.72,1.71,1.75,1.57,1.52,1.54,1.56,1.44,1.43,,,,,1.80,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.35,2.09,2.01,2.66,2.56,2.37,2.28,,,,,2.03,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-29,Puchov,Myjava,2,1,2.02,3.36,3.10,1.93,3.69,3.55,2.16,1.96,,,1.89,1.70,,,1.68,1.52,,,1.45,1.52,,,,,,,,,,,,,1.46,1.40,,,,,,,,,,,,,,,1.68,1.79,,,1.93,2.00,,,2.18,2.29,2.67,2.35,,,,,,,,,,,,,,,2.63,2.82,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-29,Povazska Bystrica,Samorin,2,2,2.25,3.33,2.71,2.30,3.14,3.16,1.85,1.76,1.45,1.50,1.62,1.57,,,1.45,1.41,,,1.63,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,2.34,1.97,1.99,,,2.27,2.23,,,2.65,2.59,2.25,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-07-30,Malzenice,L. Mikulas,0,1,3.72,3.71,1.73,4.02,4.42,1.68,,,2.53,2.29,,,2.19,1.98,,,1.98,1.80,,,,,1.56,1.43,,,,,,,,,,,1.73,1.56,,,,,,,,,,,1.49,1.52,,,1.67,1.72,,,1.84,1.94,,,,,2.35,2.52,,,,,,,,,,,2.09,2.25,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-04,Myjava,Trebisov,2,3,1.67,3.72,4.01,1.52,4.28,5.51,,,,,2.50,2.06,,,2.23,1.87,,,,,1.70,1.46,,,1.54,1.49,,,,,,,1.95,1.61,,,,,,,,,,,,,,,,,,,1.50,1.66,,,1.64,1.87,,,,,2.14,2.43,,,2.40,2.52,,,,,,,1.87,2.15,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-04,Pohronie,D. Kubin,1,1,1.66,4.52,3.55,1.52,4.72,4.90,,,,,2.50,2.12,,,2.27,1.92,,,,,1.77,1.53,,,1.61,1.56,,,,,,,2.03,1.68,,,,,,,,,,,,,,,,,,,1.50,1.65,,,1.61,1.82,,,,,2.02,2.31,,,2.23,2.33,,,,,,,1.80,2.07,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-05,Presov,L. Mikulas,1,0,1.83,3.45,3.57,1.90,3.57,3.56,2.23,2.16,,,1.98,1.89,,,1.72,1.66,,,1.31,1.38,,,,,,,,,,,,,1.48,1.44,,,,,,,,,,,,,,,1.56,1.60,,,1.81,1.85,,,2.02,2.06,2.76,2.71,,,,,,,,,,,,,,,2.35,2.48,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-05,Povazska Bystrica,Malzenice,4,1,1.49,4.16,5.12,1.52,4.28,5.45,,,,,2.49,2.45,,,2.22,2.20,,,,,1.68,1.68,,,1.53,1.53,,,,,,,1.94,1.93,,,,,,,,,,,,,,,,,,,1.50,1.47,,,1.64,1.60,,,,,2.14,2.06,,,2.40,2.30,,,,,,,1.88,1.81,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-05,Komarno,Spisska Nova Ves,2,0,1.38,4.85,5.79,1.26,5.83,9.52,,,,,,,,,,,,,,,2.34,1.93,,,2.02,1.71,,,1.81,1.53,,,2.60,2.26,,,1.43,1.43,,,,,1.56,1.53,,,,,,,,,,,,,,,,,,,1.57,1.81,,,1.78,2.03,,,2.03,2.30,,,1.47,1.57,,,2.74,2.74,,,,,2.42,2.40,Pinnacle,
slovakia,2-liga,2023-08-06,Zilina B,FK Humenne,5,3,1.88,3.70,3.29,2.02,3.98,3.08,2.02,2.10,1.44,1.41,1.81,1.85,,,1.63,1.65,,,1.55,1.44,,,,,,,,,,,,,1.44,1.45,,,,,,,,,,,,,2.70,2.63,1.78,1.66,,,2.02,1.88,,,2.27,2.11,2.37,2.54,,,,,,,,,,,,,,,2.71,2.51,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-06,Slovan Bratislava B,Petrzalka,0,0,2.53,3.29,2.41,2.82,3.45,2.34,1.53,1.58,1.79,1.64,,,1.60,1.49,,,1.43,1.43,2.09,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,2.09,2.42,2.20,2.32,2.36,,,2.72,2.70,,,1.73,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-06,Samorin,Puchov,2,5,1.89,3.55,3.39,2.02,3.75,3.23,2.03,2.10,,,1.81,1.85,,,1.61,1.65,,,1.53,1.43,,,,,,,,,,,,,1.41,1.44,,,,,,,,,,,,,,,1.77,1.66,,,2.02,1.89,,,2.30,2.13,2.44,2.58,,,,,,,,,,,,,,,2.79,2.55,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-12,D. Kubin,Slovan Bratislava B,0,1,2.08,3.37,2.96,1.93,3.51,3.72,2.17,1.89,,,1.88,1.66,,,1.66,1.49,,,1.43,1.56,,,,,,,,,,,,,1.44,1.44,,,,,,,,,,,,,,,1.68,1.84,,,1.93,2.06,,,2.20,2.37,2.74,2.24,,,,,,,,,,,,,,,2.70,2.70,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-12,FK Humenne,Pohronie,1,0,1.98,3.42,3.24,2.02,3.35,3.58,2.07,2.00,,,1.81,1.77,,,1.59,1.57,,,1.47,1.48,,,,,,,,,,,,,1.38,1.37,,,,,,,,,,,,,,,1.75,1.73,,,2.02,1.98,,,2.34,2.27,2.60,2.43,,,,,,,,,,,,,,,2.94,2.78,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-12,Spisska Nova Ves,Zilina B,1,2,3.05,3.81,2.01,2.70,3.86,2.26,1.56,1.42,1.82,2.02,1.48,1.47,1.64,1.76,,,1.48,1.58,2.08,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,1.80,2.35,2.66,2.24,1.99,2.58,2.60,2.57,2.25,,,1.74,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-12,Trebisov,Samorin,1,2,2.55,3.37,2.35,2.92,3.54,2.24,1.50,1.57,1.85,1.67,1.46,1.44,1.65,1.51,,,1.48,1.49,2.18,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,2.05,2.51,2.22,2.22,2.31,2.62,2.49,2.57,2.54,,,1.67,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-12,Puchov,Povazska Bystrica,1,1,1.95,3.66,3.12,1.76,4.31,3.67,2.35,2.01,,,2.06,1.79,,,1.86,1.60,,,,,1.49,1.45,,,,,,,,,,,1.63,1.41,,,,,,,,,,,,,,,1.56,1.72,,,1.75,1.95,,,1.96,2.21,,,,,2.54,2.64,,,,,,,,,,,2.27,2.66,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-12,Komarno,L. Mikulas,3,2,2.16,3.31,3.10,1.98,3.43,3.62,2.11,1.91,,,1.84,1.66,,,1.62,1.48,,,1.45,1.58,,,,,,,,,,,,,1.40,1.49,,,,,,,,,,,,,,,1.72,1.89,,,1.98,2.14,,,2.28,2.50,2.65,2.28,,,,,,,,,,,,,,,2.85,2.50,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-13,Petrzalka,Myjava,0,1,1.88,3.51,3.33,1.86,3.74,3.73,2.25,2.07,,,1.95,1.83,,,1.72,1.62,,,1.41,1.43,,,,,,,,,,,,,1.50,1.42,,,,,,,,,,,,,,,1.63,1.65,,,1.86,1.88,,,2.09,2.13,2.82,2.54,,,,,,,,,,,,,,,2.50,2.56,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-13,Malzenice,Presov,0,3,4.95,3.94,1.52,8.14,4.50,1.38,,,,,,,,,,,2.66,2.10,,,,,1.93,1.62,,,1.70,1.48,,,1.52,1.46,,,2.32,1.85,,,,,,,,,,,,,,,,,,,1.45,1.64,,,,,1.88,2.14,,,2.13,2.39,,,2.46,2.49,,,1.60,1.88,,,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-18,Myjava,D. Kubin,4,1,1.71,3.94,3.75,1.52,4.34,5.42,,,,,2.50,2.05,,,2.23,1.85,,,,,1.68,1.47,,,1.53,1.53,,,,,,,1.94,1.61,,,,,,,,,,,,,,,,,,,1.50,1.69,,,1.65,1.89,,,,,2.16,2.47,,,2.42,2.41,,,,,,,1.88,2.20,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-18,Pohronie,Spisska Nova Ves,4,3,1.40,4.48,5.90,1.55,4.19,5.33,,,,,2.43,2.55,,,2.16,2.44,,,,,1.64,1.84,,,1.50,1.65,,,,,,,1.87,2.15,,,,,,,,,,,,,,,,,,,1.53,1.49,,,1.68,1.48,,,,,2.24,1.89,,,2.52,2.12,,,,,,,1.94,1.63,,,,,,,,,,,Pinnacle,
slovakia,2-liga,2023-08-19,Povazska Bystrica,Trebisov,5,0,1.70,3.73,3.85,1.40,4.69,6.91,,,,,,,,,2.57,1.83,,,,,1.92,1.45,,,1.69,1.47,,,1.52,1.55,,,2.26,1.58,,,,,,,,,,,,,,,,,,,,,,,1.48,1.91,,,,,1.90,2.47,,,2.14,2.56,,,2.47,2.38,,,1.63,2.20,,,,,,,,,,,Pinnacle,
