Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,ah_odds,Pinnacle_bookmaker,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close
slovakia,nike-liga,2023-07-28,Banska Bystrica,Podbrezova,1,4,2.23,3.50,3.12,2.19,3.64,3.19,,Pinnacle,,,,,,,,,1.28,1.29,1.34,1.35,1.51,1.53,1.68,1.71,1.87,1.94,1.90,1.90,2.22,2.18,2.61,2.56,3.34,3.25,3.75,3.67,,,,,,,,,,,,,,,1.27,1.26,1.38,1.37,1.48,1.47,1.64,1.61,2.31,2.36,2.71,2.77,3.09,3.16,3.87,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-07-29,Kosice,Slovan Bratislava,0,0,4.58,3.99,1.70,3.61,3.73,2.00,,Pinnacle,,,,,,,,,,,,,1.23,1.23,1.24,1.30,1.25,1.37,4.03,3.13,3.98,3.57,4.26,4.26,,,,,,,,,,,,,,,,,1.70,1.45,1.93,1.65,2.21,1.86,2.66,2.14,3.54,2.70,1.31,1.49,1.50,1.74,1.69,2.00,1.85,2.28,2.19,2.81,1.55,1.37,2.51,3.16,1.44,1.31,2.82,3.53,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-07-29,Skalica,Z. Moravce-Vrable,2,0,1.88,3.46,4.26,1.94,3.45,4.13,,Pinnacle,,,,,,,1.32,1.28,1.38,1.34,1.50,1.43,1.73,1.66,1.93,1.91,2.34,2.25,1.62,1.67,1.84,1.94,2.15,2.26,2.67,2.90,3.07,3.33,3.47,3.78,,,,,,,,,,,,,,,1.24,1.25,1.29,1.31,1.38,1.41,3.15,3.01,3.67,3.54,4.20,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-07-29,Michalovce,Dun. Streda,0,0,3.60,3.38,2.08,5.53,4.14,1.60,,Pinnacle,,,,,,,,,,,,,,,,,1.38,1.21,3.09,4.55,,,,,,,,,,,,,,,,,,,,,1.39,1.80,1.58,2.11,1.76,2.42,2.07,2.98,2.63,4.28,1.51,1.23,1.79,1.40,2.03,1.59,2.42,1.76,3.11,2.07,1.31,1.58,3.52,2.42,1.26,1.46,3.95,2.78,,,,,,,1.21,1.20,1.24,1.33,4.04,3.41,4.54,4.74,,,,,,
slovakia,nike-liga,2023-07-30,Zilina,Ruzomberok,3,1,2.34,3.52,3.01,2.49,3.59,2.75,,Pinnacle,,,,,,,,,1.23,1.24,1.27,1.26,1.43,1.41,1.60,1.56,1.79,1.73,1.98,2.15,2.28,2.48,2.71,2.97,3.52,3.96,3.93,4.17,,,,,,,,,,,,,1.19,1.21,1.26,1.34,1.38,1.47,1.49,1.60,1.67,1.83,2.15,2.03,2.54,2.38,2.90,2.74,3.60,3.35,4.74,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-07-30,Trnava,Trencin,1,2,1.50,4.36,6.12,1.57,4.14,5.77,,Pinnacle,,,1.29,1.25,1.44,1.38,1.61,1.53,1.77,1.66,2.01,1.88,2.36,2.17,2.68,2.47,3.34,3.06,1.34,1.39,1.49,1.57,1.61,1.71,1.78,1.96,2.09,2.26,2.38,2.56,2.81,3.07,3.66,4.10,,,,,,,,,,,,,,,1.19,1.22,4.86,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-04,Ruzomberok,Skalica,2,1,2.09,3.27,3.69,2.07,3.19,4.02,,Pinnacle,,,,,,,1.28,1.25,1.29,1.30,1.36,1.37,1.57,1.58,1.78,1.80,2.02,2.11,1.76,1.75,2.08,2.07,2.46,2.43,3.18,3.17,3.64,3.62,3.48,4.08,,,,,,,,,,,,,,,1.29,1.26,1.37,1.33,1.50,1.45,2.66,2.84,3.17,3.40,3.64,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-05,Trencin,Michalovce,2,0,1.70,3.86,4.76,1.57,4.23,5.60,,Pinnacle,,,1.22,1.23,1.31,1.37,1.43,1.52,1.53,1.65,1.69,1.88,1.92,2.17,2.22,2.46,2.68,3.04,1.49,1.39,1.69,1.57,1.85,1.72,2.22,1.98,2.56,2.29,2.88,2.60,3.55,3.14,4.48,4.25,,,,,,,,,,,,,,,1.29,1.22,3.65,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-05,Slovan Bratislava,Banska Bystrica,2,2,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-05,Dun. Streda,Kosice,5,2,1.41,4.74,7.07,1.43,4.75,7.17,,Pinnacle,1.31,1.27,1.37,1.32,1.56,1.49,1.73,1.66,1.91,1.86,2.31,2.21,2.66,2.58,2.99,2.93,3.81,3.76,1.27,1.28,1.40,1.41,1.50,1.53,1.64,1.69,1.86,1.99,2.15,2.27,2.50,2.68,3.13,3.45,3.52,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-06,Z. Moravce-Vrable,Trnava,1,1,3.54,3.29,2.13,4.12,3.55,1.92,,Pinnacle,,,,,,,,,,,,,,,1.31,1.25,1.40,1.31,3.04,3.55,3.50,4.06,,,,,,,,,,,,,,,,,,,1.35,1.47,1.55,1.69,1.75,1.93,1.99,2.28,2.56,3.04,1.53,1.40,1.79,1.65,2.12,1.92,2.51,2.20,3.25,2.77,1.29,1.36,3.71,3.18,1.24,1.30,3.77,3.60,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-06,Podbrezova,Zilina,2,0,2.09,3.79,3.31,1.88,3.97,3.83,,Pinnacle,,,,,,,1.29,1.36,1.33,1.43,1.40,1.54,1.60,1.76,1.78,1.98,2.00,2.30,1.79,1.65,2.08,1.88,2.40,2.11,2.98,2.53,3.35,2.86,3.55,3.20,,,,,,,,,,,,,,,1.35,1.28,1.43,1.34,1.56,1.43,2.49,2.93,2.89,3.35,3.27,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-11,Michalovce,Banska Bystrica,0,3,2.45,3.57,2.62,2.94,3.47,2.41,,Pinnacle,,,,,,,,,,,,,1.38,1.30,1.53,1.42,1.68,1.54,2.13,2.53,2.43,2.91,2.91,3.62,,,,,,,,,,,,,,,,,1.20,1.27,1.33,1.44,1.47,1.60,1.60,1.79,1.82,2.13,1.95,1.74,2.28,2.08,2.61,2.40,3.15,2.88,4.25,3.83,1.24,1.23,4.19,4.29,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-12,Podbrezova,Z. Moravce-Vrable,1,0,1.88,3.59,3.80,1.63,4.10,5.25,,Pinnacle,,,,,1.29,1.34,1.29,1.47,1.36,1.60,1.46,1.78,1.67,2.08,1.89,2.35,2.21,2.88,1.63,1.44,1.88,1.62,2.14,1.79,2.64,2.07,3.00,2.40,3.36,2.71,3.56,3.31,,,,,,,,,,,,,,,1.30,1.21,1.40,1.25,2.86,4.05,3.31,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-12,Zilina,Trencin,5,2,2.04,3.79,3.13,2.29,3.94,2.83,,Pinnacle,,,,,,,,,1.31,1.28,1.38,1.33,1.56,1.50,1.74,1.65,1.98,1.85,1.80,2.01,2.03,2.28,2.35,2.67,2.91,3.36,3.28,3.74,,,,,,,,,,,,,,,1.24,1.32,1.34,1.45,1.42,1.56,1.55,1.73,2.39,2.15,2.75,2.48,3.10,2.80,3.86,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-12,Skalica,Slovan Bratislava,1,2,3.87,3.56,1.93,4.10,3.65,1.89,,Pinnacle,,,,,,,,,,,,,,,1.27,1.25,1.33,1.31,3.36,3.55,3.82,4.05,,,,,,,,,,,,,,,,,,,1.47,1.50,1.69,1.73,1.88,1.96,2.24,2.31,2.89,3.06,1.43,1.40,1.68,1.64,1.89,1.89,2.21,2.15,2.74,2.64,1.38,1.40,3.12,3.02,1.31,1.33,3.50,3.39,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-12,Ruzomberok,Dun. Streda,1,1,3.21,3.28,2.20,4.04,3.51,1.94,,Pinnacle,,,,,,,,,,,,,,,1.33,1.26,1.42,1.32,2.76,3.48,3.17,3.99,,,,,,,,,,,,,,,,,,,1.28,1.44,1.46,1.67,1.64,1.91,1.88,2.24,2.32,2.97,1.57,1.42,1.89,1.68,2.19,1.94,2.62,2.25,3.44,2.86,1.23,1.35,3.88,3.28,1.25,1.29,3.91,3.71,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-18,Banska Bystrica,Skalica,2,1,1.98,3.56,3.69,1.95,3.62,3.89,,Pinnacle,,,,,,,1.30,1.30,1.36,1.37,1.45,1.46,1.65,1.68,1.83,1.90,2.16,2.22,1.72,1.68,1.93,1.95,2.28,2.24,2.83,2.78,3.21,3.17,3.60,3.56,,,,,,,,,,,,,,,1.29,1.27,1.36,1.33,1.47,1.43,2.75,2.89,3.20,3.36,3.64,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-19,Trencin,Ruzomberok,4,1,2.26,3.44,3.11,2.02,3.58,3.68,,Pinnacle,,,,,,,1.27,1.29,1.27,1.34,1.32,1.43,1.50,1.63,1.67,1.84,1.85,2.13,1.92,1.75,2.25,2.02,2.67,2.33,3.44,2.91,3.87,3.29,3.68,3.68,,,,,,,,,,,,,1.27,1.24,1.38,1.29,1.49,1.36,1.65,1.48,2.28,2.72,2.69,3.17,3.08,3.63,3.87,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-19,Kosice,Zilina,0,3,2.60,3.36,2.57,2.36,3.43,3.04,,Pinnacle,,,,,,,,,1.24,1.25,1.20,1.29,1.33,1.46,1.47,1.62,1.61,1.83,2.24,2.04,2.59,2.35,3.14,2.80,4.25,3.66,3.80,4.10,,,,,,,,,,,,,,,1.34,1.28,1.48,1.40,1.63,1.51,1.87,1.70,1.73,2.20,2.21,2.61,2.56,3.01,3.09,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-20,Z. Moravce-Vrable,Dun. Streda,0,2,4.20,3.61,1.78,4.70,3.76,1.76,,Pinnacle,,,,,,,,,,,,,,,,,1.26,1.25,3.66,4.08,,,,,,,,,,,,,,,,,,,,,1.52,1.62,1.75,1.88,2.00,2.12,2.38,2.56,3.18,3.52,1.33,1.31,1.55,1.53,1.78,1.75,2.02,1.98,2.47,2.35,1.40,1.49,2.83,2.71,1.32,1.39,3.19,3.04,,,,,,,,,1.27,1.28,3.69,3.80,,,,,,,,
slovakia,nike-liga,2023-08-20,Trnava,Podbrezova,2,0,1.55,4.10,5.20,2.14,3.55,3.38,,Pinnacle,,,,,,,1.48,1.27,1.61,1.29,1.82,1.36,2.10,1.55,2.38,1.74,2.92,2.00,1.37,1.85,1.55,2.13,1.69,2.51,1.95,3.23,2.25,3.67,2.56,3.85,,,,,,,,,,,,,1.22,1.23,1.28,1.34,1.22,1.43,1.21,1.56,4.10,2.48,4.02,2.92,3.68,3.34,4.29,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-25,Michalovce,Kosice,0,2,2.40,3.26,3.02,3.06,3.19,2.47,,Pinnacle,,,,,,,,,,,1.27,1.18,1.43,1.27,1.60,1.39,1.77,1.52,2.02,2.60,2.39,3.03,2.88,3.85,3.86,5.17,,,,,,,,,,,,,,,1.19,1.24,1.28,1.40,1.40,1.57,1.52,1.78,1.72,2.15,2.17,1.73,2.59,2.11,2.98,2.46,3.76,3.02,4.42,4.18,1.22,1.20,4.43,4.71,,,,,,,,,,,,,,,,,,,,,,,,
slovakia,nike-liga,2023-08-26,Zilina,Z. Moravce-Vrable,3,2,1.71,3.88,4.62,1.73,4.00,4.52,,Pinnacle,,,,,1.30,1.27,1.42,1.38,1.52,1.48,1.68,1.62,1.90,1.90,2.19,2.16,2.63,2.59,1.51,1.52,1.70,1.72,1.87,1.95,2.24,2.34,2.58,2.72,2.90,3.08,3.57,3.86,,,,,,,,,,,,,,,1.25,1.26,1.31,1.32,3.54,3.46,4.05,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
