Country,League,Year,Date,Home,Away,FTHG,FTAG,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close
slovenia,2-snl,2023,2023-07-28,Nafta,NK Krka,4,2,Pinnacle,2.22,3.23,2.80,2.30,3.21,2.91,2.56,2.69,1.42,1.41,2.19,2.28,1.58,1.58,1.93,2.01,1.78,1.79,1.65,1.67,2.09,2.12,1.47,1.48,2.41,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-29,Bilje,Ilirija,3,2,Pinnacle,3.49,3.43,1.85,2.05,3.62,2.72,2.57,2.33,1.43,1.48,2.47,2.03,1.47,1.66,2.73,1.83,1.40,1.85,2.65,1.60,1.39,2.13,2.13,1.46,1.62,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-29,Tabor Sezana,Triglav,2,2,Pinnacle,3.50,3.66,1.84,3.12,3.45,1.92,,,,,,,,,2.58,2.48,1.45,1.43,2.68,2.39,1.40,1.46,2.17,1.99,1.62,1.68,,,,,1.92,1.77,1.85,1.92,1.68,1.58,2.06,2.17,1.47,1.39,2.46,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-29,Jadran Dekani,Dravinja,0,1,Pinnacle,1.91,3.42,3.48,1.91,3.44,3.48,2.18,2.18,1.61,1.61,1.93,1.93,1.84,1.85,1.67,1.67,2.09,2.09,1.42,1.42,2.61,2.61,,,,,2.67,2.67,1.40,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-29,Grosuplje,ND Gorica,1,0,Pinnacle,3.35,3.29,2.04,3.50,3.16,2.07,,,,,,,,,2.86,2.96,1.37,1.36,2.48,2.54,1.50,1.49,2.01,2.01,1.78,1.79,,,,,1.74,1.73,2.02,2.05,1.54,1.53,2.33,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-30,Tolmin,Fuzinar,1,0,Pinnacle,2.24,3.40,2.76,2.24,3.42,2.76,2.61,2.61,1.44,1.44,2.24,2.24,1.60,1.60,1.99,2.00,1.79,1.80,1.69,1.69,2.09,2.09,1.51,1.51,2.41,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-30,Rudar,NK Bistrica,0,0,Pinnacle,2.04,3.30,2.98,2.12,3.43,3.11,2.33,2.43,1.49,1.51,2.03,2.10,1.66,1.70,1.81,1.85,1.90,1.93,1.53,1.57,2.26,2.32,1.40,1.43,2.58,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-07-30,Beltinci,Primorje,1,1,Pinnacle,2.48,3.11,2.46,2.50,3.48,2.49,,,,,2.45,2.45,1.45,1.50,2.17,2.18,1.60,1.65,1.86,1.88,1.85,1.88,1.61,1.65,2.15,2.17,,,,,1.46,1.51,2.44,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-08-12,Triglav,NK Krka,0,1,Pinnacle,2.61,3.18,2.33,2.46,3.39,2.61,2.71,2.71,1.42,1.42,2.58,2.41,1.41,1.52,2.29,2.13,1.54,1.68,1.97,1.84,1.75,1.95,1.68,1.61,2.04,2.26,,,,,1.51,1.53,2.30,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,2-snl,2023,2023-08-12,Tabor Sezana,Grosuplje,0,6,Pinnacle,5.38,3.93,1.51,3.21,4.31,1.80,,,,,,,,,,,,,2.86,2.57,1.38,1.44,2.74,2.19,1.40,1.62,,,,,2.40,1.96,1.49,1.80,2.14,1.72,1.64,2.02,1.87,1.50,1.90,2.41,,,,,,,,,,,,,,,,,,,,,1.62,1.60,2.17,2.13,1.48,1.47,2.44,2.36,,,,,,,,
