Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker,ah_odds
slovenia,prva-liga,2023-07-22,Mura,Domzale,2,3,2.11,3.36,3.53,1.95,3.29,4.36,2.27,2.00,1.29,1.37,1.90,1.73,1.23,1.29,1.68,1.53,,,1.38,1.50,1.36,1.28,,,1.30,1.27,,,,,,,1.45,1.34,,,,,,,,,,,,,,,3.71,2.97,1.66,1.78,4.30,3.39,1.95,2.05,,,2.24,2.41,3.12,2.52,,,3.20,3.50,,,3.61,3.88,,,,,,,2.81,3.08,,,,,,,,,,,,,Pinnacle,
slovenia,prva-liga,2023-07-22,Koper,O. Ljubljana,2,1,2.83,3.17,2.49,3.35,3.41,2.21,1.44,1.53,1.95,1.68,1.34,1.41,1.70,1.51,1.23,1.28,1.51,1.35,2.42,2.02,,,1.27,1.20,,,,,,,,,,,1.32,1.21,,,,,,,,,,,,,1.90,2.12,2.88,2.42,2.20,2.48,3.31,2.81,2.62,3.02,4.26,3.50,1.59,1.77,3.90,4.49,,,,,,,,,,,3.44,4.15,,,,,,,,,,,,,,,Pinnacle,
slovenia,prva-liga,2023-07-22,Bravo,Rogaska,2,0,1.74,3.72,4.66,2.08,3.09,4.15,2.12,2.59,1.31,1.25,1.79,2.15,1.25,1.20,1.58,1.85,,,1.43,1.31,1.30,1.49,,,1.26,1.39,,,,,,,1.38,1.63,,,,,,,,,,,,,,,3.49,4.06,1.75,1.52,4.09,4.53,2.08,1.73,,,2.43,1.92,2.89,3.53,,,3.56,2.69,,,4.00,3.04,,,,,,,3.14,2.33,,,,,,,,,,,,,Pinnacle,
slovenia,prva-liga,2023-07-23,Radomlje,Maribor,0,4,4.00,3.53,1.91,5.46,4.15,1.60,,,2.96,2.23,,,2.41,1.90,,,2.11,1.67,4.23,2.90,,,1.62,1.36,,,1.49,1.29,,,1.35,1.24,,,1.83,1.45,,,,,,,,,,,1.22,1.23,1.41,1.62,,,1.59,1.87,,,1.75,2.14,,,1.23,1.39,2.36,3.01,,,2.68,3.38,,,3.25,3.83,,,2.04,2.64,,,,,,,,,,,4.42,4.27,,,Pinnacle,
slovenia,prva-liga,2023-07-23,Aluminij,Celje,2,2,3.09,3.36,2.31,4.56,4.07,1.71,1.26,1.50,2.62,1.82,,,2.19,1.65,,,1.93,1.47,3.51,2.25,,,1.50,1.25,,,1.40,1.27,,,1.28,1.26,,,1.65,1.30,,,,,,,,,,,,,1.51,1.95,4.00,2.66,1.70,2.30,,,1.93,2.74,,,1.31,1.67,2.65,4.04,,,3.00,3.53,,,3.72,3.82,,,2.29,3.59,,,,,,,,,,,,,,,Pinnacle,
slovenia,prva-liga,2023-07-29,O. Ljubljana,Rogaska,5,0,1.38,4.88,7.69,1.35,5.16,8.68,,,,,3.34,3.16,,,2.96,2.81,,,,,2.11,1.99,,,1.86,1.79,,,1.65,1.60,,,2.59,2.44,,,1.37,1.34,,,1.31,1.33,,,1.46,1.41,,,,,,,,,1.34,1.37,,,1.41,1.45,,,,,1.75,1.79,,,2.00,2.07,,,2.28,2.39,,,1.52,1.58,,,3.15,3.35,,,3.51,3.40,,,2.79,2.97,Pinnacle,
slovenia,prva-liga,2023-07-29,Koper,Radomlje,1,0,1.71,3.64,4.98,1.68,3.78,5.27,2.76,2.67,1.21,1.23,2.24,2.18,,,1.97,1.88,,,1.26,1.28,1.52,1.49,,,1.41,1.39,,,1.29,1.27,,,1.68,1.64,,,,,,,,,,,,,,,4.58,4.33,1.47,1.50,,,1.68,1.71,,,1.88,1.89,3.96,3.74,,,2.59,2.69,,,2.93,3.04,,,3.65,3.82,,,2.22,2.31,,,,,,,,,,,,,Pinnacle,
slovenia,prva-liga,2023-07-30,Maribor,Aluminij,1,0,1.37,4.81,8.21,1.46,4.68,6.58,3.54,4.05,,,2.80,3.13,,,2.49,2.78,,,,,1.85,1.98,,,1.67,1.74,,,1.50,1.56,,,2.16,2.40,,,1.28,1.30,,,,,,,1.33,1.37,,,,,1.31,1.22,,,1.45,1.33,,,1.56,1.42,,,,,2.00,1.79,,,2.26,2.04,,,2.66,2.36,,,1.72,1.54,,,3.78,3.33,,,,,,,3.38,2.95,Pinnacle,
slovenia,prva-liga,2023-07-30,Domzale,Bravo,1,1,2.43,3.08,3.14,2.29,3.03,3.61,1.93,1.76,1.40,1.50,1.65,1.59,1.30,1.38,1.47,1.42,1.20,1.26,1.56,1.69,1.24,1.21,,,,,,,,,,,1.29,1.25,,,,,,,,,,,,,,,3.04,2.67,1.93,2.02,3.57,3.11,2.28,2.42,4.69,3.99,2.74,2.96,2.49,2.20,,,4.19,4.60,,,,,,,,,,,3.69,4.08,,,,,,,,,,,,,Pinnacle,
slovenia,prva-liga,2023-07-30,Celje,Mura,5,0,1.69,3.76,4.97,2.12,3.51,3.45,2.02,2.71,1.41,1.23,1.75,2.22,1.33,1.24,1.57,1.92,1.22,1.22,1.54,1.28,1.31,1.52,,,1.29,1.41,,,,,,,1.38,1.68,,,,,,,,,,,,,,,2.98,4.34,1.83,1.48,3.41,4.03,2.11,1.68,4.39,4.39,2.47,1.85,2.53,3.77,,,3.52,2.60,,,3.69,2.94,,,,,,,3.11,2.24,,,,,,,,,,,,,Pinnacle,
