referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close
/football/south-africa/premier-league/sekhukhune-chippa-utd/,YmJMrx5l,Sekhukhune,Chippa Utd.,2:0,premier-league,south-africa,main,2023,2023-12-06,Pinnacle,2.42,2.78,3.69,2.42,2.78,3.69,,4.95,,1.19,,4.34,,1.23,,3.00,,1.41,,2.41,,1.59,,2.01,,1.85,,1.58,,2.43,,1.40,,3.06,,1.29,,3.65,,1.19,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/amazulu-mamelodi-sundowns/,fLdcvND2,AmaZulu,Mamelodi Sundowns,0:1,premier-league,south-africa,main,2023,2023-12-06,Pinnacle,7.80,3.70,1.53,7.80,3.70,1.53,,,,,,,,,,,,,,,,,,,,,,5.83,,1.15,,3.37,,1.33,,2.57,,1.53,,2.21,,1.69,,1.85,,2.00,,1.60,,2.38,,1.47,,2.77,,1.32,,3.44,,1.19,,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/orlando-pirates-swallows-fc/,zylLnTq1,Orlando Pirates,Swallows,2:0,premier-league,south-africa,main,2023,2023-12-05,Pinnacle,1.68,3.40,6.30,1.68,3.40,6.30,,2.80,,1.46,,2.35,,1.62,,1.91,,1.94,,1.67,,2.25,,1.44,,2.87,,1.21,,4.57,,1.17,,5.38,,1.17,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,,1.24,,3.22,,1.36,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/supersport-utd-mamelodi-sundowns/,EazKsdKf,Supersport Utd,Mamelodi Sundowns,0:2,premier-league,south-africa,main,2023,2023-11-29,Pinnacle,4.90,3.24,1.87,3.72,3.04,2.19,,,,,,,,,,,,,3.67,4.82,1.29,1.19,3.16,4.16,1.38,1.24,2.60,3.50,1.52,1.32,1.95,2.41,1.81,1.59,1.71,1.98,2.18,1.87,1.51,1.72,2.62,2.17,1.31,1.46,3.51,2.78,1.25,1.35,4.01,3.24,1.23,1.29,4.23,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/cape-town-spurs-stellenbosch-fc/,QuaX20id,Cape Town Spurs,Stellenbosch,0:3,premier-league,south-africa,main,2023,2023-11-28,Pinnacle,4.02,3.13,2.09,3.20,2.92,2.51,,,,,,,,,4.10,5.14,1.25,1.18,3.17,3.97,1.37,1.26,2.69,3.39,1.49,1.33,2.19,2.82,1.70,1.45,1.73,2.09,2.06,1.77,1.56,1.78,2.49,2.09,1.39,1.56,3.08,2.48,1.22,1.36,4.36,3.27,1.19,1.28,4.92,3.74,1.24,1.24,4.18,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/golden-arrows-cape-town-city/,0GxWvf4D,Golden Arrows,Cape Town City,0:1,premier-league,south-africa,main,2023,2023-11-26,Pinnacle,3.60,2.84,2.42,2.54,2.91,3.16,,,,,4.30,6.44,1.20,1.13,3.05,4.71,1.36,1.20,2.47,3.56,1.51,1.31,2.09,2.99,1.71,1.41,1.69,2.40,2.11,1.60,1.47,1.85,2.59,2.01,1.35,1.59,3.05,2.41,1.23,1.42,3.91,2.96,1.14,1.24,5.82,4.14,1.20,1.20,4.78,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/swallows-fc-kaizer-chiefs/,hjZNtGZ0,Swallows,Kaizer Chiefs,0:1,premier-league,south-africa,main,2023,2023-11-26,Pinnacle,2.76,2.97,2.90,2.54,2.91,3.16,,,,,4.46,5.15,1.22,1.18,3.13,3.46,1.38,1.32,2.53,2.75,1.54,1.47,2.09,2.31,1.71,1.64,1.72,1.88,2.16,1.97,1.50,1.58,2.66,2.43,1.37,1.43,3.13,2.89,1.25,1.29,4.04,3.67,1.14,1.16,5.80,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/ts-galaxy-polokwane-city/,nDYRuzk7,TS Galaxy,Polokwane,3:0,premier-league,south-africa,main,2023,2023-11-26,Pinnacle,2.65,2.82,3.21,2.84,2.75,2.96,,,,,5.50,4.95,1.16,1.19,3.60,3.31,1.30,1.34,2.83,2.64,1.45,1.51,2.36,2.19,1.61,1.70,1.85,1.75,1.92,2.13,1.57,1.50,2.45,2.66,1.42,1.37,2.94,3.19,1.28,1.24,3.77,4.15,1.15,1.12,5.84,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/amazulu-stellenbosch-fc/,OETnkvSK,AmaZulu,Stellenbosch,0:1,premier-league,south-africa,main,2023,2023-11-25,Pinnacle,2.85,2.82,2.95,2.27,2.95,3.62,,,,,3.76,5.46,1.28,1.16,2.75,3.60,1.47,1.30,2.26,2.84,1.66,1.45,1.88,2.37,1.89,1.61,1.56,1.89,2.50,1.96,1.40,1.57,3.06,2.45,1.30,1.42,3.58,2.94,1.20,1.28,4.76,3.76,1.13,1.15,5.88,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/south-africa/premier-league/cape-town-spurs-royal-am/,fcKIqIkr,Cape Town Spurs,Royal AM,1:2,premier-league,south-africa,main,2023,2023-11-25,Pinnacle,3.02,3.04,2.61,3.37,3.10,2.21,,,,,5.66,5.77,1.15,1.15,4.31,3.81,1.20,1.27,3.33,3.00,1.30,1.41,2.87,2.54,1.39,1.54,2.38,2.08,1.55,1.79,1.88,1.70,1.88,2.19,1.63,1.52,2.21,2.60,1.45,1.36,2.65,3.20,1.27,1.21,3.53,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
