Country,League,Year,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,FTR
south-kore,k-league-1,2023,2023-02-25,Ulsan Hyundai,Jeonbuk,Pinnacle,2.12,3.32,3.74,2.46,3.29,3.16,,,,,,,,,,,,,,,,,3.95,4.89,1.27,1.21,3.42,4.30,1.33,1.25,2.54,3.02,1.55,1.43,2.11,2.45,1.77,1.61,1.82,2.10,2.07,1.83,1.51,1.72,2.67,2.22,1.38,1.52,3.20,2.68,1.30,1.40,3.69,3.12,1.20,1.28,4.88,4.00,,,,,,,,,,,,,,,,,,,,,2:1
south-kore,k-league-1,2023,2023-02-25,Suwon Bluewings,Gwangju FC,Pinnacle,2.29,3.12,3.54,2.55,3.16,3.15,,,,,,,,,,,,,,,,,4.47,5.27,1.22,1.19,3.90,4.64,1.27,1.22,2.79,3.17,1.47,1.40,2.28,2.53,1.67,1.57,1.94,2.16,1.93,1.78,1.58,1.76,2.46,2.18,1.42,1.53,2.99,2.65,1.32,1.40,3.50,3.11,1.21,1.28,4.59,4.01,,,,,,,,,,,,,,,,,,,,,0:1
south-kore,k-league-1,2023,2023-02-25,Seoul,Incheon,Pinnacle,2.27,3.25,3.45,2.44,3.14,3.35,,,,,,,,,,,,,,,,,4.18,4.73,1.25,1.22,3.67,4.17,1.30,1.26,2.72,2.98,1.49,1.44,2.26,2.43,1.68,1.62,1.93,2.06,1.93,1.85,1.59,1.68,2.44,2.31,1.43,1.48,2.94,2.82,1.33,1.37,3.41,3.31,1.22,1.25,4.46,4.33,,,,,,,,,,,,,,,,,,,,,2:1
south-kore,k-league-1,2023,2023-02-26,Daejeon,Gangwon,Pinnacle,2.83,3.17,2.71,2.49,3.20,3.19,,,,,,,,,,,,,,,,,4.84,4.98,1.21,1.20,5.35,4.38,1.17,1.24,3.56,3.07,1.31,1.42,2.81,2.48,1.46,1.60,2.39,2.11,1.61,1.81,1.98,1.72,1.89,2.22,1.66,1.52,2.29,2.70,1.50,1.40,2.69,3.15,1.34,1.27,3.37,4.08,1.19,1.16,4.94,5.94,,,,,,,,,,,,,,,,,2:0
south-kore,k-league-1,2023,2023-02-26,Pohang,Daegu,Pinnacle,1.93,3.58,4.11,2.28,3.43,3.35,,,,,,,,,,,,,,,,,3.21,4.09,1.37,1.27,2.80,3.60,1.47,1.33,2.22,2.72,1.70,1.51,1.93,2.27,1.93,1.71,1.67,1.96,2.28,1.94,1.41,1.63,3.03,2.40,1.32,1.46,3.54,2.87,1.26,1.36,4.05,3.31,1.21,1.25,4.85,4.28,,,,,,,,,,,,,,,,,,,,,3:2
south-kore,k-league-1,2023,2023-02-26,Jeju Utd,Suwon FC,Pinnacle,1.79,3.59,4.92,1.78,3.81,4.88,,,,,,,,,4.70,4.34,1.21,1.25,3.63,3.41,1.30,1.35,3.15,2.98,1.39,1.44,2.65,2.52,1.51,1.58,2.07,2.03,1.81,1.88,1.78,1.77,2.10,2.16,1.54,1.54,2.56,2.62,1.30,1.32,3.62,3.63,1.24,1.26,4.24,4.22,1.23,1.23,4.56,4.51,1.22,1.22,4.72,4.72,,,,,,,,,,,,,,,,,,,,,0:0
south-kore,k-league-1,2023,2023-03-04,Suwon FC,Pohang,Pinnacle,3.17,3.55,2.32,3.38,3.53,2.23,,,,,,,,,,,,,,,,,,,,,,,,,3.98,4.29,1.28,1.25,3.14,3.34,1.40,1.36,2.73,2.91,1.51,1.45,2.30,2.45,1.68,1.61,1.88,1.98,1.99,1.93,1.68,1.74,2.31,2.22,1.50,1.54,2.76,2.63,1.32,1.35,3.65,3.43,1.27,1.29,4.12,3.90,,,,,,,,,,,,,1:2
south-kore,k-league-1,2023,2023-03-04,Incheon,Daejeon,Pinnacle,2.50,3.25,3.02,2.44,3.25,3.23,,,,,,,,,,,,,,,,,4.70,4.54,1.21,1.18,4.19,4.03,1.25,1.28,3.04,2.95,1.41,1.41,2.49,2.44,1.57,1.60,2.14,2.09,1.77,1.82,1.76,1.71,2.13,2.23,1.54,1.50,2.57,2.68,1.41,1.38,2.98,3.11,1.28,1.26,3.79,3.96,,,,,,,,,,,,,,,,,,,,,3:3
south-kore,k-league-1,2023,2023-03-04,Daegu,Jeju Utd,Pinnacle,2.82,3.51,2.58,2.94,3.44,2.51,,,,,,,,,,,,,,,,,,,,,5.00,5.35,1.20,1.18,3.48,3.66,1.34,1.31,2.81,2.92,1.49,1.45,2.42,2.54,1.62,1.57,2.03,2.11,1.85,1.80,1.74,1.78,2.21,2.16,1.56,1.59,2.56,2.50,1.40,1.42,3.12,3.06,1.25,1.26,4.32,4.24,,,,,,,,,,,,,,,,,1:1
south-kore,k-league-1,2023,2023-03-05,Jeonbuk,Suwon Bluewings,Pinnacle,2.03,3.50,3.98,1.60,4.03,6.34,,,,,5.24,5.23,1.19,1.19,4.53,3.67,1.23,1.31,4.21,2.96,1.26,1.45,3.69,2.54,1.31,1.57,3.19,2.14,1.40,1.80,2.40,1.78,1.63,2.14,2.01,1.59,1.86,2.49,1.75,1.40,2.19,3.14,1.47,1.21,2.88,4.80,1.35,1.18,3.40,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:1
