Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,bet365_HO_Open,bet365_DO_Open,bet365_AO_Open,bet365_HO_Close,bet365_DO_Close,bet365_AO_Close,Pinnacle_bookmaker,bet365_bookmaker,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,bet365_bet365_+1.75_AH_H_Open,bet365_bet365_+1.75_AH_H_Close,bet365_bet365_+1.5_AH_H_Open,bet365_bet365_+1.5_AH_H_Close,bet365_bet365_+1.25_AH_H_Open,bet365_bet365_+1.25_AH_H_Close,bet365_bet365_+1_AH_A_Open,bet365_bet365_+1_AH_A_Close,bet365_bet365_+1_AH_H_Open,bet365_bet365_+1_AH_H_Close,bet365_bet365_+0.75_AH_A_Open,bet365_bet365_+0.75_AH_A_Close,bet365_bet365_+0.75_AH_H_Open,bet365_bet365_+0.75_AH_H_Close,bet365_bet365_+0.5_AH_A_Open,bet365_bet365_+0.5_AH_A_Close,bet365_bet365_+0.5_AH_H_Open,bet365_bet365_+0.5_AH_H_Close,bet365_bet365_+0.25_AH_A_Open,bet365_bet365_+0.25_AH_A_Close,bet365_bet365_+0.25_AH_H_Open,bet365_bet365_+0.25_AH_H_Close,bet365_bet365_+0_AH_H_Open,bet365_bet365_+0_AH_H_Close,bet365_bet365_-0_AH_A_Open,bet365_bet365_-0_AH_A_Close,bet365_bet365_-0.25_AH_H_Open,bet365_bet365_-0.25_AH_H_Close,bet365_bet365_-0.25_AH_A_Open,bet365_bet365_-0.25_AH_A_Close,bet365_bet365_-0.5_AH_H_Open,bet365_bet365_-0.5_AH_H_Close,bet365_bet365_-0.5_AH_A_Open,bet365_bet365_-0.5_AH_A_Close,bet365_bet365_-0.75_AH_H_Open,bet365_bet365_-0.75_AH_H_Close,bet365_bet365_-0.75_AH_A_Open,bet365_bet365_-0.75_AH_A_Close,bet365_bet365_-1_AH_H_Open,bet365_bet365_-1_AH_H_Close,bet365_bet365_-1_AH_A_Open,bet365_bet365_-1_AH_A_Close,bet365_bet365_-1.25_AH_A_Open,bet365_bet365_-1.25_AH_A_Close,bet365_bet365_-1.5_AH_A_Open,bet365_bet365_-1.5_AH_A_Close,bet365_bet365_-1.75_AH_A_Open,bet365_bet365_-1.75_AH_A_Close,bet365_bet365_+1.75_AH_A_Open,bet365_bet365_+1.75_AH_A_Close,bet365_bet365_+1.5_AH_A_Open,bet365_bet365_+1.5_AH_A_Close,bet365_bet365_+1.25_AH_A_Open,bet365_bet365_+1.25_AH_A_Close,bet365_bet365_-1.25_AH_H_Open,bet365_bet365_-1.25_AH_H_Close,bet365_bet365_-1.5_AH_H_Open,bet365_bet365_-1.5_AH_H_Close,bet365_bet365_-1.75_AH_H_Open,bet365_bet365_-1.75_AH_H_Close,bet365_bet365_+2.75_AH_A_Open,bet365_bet365_+2.75_AH_A_Close,bet365_bet365_+2.5_AH_A_Open,bet365_bet365_+2.5_AH_A_Close,bet365_bet365_+2.25_AH_A_Open,bet365_bet365_+2.25_AH_A_Close,bet365_bet365_+2_AH_A_Open,bet365_bet365_+2_AH_A_Close,bet365_bet365_-2_AH_H_Open,bet365_bet365_-2_AH_H_Close,bet365_bet365_-2.25_AH_H_Open,bet365_bet365_-2.25_AH_H_Close,bet365_bet365_-2.5_AH_H_Open,bet365_bet365_-2.5_AH_H_Close,bet365_bet365_-2.75_AH_H_Open,bet365_bet365_-2.75_AH_H_Close,bet365_bet365_+3.25_AH_A_Open,bet365_bet365_+3.25_AH_A_Close,bet365_bet365_+3_AH_A_Open,bet365_bet365_+3_AH_A_Close,bet365_bet365_-3_AH_H_Open,bet365_bet365_-3_AH_H_Close,bet365_bet365_-3.25_AH_H_Open,bet365_bet365_-3.25_AH_H_Close,bet365_bet365_+2_AH_H_Open,bet365_bet365_+2_AH_H_Close,bet365_bet365_-2_AH_A_Open,bet365_bet365_-2_AH_A_Close,bet365_bet365_+2.5_AH_H_Open,bet365_bet365_+2.5_AH_H_Close,bet365_bet365_+2.25_AH_H_Open,bet365_bet365_+2.25_AH_H_Close,bet365_bet365_-2.25_AH_A_Open,bet365_bet365_-2.25_AH_A_Close,bet365_bet365_-2.5_AH_A_Open,bet365_bet365_-2.5_AH_A_Close,bet365_bet365_+3.5_AH_A_Open,bet365_bet365_+3.5_AH_A_Close,bet365_bet365_-3.5_AH_H_Open,bet365_bet365_-3.5_AH_H_Close
spain,primera-rfef-group-1,2023-08-26,Unionistas,Sestao,0,0,1.67,3.36,4.85,1.96,3.24,4.18,1.67,3.20,5.00,1.91,3.10,3.80,Pinnacle,bet365,,,,,2.54,2.22,,,1.36,1.39,3.08,2.96,1.44,1.67,,,,,,,1.87,1.65,2.11,1.89,1.66,1.96,1.90,2.26,,,,,1.56,1.41,2.27,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.38,,,1.85,1.60,1.11,1.16,2.10,1.83,1.17,1.25,2.60,2.15,1.21,1.33,1.26,1.43,3.70,2.75,1.48,1.68,4.25,3.30,1.70,1.98,5.00,3.80,1.95,2.30,6.80,5.25,2.35,3.00,,,,,,,,,1.24,1.17,1.35,1.25,1.45,1.30,2.68,3.45,3.10,3.80,3.90,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-26,Dep. La Coruna,Rayo Majadahonda,0,0,1.44,4.03,6.37,1.40,4.46,8.40,1.40,3.90,7.00,1.40,4.00,6.50,Pinnacle,bet365,,,,,,,,,,,,,,,,,,,,,2.32,2.59,,,,,1.55,1.49,1.53,1.61,1.70,1.83,2.02,2.20,1.78,1.69,2.04,2.03,2.31,2.34,,,,,,,1.40,1.44,2.86,2.77,,,,,,,,,,,,,1.95,2.08,,,2.25,2.38,,,2.50,2.75,1.13,1.11,3.10,3.55,1.15,1.13,1.18,1.15,4.65,5.50,1.35,1.28,5.50,6.00,1.50,1.43,5.90,6.60,1.63,1.55,,,1.85,1.73,,,,,,,,,1.38,1.45,1.53,1.60,1.68,1.78,2.15,2.03,2.43,2.30,3.00,2.68,1.12,1.14,1.18,1.20,1.21,1.24,1.24,1.28,3.90,3.55,4.25,3.90,4.65,4.40,6.25,5.75,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-26,Osasuna B,Cornella,1,0,1.84,3.17,4.13,2.01,3.16,4.04,1.80,3.10,4.20,1.83,3.10,4.00,Pinnacle,bet365,,,,,2.25,2.15,,,1.32,1.41,3.01,2.84,1.58,1.71,,,,,,,1.66,1.60,1.92,1.84,1.85,2.02,2.11,2.34,,,,,1.41,1.37,2.64,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.40,,,1.65,1.63,1.14,1.15,1.90,1.85,1.23,1.24,2.25,2.15,1.28,1.30,1.38,1.40,3.00,2.85,1.63,1.68,3.55,3.45,1.90,1.95,4.00,3.90,2.20,2.25,5.75,5.50,2.75,2.85,,,,,,,,,1.18,1.17,1.28,1.26,1.33,1.33,3.30,3.30,3.55,3.70,4.65,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-26,Gimnastic,Arenteiro,1,0,1.67,3.34,4.91,1.73,3.43,5.32,1.67,3.20,5.00,1.57,3.40,5.50,Pinnacle,bet365,,,,,2.55,2.62,,,,,,,1.44,1.48,,,,,,,1.87,1.88,2.11,2.15,1.66,1.72,1.90,1.96,,,1.41,1.44,1.56,1.59,2.28,2.39,2.64,2.76,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.68,,,1.85,2.00,,,2.10,2.25,1.16,1.15,2.60,2.75,1.20,1.18,1.25,1.22,3.80,4.15,1.48,1.43,4.40,4.65,1.70,1.63,5.25,5.50,1.95,1.80,,,2.35,2.15,,,,,,,,,1.24,1.28,1.35,1.40,1.43,1.50,2.75,2.50,3.10,2.85,3.90,3.55,,,1.11,1.12,1.12,1.14,1.13,1.16,5.90,5.25,6.40,5.75,6.80,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-27,SD Logrones,Barcelona B,1,0,2.30,3.08,2.93,2.96,3.22,2.36,2.40,3.00,2.75,3.00,2.90,2.25,Pinnacle,bet365,1.39,1.40,1.43,1.58,1.78,1.49,1.46,1.81,1.65,2.13,2.11,1.69,2.01,2.50,2.48,2.07,2.78,2.34,2.84,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,1.12,1.11,1.18,1.13,1.21,1.24,1.13,1.15,1.26,1.40,1.25,1.26,1.43,1.55,1.35,1.38,1.60,1.75,1.48,1.50,1.80,1.70,2.20,2.10,1.65,2.05,2.60,2.50,2.00,2.38,3.10,3.00,2.30,2.85,3.80,3.70,2.75,3.90,5.90,5.50,3.70,6.00,4.25,6.60,4.65,7.00,6.25,,,1.17,1.11,1.20,1.12,4.40,6.40,5.00,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-27,R. Sociedad B,Tarazona,1,0,1.57,3.66,5.22,1.65,3.68,5.63,1.44,3.75,6.50,1.62,3.50,4.75,Pinnacle,bet365,,,,,2.79,2.82,,,,,,,1.37,1.42,,,,,,,2.04,2.02,2.29,2.30,1.56,1.63,1.75,1.84,,,1.52,1.52,1.71,1.71,2.02,2.16,2.33,2.51,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.68,,,2.25,1.98,1.14,1.11,2.50,2.25,1.13,1.17,3.30,2.68,1.14,1.20,1.18,1.25,4.80,3.80,1.33,1.45,5.75,4.40,1.50,1.63,6.00,5.00,1.63,1.83,5.75,6.80,1.88,2.15,,,,,,,,,1.38,1.30,1.50,1.40,1.65,1.50,2.20,2.50,2.50,2.85,3.00,3.45,,,1.17,1.13,1.19,1.15,1.23,1.17,4.10,5.00,4.50,5.50,5.00,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-27,R. Union,Sabadell,2,1,2.13,3.06,3.29,2.46,3.05,3.09,2.15,3.00,3.20,2.20,3.00,3.10,Pinnacle,bet365,,,,,1.93,1.78,1.37,1.50,1.52,1.71,2.37,2.15,1.85,2.10,2.78,2.58,,,,,1.46,1.39,1.65,1.57,2.11,2.44,2.49,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,1.10,1.11,1.12,1.28,1.24,1.11,1.13,1.48,1.40,1.21,1.25,1.65,1.58,1.33,1.38,,,1.43,1.48,1.58,1.68,2.35,2.15,,,2.75,2.60,2.20,2.35,3.30,3.00,2.60,2.85,4.25,3.80,3.55,3.90,6.60,5.90,6.80,6.40,7.00,7.00,,,1.13,1.11,1.19,1.17,1.23,1.20,4.00,4.40,4.50,5.00,6.00,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-27,Ponferradina,Celta Vigo B,2,1,2.08,3.37,3.48,2.08,3.43,3.50,,,,,,,Pinnacle,bet365,,,,,2.05,2.06,1.38,1.39,1.52,1.52,2.55,2.57,1.81,1.81,2.95,2.97,,,,,1.56,1.57,1.76,1.78,2.06,2.06,2.39,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-27,Lugo,Teruel,2,1,1.71,3.51,5.15,1.72,3.52,5.16,1.50,3.40,6.50,1.70,3.25,4.50,Pinnacle,bet365,,,,,2.62,2.62,,,,,,,1.47,1.48,,,,,,,1.90,1.89,2.16,2.16,1.69,1.71,1.93,1.96,,,1.44,1.44,1.60,1.60,2.34,2.38,2.71,2.75,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.55,,,2.10,1.80,1.10,1.12,2.38,2.05,1.12,1.19,3.00,2.43,1.14,1.24,1.18,1.30,4.80,3.45,1.38,1.53,5.75,3.90,1.55,1.75,6.25,4.50,1.70,2.00,7.00,6.25,2.00,2.38,,,,,,,,,1.33,1.23,1.48,1.33,1.60,1.43,2.30,2.75,2.60,3.30,3.30,4.00,,,1.15,1.10,1.18,1.12,1.20,1.13,4.40,5.90,4.80,6.40,5.50,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,
spain,primera-rfef-group-1,2023-08-27,Fuenlabrada,Cultural Leonesa,0,1,2.44,2.98,2.81,3.23,2.97,2.41,2.30,3.00,2.90,3.00,3.00,2.20,Pinnacle,bet365,1.37,1.40,1.38,1.58,1.68,1.45,1.51,1.81,1.76,2.23,2.04,1.66,2.08,2.68,2.40,2.05,2.74,2.38,3.00,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.12,1.12,1.18,1.14,1.21,1.20,1.13,1.16,1.26,1.35,1.24,1.30,1.43,1.50,1.35,1.43,1.60,1.68,1.45,1.58,1.83,1.80,2.25,2.00,1.63,2.15,2.68,2.35,1.98,2.50,3.10,2.75,2.30,3.10,3.90,3.45,2.75,4.40,6.00,5.25,3.70,5.75,4.25,6.25,4.65,6.80,6.40,,,,,1.17,1.11,5.00,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
