Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_H_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_A_Close,Pinnacle_Pinnacle_-2.5_AH_A_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_bookmaker
sweden,division-1-norra,2023-04-01,Motala,Sollentuna,1,0,2.47,3.44,2.38,2.26,3.72,2.77,1.83,1.60,1.54,1.65,1.64,1.47,1.47,1.50,1.47,1.44,,,1.72,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,2.09,2.00,2.17,2.61,2.34,2.24,2.42,,,2.60,2.54,2.11,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-01,Stocksund,Karlstad,0,3,3.48,3.84,1.88,3.13,3.77,2.06,1.44,1.43,2.01,2.18,,,1.77,1.92,,,1.58,1.70,2.39,2.66,,,,,,,,,,,,,,,1.49,1.49,,,,,,,,,,,,,,,,,1.82,1.66,2.71,2.71,2.04,1.88,,,2.32,2.11,,,1.57,1.44,,,,,,,,,,,,,2.53,2.50,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-01,Stockholm Internazionale,Sylvia,2,0,1.44,4.22,5.27,1.58,4.66,4.46,,,,,2.36,2.59,,,2.12,2.29,,,,,1.66,1.77,,,1.52,1.60,,,,,,,1.88,2.02,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.46,,,1.71,1.54,,,,,2.20,1.98,,,2.45,2.22,,,,,,,1.94,1.71,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-02,Boden,Hammarby TFF,4,1,3.54,3.84,1.83,3.06,3.66,2.12,1.46,1.44,1.95,2.21,,,1.72,1.96,,,1.54,1.72,2.32,2.72,,,,,,,,,,,,,,,1.47,1.51,,,,,,,,,,,,,,,,,1.87,1.62,2.64,2.66,2.10,1.85,,,2.41,2.04,,,1.60,1.40,,,,,,,,,,,,,2.59,2.40,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-02,Dalkurd,Vasalund,4,0,2.29,3.45,2.58,2.52,3.81,2.43,1.65,1.70,1.70,1.55,1.52,1.54,1.55,1.43,,,,,1.94,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,2.26,2.21,2.00,2.38,2.53,2.46,2.24,,,,,1.88,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-02,United Nordic,Sandviken,1,2,2.83,3.41,2.13,3.91,4.29,1.71,,,2.45,1.85,,,2.13,1.63,,,1.90,1.46,2.81,2.15,,,1.49,1.43,,,,,,,,,,,1.64,1.41,,,,,,,,,,,,,,,,,1.52,1.89,,,1.70,2.11,,,1.92,2.44,,,1.41,1.61,2.55,2.71,,,,,,,,,,,2.24,2.76,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-02,Taby,Pitea,1,2,1.81,3.71,3.42,1.94,3.75,3.43,2.12,2.17,,,1.87,1.93,,,1.66,1.70,,,1.47,1.39,,,,,,,,,,,,,1.46,1.51,,,,,,,,,,,,,,,,,,,,,1.71,1.60,,,1.94,1.82,,,2.20,2.00,2.59,2.65,,,,,,,,,,,,,,,2.63,2.32,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-02,Orebro Syr.,Umea FC,1,0,2.37,3.34,2.54,2.32,3.45,2.86,1.81,1.66,1.52,1.57,1.61,1.50,1.47,1.44,1.43,1.42,,,1.71,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.21,2.02,2.07,2.60,2.48,2.29,2.33,,,2.73,2.73,2.12,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-06,Sollentuna,Stockholm Internazionale,1,1,2.64,3.41,2.44,3.37,3.75,1.92,1.43,1.61,2.12,1.70,,,1.87,1.53,,,1.66,1.52,2.57,1.96,,,,,,,,,,,,,,,1.45,1.38,,,,,,,,,,,,,,,,,1.68,2.12,2.65,2.29,1.92,2.39,,,2.17,2.37,,,1.46,1.82,,,,,,,,,,,,,2.61,2.65,,,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-07,Sandviken,Orebro Syr.,3,0,1.36,5.52,6.24,1.45,4.90,5.62,,,,,2.52,2.50,,,2.40,2.48,,,,,1.80,2.08,,,1.61,1.86,,,1.45,1.66,,,2.09,2.45,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.50,,,1.54,1.50,,,,,2.03,1.72,,,2.29,1.94,,,2.65,2.18,,,1.73,1.51,,,,,,,,,,,,,,,,,Pinnacle
sweden,division-1-norra,2023-04-07,Pitea,Stocksund,2,3,1.83,3.77,3.61,1.85,3.89,3.66,2.26,2.22,,,1.98,1.96,,,1.75,1.72,,,1.41,1.40,1.47,1.48,,,,,,,,,,,1.52,1.50,,,,,,,,,,,,,,,,,,,,,1.63,1.61,,,1.85,1.85,,,2.06,2.05,2.80,2.76,,,2.60,2.55,,,,,,,,,,,2.45,2.43,,,,,,,,,,,,,,,,,Pinnacle
