Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close
sweden,division-1-sodra,2023-03-31,Vanersborgs IF,Oddevold,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.43,1.66,1.53,1.88,2.17,1.86,1.68,1.63,1.89,2.16,1.93,1.47,1.66,2.45,2.21,1.47,1.51,2.57,2.47,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-01,Ahlafors IF,Norrby,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,2.85,1.6,1.4,1.94,2.37,1.86,1.56,1.71,2.04,2.1,1.76,1.53,1.83,2.41,2.0,1.42,1.57,2.74,2.38,1.43,1.44,2.73,2.69,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-01,Angelholm,Olympic,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,2.65,1.53,1.45,2.57,2.78,1.41,1.4,2.25,2.41,1.56,1.54,1.91,1.97,1.83,1.82,1.67,1.72,2.05,2.07,1.5,1.53,2.35,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-01,Oskarshamn,Trollhattan,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.53,1.43,1.49,2.36,2.23,1.49,1.65,2.04,1.92,1.68,1.9,1.76,1.65,2.0,2.22,1.56,1.5,2.25,2.51,1.4,1.44,2.64,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-01,Falkenberg,Torns,3,0,,,,,,,,,,,,,,,,,2.59,2.45,1.46,1.52,2.32,2.17,1.53,1.68,1.99,1.88,1.74,1.94,1.79,1.68,1.96,2.16,1.58,1.5,2.24,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-01,Eskilsminne,Ariana,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.41,1.6,1.54,2.02,2.1,1.8,1.72,1.75,1.84,2.04,1.98,1.49,1.55,2.51,2.44,1.41,1.41,2.81,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-01,Lunds,Tvaaker,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.52,1.43,1.47,2.55,2.11,1.42,1.69,2.2,1.88,1.58,1.91,1.95,1.65,1.79,2.19,1.64,1.42,2.1,2.71,1.46,1.44,2.43,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-02,Ljungskile,Atvidaberg,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.72,1.43,1.43,2.25,2.53,1.56,1.49,1.93,2.1,1.81,1.72,1.7,1.86,2.0,1.95,1.51,1.62,2.32,2.28,1.34,1.38,3.1,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-06,Torns,Angelholm,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.36,1.46,1.56,2.24,2.06,1.63,1.75,1.96,1.83,1.85,2.0,1.64,1.56,2.21,2.41,1.47,1.42,2.58,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweden,division-1-sodra,2023-04-07,Tvaaker,Oskarshamn,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,2.4,1.63,1.54,1.95,2.11,1.85,1.72,1.63,1.79,2.23,2.04,1.46,1.57,2.61,2.39,1.43,1.43,2.71,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
