Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_H_Close,Pinnacle_Pinnacle_+2.25_AH_H_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+3_AH_A_Close,Pinnacle_Pinnacle_+3_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_A_Close,Pinnacle_Pinnacle_-2.25_AH_A_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-3_AH_H_Close,Pinnacle_Pinnacle_-3_AH_H_Open,Pinnacle_bookmaker,ah_odds
switzerland,challenge-league,2023-07-21,Xamax,Schaffhausen,3,0,2.33,3.53,2.92,2.09,3.65,3.41,2.04,1.79,1.42,1.54,1.78,1.63,1.33,1.42,1.59,1.47,1.23,1.30,1.54,1.72,1.32,1.26,,,1.29,1.29,,,,,,,1.39,1.31,,,,,,,,,,,,,,,,,2.96,2.54,1.82,1.99,3.37,2.89,2.08,2.32,4.28,3.57,2.42,2.74,2.53,2.17,,,3.42,3.93,,,3.69,3.65,,,,,,,3.03,3.52,,,,,,,,,,,,,,,Pinnacle,
switzerland,challenge-league,2023-07-21,Thun,Stade Nyonnais,1,1,1.58,4.24,5.26,1.62,4.38,4.89,2.83,2.98,1.24,1.24,2.36,2.45,,,2.08,2.17,,,1.27,1.24,1.62,1.67,,,1.50,1.54,,,1.36,1.39,,,1.82,1.85,,,,,,,,,,,1.23,1.26,,,,,4.16,4.23,1.44,1.40,,,1.62,1.57,,,1.78,1.71,3.84,4.14,,,2.34,2.25,,,2.65,2.54,,,3.18,3.02,,,2.05,1.92,,,,,,,,,,,4.24,3.98,,,Pinnacle,
switzerland,challenge-league,2023-07-21,Aarau,Baden,1,0,1.51,4.42,5.90,1.33,5.57,8.47,,,,,3.47,2.66,,,3.09,2.35,,,,,2.21,1.78,,,1.93,1.61,,,1.71,1.45,,,2.72,2.01,,,1.41,1.29,,,1.34,1.30,,,1.51,1.30,,,,,,,,,,,1.32,1.50,,,1.38,1.62,,,,,1.69,2.09,,,1.92,2.36,,,2.17,2.78,,,1.48,1.78,,,2.95,3.71,3.29,3.62,,,,,2.62,3.59,,,Pinnacle,
switzerland,challenge-league,2023-07-23,Vaduz,Sion,0,2,2.64,3.55,2.54,2.62,3.73,2.54,1.65,1.65,1.69,1.70,1.52,1.51,1.54,1.55,1.37,1.37,1.40,1.40,1.95,1.93,,,,,,,,,,,,,1.24,1.24,1.25,1.26,,,,,,,,,,,,,,,2.21,2.20,2.28,2.30,2.53,2.52,2.60,2.63,3.02,3.00,3.13,3.15,1.90,1.85,,,,,,,,,,,,,4.02,3.93,4.18,4.17,,,,,,,,,,,,,,,Pinnacle,
switzerland,challenge-league,2023-07-23,Bellinzona,Wil,0,2,2.67,3.47,2.56,3.53,3.63,2.05,1.39,1.61,2.08,1.65,1.31,1.47,1.81,1.51,1.23,1.34,1.61,1.36,2.62,1.93,,,1.34,1.27,,,1.28,1.28,,,,,,,1.41,1.23,,,,,,,,,,,,,,,1.78,2.17,3.05,2.26,2.05,2.49,3.49,2.59,2.37,2.97,4.28,3.11,1.51,1.85,3.35,3.52,,,3.73,3.76,,,,,,,2.97,3.92,,,,,,,,,,,,,,,,,Pinnacle,
switzerland,challenge-league,2023-07-28,Stade Nyonnais,Xamax,1,1,1.76,4.07,4.10,2.39,3.81,2.74,1.77,2.44,1.60,1.29,1.61,2.08,1.48,1.28,1.44,1.68,1.34,1.25,1.80,1.36,1.26,1.50,,,,,,,,,,,1.30,1.63,1.21,1.24,,,,,,,,,,,,,,,2.40,3.53,2.09,1.56,2.73,3.61,2.38,1.75,3.30,3.96,2.81,1.92,2.07,3.10,,,3.98,2.59,,,,,,,,,4.50,4.20,3.64,2.28,,,,,,,,,,,,,,,Pinnacle,
switzerland,challenge-league,2023-07-28,Sion,Aarau,1,0,1.88,3.87,3.74,1.59,4.50,5.00,2.92,2.27,1.25,1.35,2.42,1.93,,,2.15,1.75,,,1.26,1.44,1.67,1.43,,,1.54,1.36,,,1.40,1.29,,,1.88,1.54,,,,,,,,,,,1.26,1.25,,,,,4.08,3.28,1.42,1.66,,,1.58,1.85,,,1.73,2.12,3.96,2.87,,,2.25,2.87,,,2.53,3.21,,,3.01,3.66,,,1.97,2.54,,,,,,,,,,,3.95,4.02,,,Pinnacle,
switzerland,challenge-league,2023-07-28,Schaffhausen,Thun,0,1,2.71,3.92,2.37,3.31,3.85,2.07,1.43,1.57,2.05,1.74,1.35,1.46,1.79,1.58,1.25,1.33,1.61,1.43,2.50,2.02,,,1.35,1.31,,,,,,,,,,,1.42,1.30,,,,,,,,,,,,,,,1.81,2.04,2.90,2.33,2.06,2.31,3.28,2.64,2.37,2.69,4.10,3.13,1.55,1.76,3.28,3.27,,,,,,,,,,,2.91,3.36,,,,,,,,,,,,,,,,,Pinnacle,
switzerland,challenge-league,2023-07-30,Wil,Vaduz,3,2,1.74,4.01,4.29,2.20,3.82,3.05,1.93,2.55,1.50,1.28,1.71,2.15,1.40,1.26,1.54,1.88,1.28,1.28,1.65,1.34,1.30,1.53,,,,,,,,,,,1.36,1.67,,,,,,,,,,,,,,,,,2.67,3.78,1.93,1.54,3.02,3.79,2.19,1.73,3.75,3.76,2.55,1.89,2.30,3.32,,,3.57,2.57,,,,,,,,,,,3.19,2.25,,,,,,,,,,,,,,,Pinnacle,
switzerland,challenge-league,2023-07-30,Baden,Bellinzona,1,1,1.95,3.80,3.55,2.47,3.76,2.67,1.72,2.18,1.63,1.38,1.57,1.86,1.50,1.31,1.41,1.69,1.35,1.24,1.85,1.48,,,,,,,,,,,,,1.27,1.49,1.22,1.21,,,,,,,,,,,,,,,2.33,3.11,2.16,1.71,2.66,3.51,2.46,1.91,3.23,3.98,2.94,2.22,2.00,2.71,,,,,,,,,,,,,4.43,4.62,3.89,2.69,,,,,,,,,,,,,,,Pinnacle,
