Country,League,Year,Date,Home,Away,bookmaker,HO_Open,DO_Open,AO_Open,HO_Close,DO_Close,AO_Close,-2.75_AH_H_Open,-2.75_AH_H_Close,+2.75_AH_A_Open,+2.75_AH_A_Close,-2.5_AH_H_Open,-2.5_AH_H_Close,+2.5_AH_A_Open,+2.5_AH_A_Close,-2.25_AH_H_Open,-2.25_AH_H_Close,+2.25_AH_A_Open,+2.25_AH_A_Close,-2_AH_H_Open,-2_AH_H_Close,+2_AH_A_Open,+2_AH_A_Close,-1.75_AH_H_Open,-1.75_AH_H_Close,+1.75_AH_A_Open,+1.75_AH_A_Close,-1.5_AH_H_Open,-1.5_AH_H_Close,+1.5_AH_A_Open,+1.5_AH_A_Close,-1.25_AH_H_Open,-1.25_AH_H_Close,+1.25_AH_A_Open,+1.25_AH_A_Close,-1_AH_H_Open,-1_AH_H_Close,+1_AH_A_Open,+1_AH_A_Close,-0.75_AH_H_Open,-0.75_AH_H_Close,+0.75_AH_A_Open,+0.75_AH_A_Close,-0.5_AH_H_Open,-0.5_AH_H_Close,+0.5_AH_A_Open,+0.5_AH_A_Close,-0.25_AH_H_Open,-0.25_AH_H_Close,+0.25_AH_A_Open,+0.25_AH_A_Close,+0_AH_H_Open,+0_AH_H_Close,-0_AH_A_Open,-0_AH_A_Close,+0.25_AH_H_Open,+0.25_AH_H_Close,-0.25_AH_A_Open,-0.25_AH_A_Close,+0.5_AH_H_Open,+0.5_AH_H_Close,-0.5_AH_A_Open,-0.5_AH_A_Close,+0.75_AH_H_Open,+0.75_AH_H_Close,-0.75_AH_A_Open,-0.75_AH_A_Close,+1_AH_H_Open,+1_AH_H_Close,-1_AH_A_Open,-1_AH_A_Close,+1.25_AH_H_Open,+1.25_AH_H_Close,-1.25_AH_A_Open,-1.25_AH_A_Close,+1.5_AH_H_Open,+1.5_AH_H_Close,-1.5_AH_A_Open,-1.5_AH_A_Close,+1.75_AH_H_Open,+1.75_AH_H_Close,-1.75_AH_A_Open,-1.75_AH_A_Close,+2_AH_H_Open,+2_AH_H_Close,-2_AH_A_Open,-2_AH_A_Close,+2.25_AH_H_Open,+2.25_AH_H_Close,-2.25_AH_A_Open,-2.25_AH_A_Close,+2.5_AH_H_Open,+2.5_AH_H_Close,-2.5_AH_A_Open,-2.5_AH_A_Close,FTR
switzerland,super-league,2023.0,2023-07-22,Winterthur,Luzern,Pinnacle,3.53,3.64,2.06,4.04,3.67,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,3.98,1.31,1.27,2.98,3.48,1.38,1.33,2.57,2.99,1.50,1.43,2.06,2.28,1.75,1.68,1.80,1.94,2.01,1.94,1.60,1.71,2.32,2.23,1.41,1.49,2.88,2.76,1.33,1.39,3.25,3.15,1.28,1.32,3.62,3.55,,,,,,,,,,,,,,,,,0:0
switzerland,super-league,2023.0,2023-07-22,St. Gallen,Basel,Pinnacle,2.04,3.75,3.48,1.81,4.05,4.26,,,,,,,,,,,,,,,,,3.72,3.68,1.28,1.30,3.61,3.00,1.31,1.42,3.24,2.69,1.37,1.51,2.88,2.37,1.46,1.64,2.34,2.02,1.65,1.87,1.99,1.80,1.81,2.09,1.78,1.58,2.12,2.48,1.53,1.37,2.62,3.24,1.41,1.30,3.03,3.72,1.34,1.26,3.44,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:1
switzerland,super-league,2023.0,2023-07-22,Grasshoppers,Servette,Pinnacle,3.41,3.57,2.13,3.64,3.81,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.30,1.22,1.24,3.28,3.59,1.32,1.32,2.89,3.15,1.41,1.39,2.47,2.72,1.53,1.50,2.00,2.16,1.81,1.75,1.74,1.88,2.07,2.01,1.56,1.67,2.41,2.31,1.37,1.46,3.03,2.87,1.30,1.37,3.42,3.24,1.27,1.31,3.65,3.63,,,,,,,,,,,,,,,,,1:3
switzerland,super-league,2023.0,2023-07-23,Zurich,Yverdon,Pinnacle,1.53,4.33,6.04,1.48,4.62,6.95,,,,,,,,,4.02,3.85,1.27,1.28,3.75,3.45,1.26,1.34,2.86,2.71,1.40,1.50,2.41,2.31,1.56,1.67,2.12,2.04,1.71,1.85,1.84,1.75,1.96,2.16,1.63,1.58,2.26,2.49,1.50,1.46,2.57,2.81,1.34,1.32,3.18,3.59,1.19,1.18,4.56,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:0
switzerland,super-league,2023.0,2023-07-23,Young Boys,Lausanne,Pinnacle,1.25,6.45,10.61,1.40,5.32,7.20,,,,,2.65,3.47,1.46,1.33,2.38,3.29,1.57,1.36,2.10,2.93,1.72,1.43,1.83,2.41,1.96,1.62,1.66,2.10,2.20,1.79,1.49,1.86,2.60,2.03,1.31,1.61,3.34,2.42,1.26,1.49,3.76,2.78,1.28,1.39,3.49,3.11,1.26,1.27,3.97,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:1
switzerland,super-league,2023.0,2023-07-26,Lausanne Ouchy,Lugano,Pinnacle,3.45,3.47,2.15,3.89,3.88,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,3.84,1.32,1.29,2.91,3.38,1.40,1.35,2.47,2.93,1.53,1.44,1.99,2.29,1.82,1.68,1.73,1.96,2.09,1.92,1.54,1.73,2.44,2.19,1.35,1.51,3.09,2.69,1.29,1.40,3.50,3.07,1.27,1.34,3.83,3.45,,,,,,,,,,,,,,,,,0:3
switzerland,super-league,2023.0,2023-07-29,Lugano,St. Gallen,Pinnacle,2.53,3.54,2.61,2.42,3.88,2.76,,,,,,,,,,,,,,,,,,,,,,,,,3.87,3.91,1.25,1.28,3.97,3.63,1.24,1.31,3.01,2.83,1.37,1.46,2.52,2.41,1.52,1.64,2.19,2.08,1.66,1.78,1.87,1.78,1.93,2.12,1.63,1.62,2.27,2.46,1.49,1.47,2.60,2.74,1.35,1.34,3.12,3.32,1.22,1.23,4.15,4.49,,,,,,,,,,,,,,,,,,,,,,,,,1:0
switzerland,super-league,2023.0,2023-07-29,Servette,Zurich,Pinnacle,1.71,3.95,4.37,2.13,3.72,3.39,,,,,,,,,,,,,,,,,,,,,,,,,2.58,3.46,1.50,1.33,2.25,3.07,1.63,1.40,1.91,2.46,1.88,1.60,1.70,2.12,2.13,1.78,1.51,1.85,2.54,2.04,1.31,1.57,3.37,2.51,1.25,1.44,3.85,2.94,1.26,1.35,3.95,3.35,1.25,1.25,4.24,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:2
switzerland,super-league,2023.0,2023-07-29,Lausanne,Grasshoppers,Pinnacle,2.39,3.45,3.00,1.73,4.20,4.56,,,,,,,,,,,,,,,,,3.90,3.53,1.28,1.32,3.83,2.88,1.29,1.45,4.17,2.57,1.25,1.55,3.72,2.24,1.30,1.70,2.83,1.92,1.47,1.97,2.37,1.72,1.63,2.21,2.01,1.52,1.79,2.64,1.74,1.33,2.19,3.51,1.55,1.27,2.58,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:1
switzerland,super-league,2023.0,2023-07-30,Luzern,Lausanne Ouchy,Pinnacle,1.56,4.31,5.75,1.56,4.41,5.88,,,,,,,,,,,,,3.94,3.60,1.28,1.32,2.98,2.81,1.42,1.46,2.50,2.40,1.57,1.62,2.21,2.14,1.72,1.77,1.88,1.88,1.93,2.01,1.69,1.68,2.26,2.28,1.55,1.55,2.57,2.56,1.38,1.38,3.16,3.17,1.23,1.22,4.51,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:1
