Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,ah_odds,Pinnacle_bookmaker,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_A_Close
tunisia,ligue-professionnelle-1,2023-08-19,Soliman,Stade Tunisien,1,2,2.91,2.87,2.42,3.90,3.04,2.06,,Pinnacle,,,,,,,,,2.07,2.72,1.71,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.34,1.39,1.56,1.50,1.78,1.69,2.07,2.05,1.75,2.37,2.06,2.70,2.41,3.03,3.11,,,,,,,,,,,,,,
tunisia,ligue-professionnelle-1,2023-08-19,Ben Guerdane,Club Africain,0,1,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunisia,ligue-professionnelle-1,2023-08-19,Esperance Tunis,AS Marsa,1,0,1.34,4.57,8.75,1.33,4.68,9.08,,Pinnacle,2.42,2.47,2.77,2.84,,,,,,,,,,,,,1.41,1.39,1.55,1.52,,,,,,,1.54,1.56,1.74,1.76,2.06,2.04,2.37,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.03,1.82,1.80,,,,
tunisia,ligue-professionnelle-1,2023-08-20,Metlaoui,US Tataouine,1,0,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunisia,ligue-professionnelle-1,2023-08-20,CS Sfaxien,Bizertin,2,0,1.97,2.94,3.86,1.69,3.28,5.69,,Pinnacle,1.33,1.57,1.56,1.88,1.78,2.16,2.07,2.67,,,,,1.68,1.45,1.97,1.68,2.30,1.93,2.95,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.41,2.77,2.80,,,,
tunisia,ligue-professionnelle-1,2023-08-23,Olympique Beja,Etoile Sahel,2,1,4.58,3.28,1.77,8.04,4.04,1.40,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.37,1.43,1.53,1.37,1.72,1.50,2.08,1.75,2.47,2.04,2.83,,,,,1.79,1.39,2.00,1.52,2.44,1.74,2.69,2.07,2.48,2.38,2.72,2.72,,,,,,,,
tunisia,ligue-professionnelle-1,2023-08-26,Club Africain,Gafsa,0,0,1.42,3.93,7.82,1.43,3.99,8.46,,Pinnacle,2.07,2.09,2.41,2.45,,,,,,,,,,,,,1.53,1.52,1.74,1.73,,,,,,,1.40,1.40,1.57,1.57,2.36,2.37,2.81,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,1.77,2.07,2.07,,,,
tunisia,ligue-professionnelle-1,2023-08-27,US Tataouine,Esperance Tunis,1,1,7.90,4.65,1.35,11.44,5.09,1.28,,Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.62,1.74,1.85,1.97,2.14,2.40,2.74,,,,,,,,,,,,,1.55,1.43,1.81,1.70,2.06,1.97,2.37,2.27,,,,,1.38,1.40,2.94,2.86
tunisia,ligue-professionnelle-1,2023-08-27,Bizertin,Monastir,0,2,3.67,2.88,2.18,3.18,2.77,2.44,,Pinnacle,,,,,,,1.35,1.44,2.54,2.17,1.50,1.65,3.05,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.36,1.67,1.53,1.96,1.75,1.85,2.06,2.16,2.42,2.57,2.93,,,,,,,,,,,,,,,,
tunisia,ligue-professionnelle-1,2023-08-27,AS Marsa,CS Sfaxien,0,1,3.26,2.78,2.38,3.16,2.82,2.50,,Pinnacle,,,,,,,1.41,1.47,2.23,2.15,1.61,1.69,2.70,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.36,1.55,1.53,1.79,1.75,2.02,2.11,2.35,2.47,2.85,3.04,,,,,,,,,,,,,,,,
