Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-3.25_AH_H_Open,Pinnacle_-3.25_AH_H_Close,Pinnacle_+3.25_AH_A_Open,Pinnacle_+3.25_AH_A_Close,Pinnacle_-3_AH_H_Open,Pinnacle_-3_AH_H_Close,Pinnacle_+3_AH_A_Open,Pinnacle_+3_AH_A_Close,Pinnacle_-2.75_AH_H_Open,Pinnacle_-2.75_AH_H_Close,Pinnacle_+2.75_AH_A_Open,Pinnacle_+2.75_AH_A_Close,Pinnacle_-2.5_AH_H_Open,Pinnacle_-2.5_AH_H_Close,Pinnacle_+2.5_AH_A_Open,Pinnacle_+2.5_AH_A_Close,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_+2_AH_H_Open,Pinnacle_+2_AH_H_Close,Pinnacle_-2_AH_A_Open,Pinnacle_-2_AH_A_Close,Pinnacle_+2.25_AH_H_Open,Pinnacle_+2.25_AH_H_Close,Pinnacle_-2.25_AH_A_Open,Pinnacle_-2.25_AH_A_Close,Pinnacle_+2.5_AH_H_Open,Pinnacle_+2.5_AH_H_Close,Pinnacle_-2.5_AH_A_Open,Pinnacle_-2.5_AH_A_Close,Pinnacle_+2.75_AH_H_Open,Pinnacle_+2.75_AH_H_Close,Pinnacle_-2.75_AH_A_Open,Pinnacle_-2.75_AH_A_Close,Pinnacle_+3_AH_H_Open,Pinnacle_+3_AH_H_Close,Pinnacle_-3_AH_A_Open,Pinnacle_-3_AH_A_Close
united-arab-emirates,uae-league,2023-08-18,Ittihad Kalba,Al Sharjah,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.0,1.28,1.26,3.35,3.52,1.34,1.31,2.91,3.04,1.43,1.4,2.26,2.31,1.66,1.64,1.9,1.97,1.87,1.88,1.71,1.73,2.18,2.15,1.49,1.51,2.69,2.64,1.39,1.4,3.06,3.02,1.32,1.33,3.45,3.4,1.25,1.25,4.06,4.06,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-18,Ajman,Shabab Al-Ahli Dubai,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,4.77,1.46,1.2,2.2,3.31,1.69,1.34,1.87,2.67,1.9,1.5,1.69,2.35,2.21,1.62,1.48,2.04,2.72,1.82,1.38,1.76,3.09,2.1,1.32,1.6,3.46,2.39,1.25,1.44,3.69,2.82,1.22,1.29,4.39,3.66,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-18,Al Wahda,Al Bataeh,1,2,,,,,,,,,3.21,3.53,1.36,1.3,2.68,2.9,1.48,1.41,2.4,2.6,1.6,1.51,2.1,2.27,1.77,1.65,1.79,1.94,1.98,1.89,1.66,1.74,2.28,2.12,1.48,1.54,2.73,2.51,1.3,1.34,3.61,3.26,1.25,1.28,4.08,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-18,Al Ain,Bani Yas,3,2,,,,,,,,,3.19,3.1,1.36,1.37,2.67,2.61,1.49,1.5,2.38,2.34,1.6,1.61,2.09,2.05,1.78,1.78,1.78,1.81,1.99,2.04,1.65,1.64,2.28,2.28,1.48,1.48,2.73,2.7,1.3,1.31,3.6,3.47,1.25,1.26,4.06,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-19,Khorfakkan,Hatta,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,3.15,1.42,1.37,2.61,2.8,1.52,1.45,2.28,2.46,1.65,1.57,1.91,2.05,1.86,1.8,1.74,1.82,2.14,2.04,1.55,1.61,2.52,2.38,1.35,1.4,3.24,3.05,1.29,1.32,3.68,3.46,1.27,1.27,3.55,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-19,Al Wasl,Emirates Club,1,0,,,,,,,,,3.75,3.55,1.28,1.3,3.15,2.92,1.33,1.41,3.27,2.61,1.35,1.5,2.91,2.29,1.42,1.64,2.37,1.95,1.61,1.88,2.06,1.74,1.79,2.12,1.79,1.55,1.99,2.48,1.59,1.36,2.42,3.16,1.47,1.29,2.77,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-19,Al Nasr,Al Jazira,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,3.67,1.34,1.29,2.91,3.23,1.43,1.35,2.51,2.8,1.55,1.46,2.01,2.21,1.78,1.69,1.79,1.91,2.06,1.94,1.6,1.69,2.39,2.2,1.4,1.49,2.98,2.68,1.33,1.4,3.37,3.02,1.3,1.33,3.58,3.37,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-25,Emirates Club,Ajman,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,3.39,1.29,1.33,3.04,3.01,1.35,1.4,2.67,2.64,1.45,1.51,2.15,2.15,1.67,1.73,1.87,1.88,1.9,1.97,1.66,1.68,2.16,2.22,1.46,1.49,2.62,2.68,1.37,1.4,2.96,3.0,1.31,1.34,3.29,3.32,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-25,Al Jazira,Al Wahda,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,3.46,1.25,1.32,3.78,3.06,1.24,1.39,2.87,2.44,1.39,1.58,2.4,2.09,1.54,1.77,2.1,1.83,1.7,2.03,1.79,1.55,1.99,2.51,1.57,1.42,2.32,2.94,1.45,1.34,2.66,3.35,1.32,1.23,3.23,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united-arab-emirates,uae-league,2023-08-26,Hatta,Al Ain,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,3.71,1.33,1.29,2.82,3.31,1.4,1.34,2.47,2.92,1.51,1.43,2.04,2.33,1.74,1.63,1.8,2.02,1.97,1.84,1.61,1.79,2.26,2.07,1.42,1.57,2.76,2.47,1.34,1.45,3.1,2.8,1.28,1.37,3.44,3.13,,,,,,,,
