referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close
/football/uruguay/segunda-division/atenas-potencia/,S0utR8G9,Atenas,Potencia,3:0,segunda-division,uruguay,main,2023,2023-12-04,Pinnacle,1.79,3.22,4.64,1.79,3.22,4.64,,2.49,,1.49,,2.03,,1.75,,1.79,,2.01,,1.53,,2.41,,1.29,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/albion-miramar/,YwtxSl13,Albion,Miramar,0:2,segunda-division,uruguay,main,2023,2023-12-03,Pinnacle,6.19,3.85,1.46,6.19,3.85,1.46,,,,,,,,,,,,,,,,,,2.72,,1.35,,2.66,,1.37,,2.54,,1.44,,2.26,,1.57,,1.96,,1.78,,1.69,,2.06,,1.53,,2.32,,1.45,,2.51,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/club-oriental-de-futbol-tacuarembo/,UgNg5Rgj,Oriental,Tacuarembo,1:1,segunda-division,uruguay,main,2023,2023-12-03,Pinnacle,1.69,3.54,4.31,1.69,3.54,4.31,,2.26,,1.57,,1.90,,1.84,,1.68,,2.07,,1.47,,2.45,,1.32,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,1.50,,,,,,,,,,,,
/football/uruguay/segunda-division/juventud-bella-vista/,8pMc4o9d,Juventud,Bella Vista,3:0,segunda-division,uruguay,main,2023,2023-12-03,Pinnacle,2.61,3.37,2.35,2.61,3.37,2.35,,,,,,,,,,2.55,,1.44,,2.28,,1.56,,1.97,,1.78,,1.69,,2.05,,1.53,,2.31,,1.45,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/rampla-juniors-cerrito/,fmsYSUoc,Rampla Juniors,Cerrito,5:0,segunda-division,uruguay,main,2023,2023-12-03,Pinnacle,1.56,3.61,5.23,1.56,3.61,5.23,,2.02,,1.74,,1.71,,2.01,,1.54,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,1.54,,2.60,,1.41,,,,,,,,
/football/uruguay/segunda-division/sud-america-rentistas/,bBWNAmWS,Sud America,Rentistas,0:0,segunda-division,uruguay,main,2023,2023-12-03,Pinnacle,5.20,2.40,2.02,5.20,2.40,2.02,,,,,,,,,,,,,,,,,,3.35,,1.27,,2.13,,1.64,,1.74,,2.02,,1.54,,2.34,,1.33,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/uruguay-montevideo-fc-progreso/,zXNk67vp,Uruguay Montevideo,Progreso,1:3,segunda-division,uruguay,main,2023,2023-12-03,Pinnacle,4.17,3.34,1.76,4.17,3.34,1.76,,,,,,,,,,,,,,2.71,,1.39,,3.11,,1.30,,2.35,,1.53,,1.99,,1.76,,1.74,,1.99,,1.49,,2.41,,1.39,,2.72,,,,,,,,,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/bella-vista-atenas/,6ips7xOM,Bella Vista,Atenas,1:1,segunda-division,uruguay,main,2023,2023-11-29,Pinnacle,2.21,2.93,3.44,2.78,2.82,2.59,,,,,2.90,2.59,1.37,1.45,2.71,2.19,1.39,1.65,2.34,1.88,1.53,1.91,1.95,1.53,1.82,2.42,1.61,1.38,2.19,2.87,1.44,1.37,2.54,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/cerrito-club-oriental-de-futbol/,dMOLafGd,Cerrito,Oriental,2:1,segunda-division,uruguay,main,2023,2023-11-29,Pinnacle,2.93,2.68,2.70,2.66,3.01,2.54,,,,,,,,,2.63,2.85,1.43,1.38,2.29,2.43,1.58,1.53,1.91,1.98,1.87,1.82,1.63,1.61,2.19,2.24,1.47,1.44,2.51,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/uruguay/segunda-division/miramar-sud-america/,S0ow8I8G,Miramar,Sud America,1:1,segunda-division,uruguay,main,2023,2023-11-29,Pinnacle,1.52,3.94,5.83,1.51,3.89,5.56,1.88,1.88,1.89,1.90,1.63,1.64,2.16,2.19,1.49,1.50,2.42,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,2.17,1.64,1.66,2.41,2.44,1.49,1.51,,,,,,,,
