Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_HO_Open,Pinnacle_DO_Open,Pinnacle_AO_Open,Pinnacle_HO_Close,Pinnacle_DO_Close,Pinnacle_AO_Close,Pinnacle_Pinnacle_+0.25_AH_A_Close,Pinnacle_Pinnacle_+0.25_AH_A_Open,Pinnacle_Pinnacle_+0.25_AH_H_Close,Pinnacle_Pinnacle_+0.25_AH_H_Open,Pinnacle_Pinnacle_+0.5_AH_A_Close,Pinnacle_Pinnacle_+0.5_AH_A_Open,Pinnacle_Pinnacle_+0.5_AH_H_Close,Pinnacle_Pinnacle_+0.5_AH_H_Open,Pinnacle_Pinnacle_+0.75_AH_A_Close,Pinnacle_Pinnacle_+0.75_AH_A_Open,Pinnacle_Pinnacle_+0.75_AH_H_Close,Pinnacle_Pinnacle_+0.75_AH_H_Open,Pinnacle_Pinnacle_+0_AH_H_Close,Pinnacle_Pinnacle_+0_AH_H_Open,Pinnacle_Pinnacle_+1.25_AH_A_Close,Pinnacle_Pinnacle_+1.25_AH_A_Open,Pinnacle_Pinnacle_+1.25_AH_H_Close,Pinnacle_Pinnacle_+1.25_AH_H_Open,Pinnacle_Pinnacle_+1.5_AH_A_Close,Pinnacle_Pinnacle_+1.5_AH_A_Open,Pinnacle_Pinnacle_+1.5_AH_H_Close,Pinnacle_Pinnacle_+1.5_AH_H_Open,Pinnacle_Pinnacle_+1.75_AH_A_Close,Pinnacle_Pinnacle_+1.75_AH_A_Open,Pinnacle_Pinnacle_+1.75_AH_H_Close,Pinnacle_Pinnacle_+1.75_AH_H_Open,Pinnacle_Pinnacle_+1_AH_A_Close,Pinnacle_Pinnacle_+1_AH_A_Open,Pinnacle_Pinnacle_+1_AH_H_Close,Pinnacle_Pinnacle_+1_AH_H_Open,Pinnacle_Pinnacle_+2.25_AH_A_Close,Pinnacle_Pinnacle_+2.25_AH_A_Open,Pinnacle_Pinnacle_+2.5_AH_A_Close,Pinnacle_Pinnacle_+2.5_AH_A_Open,Pinnacle_Pinnacle_+2.75_AH_A_Close,Pinnacle_Pinnacle_+2.75_AH_A_Open,Pinnacle_Pinnacle_+2_AH_A_Close,Pinnacle_Pinnacle_+2_AH_A_Open,Pinnacle_Pinnacle_+2_AH_H_Close,Pinnacle_Pinnacle_+2_AH_H_Open,Pinnacle_Pinnacle_-0.25_AH_A_Close,Pinnacle_Pinnacle_-0.25_AH_A_Open,Pinnacle_Pinnacle_-0.25_AH_H_Close,Pinnacle_Pinnacle_-0.25_AH_H_Open,Pinnacle_Pinnacle_-0.5_AH_A_Close,Pinnacle_Pinnacle_-0.5_AH_A_Open,Pinnacle_Pinnacle_-0.5_AH_H_Close,Pinnacle_Pinnacle_-0.5_AH_H_Open,Pinnacle_Pinnacle_-0.75_AH_A_Close,Pinnacle_Pinnacle_-0.75_AH_A_Open,Pinnacle_Pinnacle_-0.75_AH_H_Close,Pinnacle_Pinnacle_-0.75_AH_H_Open,Pinnacle_Pinnacle_-0_AH_A_Close,Pinnacle_Pinnacle_-0_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_A_Close,Pinnacle_Pinnacle_-1.25_AH_A_Open,Pinnacle_Pinnacle_-1.25_AH_H_Close,Pinnacle_Pinnacle_-1.25_AH_H_Open,Pinnacle_Pinnacle_-1.5_AH_A_Close,Pinnacle_Pinnacle_-1.5_AH_A_Open,Pinnacle_Pinnacle_-1.5_AH_H_Close,Pinnacle_Pinnacle_-1.5_AH_H_Open,Pinnacle_Pinnacle_-1.75_AH_A_Close,Pinnacle_Pinnacle_-1.75_AH_A_Open,Pinnacle_Pinnacle_-1.75_AH_H_Close,Pinnacle_Pinnacle_-1.75_AH_H_Open,Pinnacle_Pinnacle_-1_AH_A_Close,Pinnacle_Pinnacle_-1_AH_A_Open,Pinnacle_Pinnacle_-1_AH_H_Close,Pinnacle_Pinnacle_-1_AH_H_Open,Pinnacle_Pinnacle_-2.25_AH_H_Close,Pinnacle_Pinnacle_-2.25_AH_H_Open,Pinnacle_Pinnacle_-2.5_AH_H_Close,Pinnacle_Pinnacle_-2.5_AH_H_Open,Pinnacle_Pinnacle_-2.75_AH_H_Close,Pinnacle_Pinnacle_-2.75_AH_H_Open,Pinnacle_Pinnacle_-2_AH_A_Close,Pinnacle_Pinnacle_-2_AH_A_Open,Pinnacle_Pinnacle_-2_AH_H_Close,Pinnacle_Pinnacle_-2_AH_H_Open,Pinnacle_bookmaker,ah_odds
uzbekistan,super-league,2023-03-03,Pakhtakor,Olympic,2,3,1.21,5.49,10.92,1.38,4.66,8.76,,,,,,,,,2.71,3.12,,,,,1.90,2.26,,,1.66,1.94,,,1.50,1.71,,,2.31,2.98,,,,,,,,,,,,,,,,,,,,,,,1.45,1.35,,,,,1.95,1.57,,,2.24,1.83,,,2.58,2.02,,,1.63,1.33,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-03,Metallurg Bekabad,Neftchi Fargona,0,3,2.70,2.96,2.55,2.77,2.95,2.80,1.62,1.56,1.61,1.62,1.46,1.41,1.45,1.46,,,,,1.92,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.17,2.32,2.30,2.73,2.49,2.70,2.64,,,,,1.93,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-04,Navbahor Namangan,Qizilqum,3,0,1.45,3.93,6.37,1.42,4.09,9.44,,,,,2.92,2.57,,,2.52,2.24,,,,,1.71,1.60,,,1.52,1.44,,,,,,,2.09,1.90,,,,,,,,,,,,,,,,,,,1.40,1.43,,,1.54,1.58,,,,,2.16,2.21,,,2.51,2.53,,,,,,,1.79,1.87,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-04,Sogdiana,Bunyodkor,0,1,1.95,3.23,3.57,2.10,3.24,3.66,2.06,2.06,1.37,1.37,1.76,1.81,,,1.54,1.57,,,1.50,1.42,,,,,,,,,,,,,1.34,1.34,,,,,,,,,,,,,3.07,3.07,1.81,1.68,,,2.08,1.97,,,2.45,2.27,2.62,2.61,,,,,,,,,,,,,,,3.20,2.91,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-04,Nasaf Qarshi,Andijan,0,1,1.28,5.51,10.23,1.27,5.74,10.75,,,,,,,,,,,,,,,2.33,2.27,,,2.01,1.96,,,1.79,1.75,,,2.98,2.86,,,,,,,,,1.57,1.53,,,,,,,,,,,,,,,,,,,1.62,1.64,,,1.85,1.88,,,2.05,2.09,,,1.39,1.40,,,,,,,,,2.39,2.45,Pinnacle,
uzbekistan,super-league,2023-03-05,Termez Surkhon,OKMK,1,3,3.54,3.08,2.03,3.78,3.39,2.01,,,2.14,2.03,,,1.85,1.72,,,1.62,1.52,2.73,2.57,,,,,,,,,,,,,,,1.40,1.41,,,,,,,,,,,1.72,1.76,,,2.01,2.01,,,2.32,2.32,,,1.45,1.45,,,,,,,,,,,,,2.93,2.85,,,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-05,Turon,Buxoro,1,2,2.07,3.05,4.06,1.85,3.27,4.70,2.40,2.11,,,2.00,1.80,,,1.74,1.57,,,1.32,1.43,,,,,,,,,,,,,1.48,1.35,,,,,,,,,,,,,,,1.58,1.75,,,1.85,2.07,,,2.12,2.42,3.34,2.80,,,,,,,,,,,,,,,2.64,3.15,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-10,Sogdiana,Olympic,2,2,2.05,3.09,3.45,2.18,3.17,3.51,1.98,2.00,1.39,1.34,1.71,1.70,,,1.50,1.50,,,1.55,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,2.92,1.87,1.78,,,2.16,2.03,,,2.58,2.39,2.50,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-10,Neftchi Fargona,Pakhtakor,2,1,4.63,3.58,1.65,3.86,3.17,2.07,,,2.09,2.56,,,1.80,2.14,,,1.59,1.93,2.71,2.92,,,,,,,,,,,,,,,1.37,1.65,,,,,,,,,,,1.76,1.44,,,2.07,1.64,,,2.40,1.85,,,1.45,1.39,,,,,,,,,,,,,3.03,2.13,,,,,,,,,,,,,Pinnacle,
uzbekistan,super-league,2023-03-11,Termez Surkhon,Andijan,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
uzbekistan,super-league,2023-03-11,Navbahor Namangan,Metallurg Bekabad,3,0,1.27,4.81,9.89,1.37,4.21,11.12,,,,,,,,,2.66,3.02,,,,,1.79,1.97,,,1.57,1.68,,,1.41,1.51,,,2.21,2.54,,,,,,,,,,,,,,,,,,,,,,,1.47,1.34,,,,,2.08,1.81,,,2.43,2.11,,,2.86,2.42,,,1.68,1.48,,,,,,,,,,,Pinnacle,
