team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
The Strongest,Universitario de Vinto,2.335589145974035,0.6989898614125714,True,1.2995393093911646e-11,The Strongest,Universitario de Vinto,2.3483686256464966,0.5824979596661031,True,1.581386893628775e-09
Libertad Gran Mamore,Vaca Diez,2.1829405544651803,1.1294061375348037,True,9.182530840625424e-11,Libertad Gran Mamore,Vaca Diez,2.140152827495525,1.1964798729295094,True,7.723204107453004e-12
Guabira,Bolivar,0.993253301988233,1.54360199814992,True,9.514067467357613e-11,Guabira,Bolivar,1.018072164990031,1.4420390460033072,True,1.4463840940591287e-09
Oriente Petrolero,Nacional Potosi,2.0105690991484053,0.9366879214802849,True,1.1363699362112599e-10,Oriente Petrolero,Nacional Potosi,2.021484968844729,0.7121011302279183,True,3.098737992675625e-09
Aurora,Always Ready,0.9786323351667674,1.4326929601133724,True,1.978553335859776e-10,Aurora,Always Ready,1.3378554989583642,1.2466358587449982,True,3.365797641281545e-11
Santa Cruz,Palmaflor,1.2116087157472524,1.1243519050814739,True,1.4805970631011578e-12,Santa Cruz,Palmaflor,1.2987530680397454,1.0820561819427232,True,3.977251326494085e-13
Blooming,Wilstermann,1.4401494713494238,0.9420033243383356,True,4.452160668935355e-10,Blooming,Wilstermann,1.6691632845196296,0.8375180229659582,True,9.793217580702837e-11
Royal Pari,Independiente Petrolero,1.3736670413593433,0.9450508475664183,True,1.1799576918777624e-11,Royal Pari,Independiente Petrolero,1.717993551121783,0.8831532865540161,True,2.102224385750631e-14
Always Ready,Libertad Gran Mamore,3.274885300981306,0.30358228643123997,True,1.9980421160482015e-09,Always Ready,Libertad Gran Mamore,2.7347739092978056,0.48015671885544003,True,5.742508614378823e-10
Nacional Potosi,Blooming,1.8334549173374866,0.9914609540055808,True,6.514718520180467e-11,Nacional Potosi,Blooming,1.8697164752582447,0.8062681844644369,True,3.7510757481240315e-10
Universitario de Vinto,Oriente Petrolero,1.2881312308460096,1.0731766881243312,True,2.8076915391025576e-13,Universitario de Vinto,Oriente Petrolero,1.2357914103147896,0.8407358645263244,True,1.0864507294377517e-09
Tomayapo,Santa Cruz,1.7746826166554808,0.9079505893662487,True,5.3573109119501094e-14,Tomayapo,Santa Cruz,1.7142670037070527,0.9073788413066948,True,4.003214705189319e-14
Independiente Petrolero,The Strongest,1.3373298129855808,1.6100871859989492,True,3.273075858743271e-11,Independiente Petrolero,The Strongest,1.1364060841140784,1.2084463649496837,True,7.299012277284025e-10
Bolivar,Royal Pari,2.8133623199050612,0.4960349308445237,True,7.237839259648345e-08,Bolivar,Royal Pari,2.6808508544256164,0.2655041587362575,True,2.2863181236764616e-10
Wilstermann,Aurora,1.2373064468351531,1.3367442763738837,True,2.2345704900020534e-10,Wilstermann,Aurora,1.1336162409508563,1.2870552105106259,True,3.148401071426945e-12
Palmaflor,Guabira,1.4736108561902108,0.9603643633089906,True,9.732021123013831e-11,Palmaflor,Guabira,1.5324429919184743,0.760196912030534,True,3.306238048559254e-10
Blooming,Universitario de Vinto,1.633676950882977,0.9020507122741288,True,1.047617827694578e-12,Blooming,Universitario de Vinto,1.7078289985588535,0.7983601098710524,True,1.8778409229978623e-11
Guabira,Tomayapo,1.767734564922741,0.8266893252744503,True,2.3253148809800046e-10,Guabira,Tomayapo,1.6127327392549577,1.09504421398931,True,1.3176811104903621e-11
The Strongest,Bolivar,1.328453154333859,1.3039283219760882,True,4.7231929617411035e-14,The Strongest,Bolivar,1.2438950805874973,1.3314090262223062,True,4.926845739745559e-11
Royal Pari,Palmaflor,1.49341934595871,0.9292811174948682,True,1.4143102185125556e-11,Royal Pari,Palmaflor,1.836740002838638,1.0650027500341783,True,9.763676870574076e-11
Libertad Gran Mamore,Wilstermann,1.3687847652022438,1.0401250703687717,True,3.429025348308317e-13,Libertad Gran Mamore,Wilstermann,1.6188507977832012,1.0188819365140818,True,7.826569886138527e-11
Oriente Petrolero,Independiente Petrolero,1.9248738680719002,0.8621903278406676,True,2.745463039313389e-09,Oriente Petrolero,Independiente Petrolero,1.9578917349197476,0.5865819716617168,True,4.8697983472352884e-11
Aurora,Nacional Potosi,1.4961233294344447,1.0379652486929831,True,2.1054833346407435e-10,Aurora,Nacional Potosi,1.787625394983512,0.7365475296493298,True,2.1431023628408628e-10
Tomayapo,Royal Pari,1.34259148973628,1.0392660883792848,True,8.832681112312322e-10,Tomayapo,Royal Pari,1.3195801148127548,0.9094059243353014,True,6.829728441549197e-12
Santa Cruz,Guabira,1.407002683956708,1.1543022656363278,True,7.215485420887886e-11,Santa Cruz,Guabira,1.2815190988192964,1.451104687178698,True,3.742482404491771e-10
Nacional Potosi,Libertad Gran Mamore,2.4237422871339622,0.4230862297141591,True,7.253722890813622e-11,Nacional Potosi,Libertad Gran Mamore,2.303569232169218,0.490454190139457,True,5.162107247867772e-10
Independiente Petrolero,Blooming,1.590185614496971,1.0164574341366366,True,1.968475945027411e-09,Independiente Petrolero,Blooming,1.7951256931765747,0.9108366117730262,True,2.288423152530428e-13
Universitario de Vinto,Aurora,1.3457867926033364,0.9856681425177494,True,1.7085536650809791e-12,Universitario de Vinto,Aurora,1.025587878012786,1.228883418907592,True,6.21834581083493e-11
Bolivar,Oriente Petrolero,2.2126719339441587,0.7856727997108156,True,4.376459327226525e-11,Bolivar,Oriente Petrolero,2.3280050779595185,0.34558437487421334,True,1.196729868427635e-10
Palmaflor,The Strongest,1.2209514421851635,1.3542907652852945,True,4.3364195903020994e-10,Palmaflor,The Strongest,1.1711025769343553,1.1094983740645967,True,5.896286568812128e-10
Wilstermann,Vaca Diez,2.16936936318384,0.8141767443340723,True,1.0491956906661868e-11,Wilstermann,Vaca Diez,2.2582111931093385,0.8539218764121967,True,3.296611319925721e-10
Oriente Petrolero,Palmaflor,1.6109753858143172,0.9583490404787463,True,1.0992034977616018e-10,Oriente Petrolero,Palmaflor,1.4868363613847055,0.7492629680494147,True,2.705406441631193e-10
Vaca Diez,Nacional Potosi,1.5787427480303806,1.1521898362223775,True,1.3011959802576701e-11,Vaca Diez,Nacional Potosi,1.4542728799589986,1.1197115487317078,True,5.669388170992785e-14
Royal Pari,Santa Cruz,1.907266938363953,1.03297503249675,True,6.6143807122229705e-15,Royal Pari,Santa Cruz,1.724126332600148,0.8164647900778437,True,3.2159919469715384e-11
Always Ready,Wilstermann,2.4882223300644615,0.6502369383159945,True,2.2931738591141988e-11,Always Ready,Wilstermann,2.24723975694491,0.6867248543791236,True,8.424238954653845e-10
