team_home,team_away,home_expectancy_op,away_expectancy_op,success_op,error_op,team_home,team_away,home_expectancy_cls,away_expectancy_cls,success_cls,error_cls
D. Zagreb,Hajduk Split,1.7752681807740518,0.77195518253073,True,7.565418269799962e-11,D. Zagreb,Hajduk Split,1.3536533125225143,0.6569144532520205,True,3.990598384229456e-10
Rijeka,Rudes,1.9179340421672422,0.6586156617198367,True,3.1813839169565e-09,Rijeka,Rudes,2.2706880210192524,0.4013352305590952,True,2.777717105844162e-11
Osijek,Slaven Belupo,1.6496682723107716,0.645401065729902,True,7.251232034255481e-15,Osijek,Slaven Belupo,1.6571001123600895,0.5464181818688907,True,7.73316261644964e-11
Gorica,Varazdin,1.5088687991587708,0.8625988570073734,True,1.1736896370509235e-12,Gorica,Varazdin,1.2844430128905822,1.001617370321859,True,2.6927475762314195e-11
Lok. Zagreb,Istra 1961,1.3904497479147542,0.8362950802660244,True,1.4034539281445205e-10,Lok. Zagreb,Istra 1961,1.3438381733424005,0.9670182692456933,True,2.8825191792940146e-12
Varazdin,Slaven Belupo,1.4174742518749346,0.8359000251529599,True,1.3955530636750246e-10,Varazdin,Slaven Belupo,1.6400756072963336,0.8322161018951285,True,3.6182022254265745e-11
Istra 1961,D. Zagreb,0.7400590490065149,1.7360490315284856,True,1.7920515985907617e-11,Istra 1961,D. Zagreb,0.5548853948304893,1.9245366009163225,True,5.7657825799941984e-11
Gorica,Lok. Zagreb,1.2857164038999214,0.9911297691492191,True,6.14199887958206e-11,Gorica,Lok. Zagreb,1.1300051676980387,1.1551838907322922,True,3.27612982774762e-09
Rudes,Osijek,0.994914510997976,1.1054055831321454,True,2.5817631378062114e-11,Rudes,Osijek,0.7382868793078758,1.5683971920421145,True,1.7920189623265194e-09
Hajduk Split,Rijeka,1.5325074281226674,0.8621053780984576,True,3.719006342810611e-09,Hajduk Split,Rijeka,1.6275200332119597,0.7547499068767767,True,1.722671559564039e-09
Lok. Zagreb,Varazdin,1.585759403723047,1.0674120133623841,True,4.959489115436935e-11,Lok. Zagreb,Varazdin,1.408342081144828,0.9046616098206947,True,1.3781627606496555e-09
Slaven Belupo,Rudes,1.9310883251652813,1.0010502623487034,True,4.538889216162937e-11,Slaven Belupo,Rudes,1.381486691200452,0.943138722728038,True,1.0452878089709304e-11
D. Zagreb,Gorica,2.56575130447152,0.7766450214728243,True,2.774740546278384e-11,D. Zagreb,Gorica,2.394843362153885,0.639204079998883,True,1.4157260038003462e-10
Rijeka,Istra 1961,1.8051610117442054,0.7525740868638487,True,1.436902386245342e-10,Rijeka,Istra 1961,1.820907964573685,0.7687703332673821,True,8.887356667115993e-10
Varazdin,Rudes,1.8422917618602948,0.8270604406113388,True,7.48791403486033e-10,Varazdin,Rudes,1.6898277205334566,0.9692085467996177,True,3.879299419737073e-11
Istra 1961,Osijek,0.8880922848514471,1.16672075979421,True,4.274060141969213e-11,Istra 1961,Osijek,0.9468214918856653,1.3126937645053445,True,2.1643188810878139e-10
Hajduk Split,Slaven Belupo,2.1703219302936936,0.6225691896749427,True,2.8736237673791356e-10,Hajduk Split,Slaven Belupo,2.848599453314218,0.5080293846652949,True,8.977144847047183e-10
